% Edge sensor logfile normalized 'log_20240202_162028.254/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887229.1873 0 0 0 0 0 0 0 0  0.0000
1706887229.1959 196 238 253 270 258 257 241 188  0.0000
1706887229.2029 212 247 262 270 258 260 244 195  0.0000
1706887229.2105 201 239 258 275 254 263 245 202  0.0000
1706887229.2191 200 240 261 275 254 253 240 190  0.0000
1706887229.2266 204 245 258 269 253 243 218 185  0.0000
1706887229.2351 201 235 242 251 232 233 227 194  0.0000
1706887229.2431 203 233 245 265 250 259 239 197  0.0000
1706887229.2506 200 235 248 266 248 249 235 197  0.0000
1706887229.2592 188 220 245 262 254 256 237 193  0.0000
1706887229.2669 185 233 254 263 246 252 236 192  0.0000
1706887229.2745 203 238 254 265 247 257 251 214  0.0000
1706887229.2832 201 241 253 264 252 262 253 201  0.0000
1706887229.2902 201 237 259 266 256 266 255 201  0.0000
1706887229.2989 199 239 262 278 268 267 247 207  0.0000
1706887229.3063 204 247 274 278 256 261 253 200  0.0000
1706887229.3150 216 253 263 278 257 256 247 191  0.0000
1706887229.3226 207 251 265 270 259 261 236 195  0.0000
1706887229.3302 208 246 254 261 243 254 249 205  0.0000
1706887229.3382 199 244 250 264 251 250 240 199  0.0000
1706887229.3470 203 236 256 258 244 250 239 218  0.0000
1706887229.3545 198 245 252 264 239 250 241 208  0.0000
1706887229.3622 196 233 255 277 256 261 250 218  0.0000
1706887229.3710 204 249 263 272 249 249 233 198  0.0000
1706887229.3783 203 246 259 275 254 248 234 196  0.0000
1706887229.3870 199 233 252 273 252 259 237 196  0.0000
1706887229.3953 200 238 259 268 253 248 228 182  0.0000
1706887229.4029 195 236 254 264 250 248 244 196  0.0000
1706887229.4106 205 229 254 269 253 259 250 206  0.0000
1706887229.4193 196 238 263 269 256 258 238 195  0.0000
1706887229.4266 203 242 256 269 250 247 243 201  0.0000
1706887229.4344 203 247 255 271 253 265 248 200  0.0000
1706887229.4427 195 236 257 269 250 260 261 209  0.0000
1706887229.4513 198 241 260 275 252 255 256 214  0.0000
1706887229.4590 204 243 259 266 258 275 277 226  0.0000
1706887229.4676 195 243 265 293 275 279 266 214  0.0000
1706887229.4752 222 265 275 286 262 269 250 199  0.0000
1706887229.4828 204 247 262 276 250 260 260 201  0.0000
1706887229.4912 204 240 260 279 256 262 254 204  0.0000
1706887229.4988 212 252 269 278 263 263 253 199  0.0000
1706887229.5075 207 245 263 274 251 255 238 192  0.0000
1706887229.5150 202 247 256 254 232 251 245 203  0.0000
1706887229.5237 201 232 245 269 251 249 244 195  0.0000
1706887229.5314 195 227 240 261 246 259 252 211  0.0000
1706887229.5388 188 212 235 262 244 262 256 207  0.0000
1706887229.5474 183 222 247 275 253 276 262 204  0.0000
1706887229.5551 195 236 251 271 254 259 253 204  0.0000
