% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1706887229.1831 0 0 0 0
1706887229.1904 0 0 0 0
1706887229.1980 4294967295 4294967295 -1 -1
1706887229.2057 4294967295 4294967295 0 0
1706887229.2138 0 0 1 1
1706887229.2218 0 0 0 0
1706887229.2305 0 0 0 0
1706887229.2380 0 0 0 0
1706887229.2458 0 0 0 0
1706887229.2545 0 0 0 0
1706887229.2626 0 0 0 0
1706887229.2697 0 0 0 0
1706887229.2785 0 0 0 0
1706887229.2867 0 0 0 0
1706887229.2941 0 0 0 0
1706887229.3016 0 0 0 0
1706887229.3107 3 2 3 2
1706887229.3177 6 5 3 3
1706887229.3265 8 7 2 2
1706887229.3344 10 9 2 2
1706887229.3421 13 12 3 3
1706887229.3498 16 15 3 3
1706887229.3579 19 17 3 2
1706887229.3661 23 22 4 5
1706887229.3737 28 26 5 4
1706887229.3816 33 31 5 5
1706887229.3904 39 37 6 6
1706887229.3981 45 42 6 5
1706887229.4062 52 49 7 7
1706887229.4144 58 55 6 6
1706887229.4229 64 61 6 6
1706887229.4300 71 67 7 6
1706887229.4389 78 75 7 8
1706887229.4466 85 82 7 7
1706887229.4537 92 89 7 7
1706887229.4618 99 95 7 6
1706887229.4704 105 100 6 5
1706887229.4785 112 108 7 8
1706887229.4867 120 117 8 9
1706887229.4939 128 123 8 6
1706887229.5021 134 129 6 6
1706887229.5103 140 135 6 6
1706887229.5178 147 143 7 8
1706887229.5259 154 152 7 9
1706887229.5341 161 158 7 6
1706887229.5426 167 163 6 5
1706887229.5497 173 170 6 7
1706887229.5577 181 179 8 9
1706887229.5665 189 186 8 7
1706887229.5746 195 191 6 5
1706887229.5817 200 197 5 6
1706887229.5900 207 206 7 9
1706887229.5982 216 213 9 7
1706887229.6062 223 218 7 5
1706887229.6138 229 225 6 7
1706887229.6220 235 232 6 7
1706887229.6301 242 238 7 6
1706887229.6390 250 245 8 7
1706887229.6461 257 253 7 8
1706887229.6541 263 260 6 7
1706887229.6626 269 266 6 6
1706887229.6699 275 272 6 6
1706887229.6782 283 280 8 8
1706887229.6861 291 287 8 7
1706887229.6955 297 292 6 5
1706887229.7026 302 298 5 6
1706887229.7100 309 306 7 8
1706887229.7182 317 312 8 6
1706887229.7265 324 318 7 6
1706887229.7340 329 324 5 6
1706887229.7421 336 332 7 8
1706887229.7503 344 339 8 7
1706887229.7580 351 345 7 6
1706887229.7661 356 352 5 7
1706887229.7743 363 359 7 7
1706887229.7829 370 367 7 8
1706887229.7906 377 375 7 8
1706887229.7977 384 381 7 6
1706887229.8064 389 386 5 5
1706887229.8146 394 393 5 7
1706887229.8217 402 402 8 9
1706887229.8302 411 409 9 7
1706887229.8391 417 413 6 4
1706887229.8462 423 419 6 6
1706887229.8538 430 427 7 8
1706887229.8620 437 435 7 8
1706887229.8701 444 440 7 5
1706887229.8787 449 446 5 6
1706887229.8857 456 454 7 8
1706887229.8945 464 463 8 9
1706887229.9022 470 468 6 5
1706887229.9104 476 473 6 5
1706887229.9184 484 480 8 7
1706887229.9260 492 488 8 8
1706887229.9342 498 495 6 7
1706887229.9419 504 500 6 5
1706887229.9497 510 506 6 6
1706887229.9579 518 514 8 8
1706887229.9658 526 522 8 8
1706887229.9746 531 528 5 6
1706887229.9817 536 534 5 6
1706887229.9905 544 540 8 6
1706887229.9982 552 549 8 9
1706887230.0063 559 556 7 7
1706887230.0142 564 562 5 6
1706887230.0219 570 568 6 6
1706887230.0300 578 575 8 7
1706887230.0388 586 583 8 8
1706887230.0465 593 589 7 6
1706887230.0544 598 596 5 7
1706887230.0627 604 603 6 7
1706887230.0703 612 609 8 6
1706887230.0785 620 615 8 6
1706887230.0867 627 622 7 7
1706887230.0939 632 630 5 8
1706887230.1018 638 636 6 6
1706887230.1100 646 641 8 5
1706887230.1177 654 648 8 7
1706887230.1259 660 656 6 8
1706887230.1341 665 663 5 7
1706887230.1433 672 668 7 5
1706887230.1503 681 675 9 7
1706887230.1585 688 683 7 8
1706887230.1661 693 690 5 7
1706887230.1743 699 696 6 6
1706887230.1822 706 701 7 5
1706887230.1903 714 709 8 8
1706887230.1985 721 717 7 8
1706887230.2066 727 725 6 8
1706887230.2143 733 730 6 5
1706887230.2225 740 734 7 4
1706887230.2307 749 743 9 9
1706887230.2387 755 752 6 9
1706887230.2458 761 759 6 7
1706887230.2539 767 764 6 5
1706887230.2617 775 769 8 5
1706887230.2698 782 776 7 7
1706887230.2778 788 785 6 9
1706887230.2865 794 792 6 7
1706887230.2942 801 798 7 6
1706887230.3024 809 804 8 6
1706887230.3100 816 813 7 9
1706887230.3182 822 819 6 6
1706887230.3261 827 824 5 5
1706887230.3338 834 831 7 7
1706887230.3427 842 838 8 7
1706887230.3499 849 845 7 7
1706887230.3586 854 850 5 5
1706887230.3657 856 853 2 3
1706887230.3747 858 855 2 2
1706887230.3824 861 857 3 2
1706887230.3901 863 860 2 3
1706887230.3983 865 862 2 2
1706887230.4060 867 863 2 1
1706887230.4140 869 864 2 1
1706887230.4222 871 867 2 3
1706887230.4298 873 870 2 3
1706887230.4386 874 872 1 2
1706887230.4467 874 874 0 2
1706887230.4545 874 876 0 2
1706887230.4625 875 877 1 1
1706887230.4707 876 878 1 1
1706887230.4784 877 880 1 2
1706887230.4865 877 880 0 0
1706887230.4942 877 880 0 0
1706887230.5028 877 882 0 2
1706887230.5099 876 883 -1 1
1706887230.5180 875 886 -1 3
1706887230.5257 874 888 -1 2
1706887230.5339 873 888 -1 0
1706887230.5423 871 888 -2 0
1706887230.5500 870 889 -1 1
1706887230.5581 869 890 -1 1
1706887230.5663 867 891 -2 1
1706887230.5740 866 892 -1 1
1706887230.5823 865 893 -1 1
1706887230.5900 863 895 -2 2
1706887230.5986 861 896 -2 1
1706887230.6057 859 898 -2 2
1706887230.6139 858 900 -1 2
1706887230.6217 857 902 -1 2
1706887230.6298 855 904 -2 2
1706887230.6384 853 907 -2 3
1706887230.6461 852 909 -1 2
1706887230.6542 850 909 -2 0
1706887230.6624 849 911 -1 2
1706887230.6701 847 913 -2 2
1706887230.6782 845 917 -2 4
1706887230.6858 845 918 0 1
1706887230.6942 843 918 -2 0
1706887230.7024 841 920 -2 2
1706887230.7106 840 923 -1 3
1706887230.7183 839 927 -1 4
1706887230.7265 837 927 -2 0
1706887230.7344 836 928 -1 1
1706887230.7419 835 929 -1 1
1706887230.7501 833 931 -2 2
1706887230.7583 832 934 -1 3
1706887230.7659 831 934 -1 0
1706887230.7738 830 935 -1 1
1706887230.7820 829 936 -1 1
