% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703758654.3391 0 0 0 0
1703758654.3458 0 0 0 0
1703758654.3529 4294967295 4294967295 -1 -1
1703758654.3592 4294967295 4294967295 0 0
1703758654.3667 4294967295 4294967295 0 0
1703758654.3736 0 4294967295 1 0
1703758654.3799 2 1 2 2
1703758654.3878 5 2 3 1
1703758654.3943 6 3 1 1
1703758654.4010 7 4 1 1
1703758654.4084 8 5 1 1
1703758654.4157 10 7 2 2
1703758654.4225 12 9 2 2
1703758654.4298 15 11 3 2
1703758654.4366 17 14 2 3
1703758654.4440 19 17 2 3
1703758654.4500 23 20 4 3
1703758654.4578 27 24 4 4
1703758654.4649 30 28 3 4
1703758654.4717 35 32 5 4
1703758654.4779 39 36 4 4
1703758654.4862 43 41 4 5
1703758654.4933 47 45 4 4
1703758654.4998 52 50 5 5
1703758654.5066 57 55 5 5
1703758654.5137 61 59 4 4
1703758654.5215 66 64 5 5
1703758654.5283 71 70 5 6
1703758654.5354 77 75 6 5
1703758654.5420 81 79 4 4
1703758654.5491 86 85 5 6
1703758654.5557 91 90 5 5
1703758654.5626 96 95 5 5
1703758654.5706 101 101 5 6
1703758654.5773 106 106 5 5
1703758654.5842 111 111 5 5
1703758654.5908 117 117 6 6
1703758654.5977 121 122 4 5
1703758654.6047 125 126 4 4
1703758654.6115 130 130 5 4
1703758654.6195 135 136 5 6
1703758654.6263 141 142 6 6
1703758654.6331 146 147 5 5
1703758654.6397 151 151 5 4
1703758654.6466 155 156 4 5
1703758654.6537 159 162 4 6
1703758654.6614 165 167 6 5
1703758654.6675 170 171 5 4
1703758654.6752 175 176 5 5
1703758654.6821 179 180 4 4
1703758654.6888 183 185 4 5
1703758654.6955 189 191 6 6
1703758654.7027 194 195 5 4
1703758654.7103 197 198 3 3
1703758654.7174 201 203 4 5
1703758654.7241 207 208 6 5
1703758654.7310 212 214 5 6
1703758654.7379 217 218 5 4
1703758654.7455 221 221 4 3
1703758654.7515 226 226 5 5
1703758654.7594 231 230 5 4
1703758654.7663 237 232 6 2
1703758654.7731 242 235 5 3
1703758654.7799 248 238 6 3
1703758654.7868 254 241 6 3
1703758654.7940 261 243 7 2
1703758654.8011 268 244 7 1
1703758654.8080 276 246 8 2
1703758654.8150 284 247 8 1
1703758654.8221 292 248 8 1
1703758654.8287 300 248 8 0
1703758654.8356 310 248 10 0
1703758654.8433 319 248 9 0
1703758654.8495 328 248 9 0
1703758654.8572 339 248 11 0
1703758654.8640 349 248 10 0
1703758654.8710 360 247 11 -1
1703758654.8777 371 247 11 0
1703758654.8849 382 247 11 0
1703758654.8919 393 247 11 0
1703758654.8991 404 247 11 0
1703758654.9061 416 247 12 0
1703758654.9126 427 246 11 -1
1703758654.9195 438 246 11 0
1703758654.9272 448 246 10 0
1703758654.9341 458 246 10 0
1703758654.9411 469 247 11 1
1703758654.9479 479 247 10 0
1703758654.9550 488 247 9 0
1703758654.9616 497 247 9 0
1703758654.9695 507 247 10 0
1703758654.9761 516 247 9 0
1703758654.9832 525 248 9 1
1703758654.9900 532 250 7 2
1703758654.9968 539 252 7 2
1703758655.0039 546 255 7 3
1703758655.0105 551 257 5 2
1703758655.0175 557 260 6 3
1703758655.0252 562 263 5 3
1703758655.0322 567 265 5 2
1703758655.0392 572 268 5 3
1703758655.0458 576 273 4 5
1703758655.0529 579 277 3 4
1703758655.0596 582 281 3 4
1703758655.0665 583 286 1 5
1703758655.0745 585 292 2 6
1703758655.0811 587 299 2 7
1703758655.0881 588 307 1 8
1703758655.0947 588 315 0 8
1703758655.1018 588 323 0 8
1703758655.1096 588 331 0 8
1703758655.1164 588 341 0 10
1703758655.1235 588 351 0 10
1703758655.1301 587 360 -1 9
1703758655.1369 587 369 0 9
1703758655.1436 587 380 0 11
1703758655.1507 587 391 0 11
1703758655.1585 587 402 0 11
1703758655.1655 587 413 0 11
1703758655.1724 587 426 0 13
1703758655.1790 587 437 0 11
1703758655.1859 586 447 -1 10
1703758655.1937 584 459 -2 12
1703758655.1996 582 471 -2 12
1703758655.2067 581 484 -1 13
1703758655.2144 580 495 -1 11
1703758655.2213 579 506 -1 11
1703758655.2279 577 519 -2 13
1703758655.2349 575 532 -2 13
1703758655.2417 573 543 -2 11
1703758655.2495 572 555 -1 12
1703758655.2556 571 567 -1 12
1703758655.2633 569 578 -2 11
1703758655.2703 567 590 -2 12
1703758655.2771 565 603 -2 13
1703758655.2839 564 615 -1 12
1703758655.2908 562 626 -2 11
1703758655.2977 560 637 -2 11
1703758655.3046 559 649 -1 12
1703758655.3123 557 661 -2 12
1703758655.3192 555 673 -2 12
1703758655.3262 552 686 -3 13
1703758655.3330 550 697 -2 11
1703758655.3400 548 708 -2 11
1703758655.3468 546 719 -2 11
1703758655.3539 545 731 -1 12
1703758655.3616 542 743 -3 12
1703758655.3684 539 755 -3 12
1703758655.3754 537 766 -2 11
1703758655.3820 536 778 -1 12
1703758655.3891 533 790 -3 12
1703758655.3958 531 801 -2 11
1703758655.4029 529 812 -2 11
1703758655.4097 528 824 -1 12
1703758655.4174 525 836 -3 12
1703758655.4244 523 846 -2 10
1703758655.4310 521 857 -2 11
1703758655.4381 520 868 -1 11
1703758655.4449 519 878 -1 10
1703758655.4518 519 887 0 9
1703758655.4588 518 897 -1 10
1703758655.4665 518 906 0 9
1703758655.4733 518 915 0 9
1703758655.4801 518 924 0 9
1703758655.4871 519 932 1 8
1703758655.4938 520 938 1 6
1703758655.5008 520 945 0 7
1703758655.5077 520 952 0 7
1703758655.5154 522 958 2 6
1703758655.5215 523 963 1 5
1703758655.5293 525 968 2 5
1703758655.5361 528 973 3 5
1703758655.5430 531 977 3 4
1703758655.5498 534 981 3 4
1703758655.5567 538 985 4 4
1703758655.5644 542 988 4 3
1703758655.5705 546 990 4 2
1703758655.5783 552 993 6 3
1703758655.5850 558 995 6 2
1703758655.5919 564 997 6 2
1703758655.5986 570 998 6 1
1703758655.6056 578 999 8 1
1703758655.6126 585 1000 7 1
1703758655.6205 593 1000 8 0
1703758655.6274 601 1001 8 1
1703758655.6340 610 1002 9 1
1703758655.6408 618 1002 8 0
1703758655.6475 627 1002 9 0
1703758655.6546 636 1003 9 1
1703758655.6616 645 1003 9 0
1703758655.6694 654 1004 9 1
1703758655.6763 663 1004 9 0
1703758655.6830 673 1004 10 0
1703758655.6900 682 1004 9 0
1703758655.6966 690 1004 8 0
1703758655.7038 699 1004 9 0
1703758655.7107 709 1004 10 0
1703758655.7184 718 1005 9 1
1703758655.7254 727 1005 9 0
1703758655.7320 736 1007 9 2
1703758655.7389 744 1008 8 1
1703758655.7457 752 1010 8 2
1703758655.7527 760 1012 8 2
1703758655.7597 767 1012 7 0
1703758655.7674 775 1013 8 1
1703758655.7743 783 1014 8 1
1703758655.7811 791 1017 8 3
1703758655.7879 798 1019 7 2
1703758655.7951 805 1021 7 2
1703758655.8018 812 1024 7 3
1703758655.8086 819 1026 7 2
1703758655.8163 826 1028 7 2
