% Edge sensor logfile normalized 'log_20231228_111734.253/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703758654.3456 0 0 0 0 0 0 0 0  0.0000
1703758654.3533 399 480 447 454 471 437 478 539  0.0000
1703758654.3605 412 480 451 447 451 454 461 514  0.0000
1703758654.3690 409 478 462 458 469 454 473 542  0.0000
1703758654.3772 409 501 460 447 457 442 491 519  0.0000
1703758654.3854 419 512 468 439 465 447 473 553  0.0000
1703758654.3928 402 473 449 467 455 462 478 528  0.0000
1703758654.4007 359 464 445 416 437 440 453 511  0.0000
1703758654.4086 405 476 456 450 435 452 473 508  0.0000
1703758654.4170 399 478 466 434 443 459 486 528  0.0000
1703758654.4250 405 471 451 441 423 444 468 485  0.0000
1703758654.4331 412 453 434 443 457 447 488 497  0.0000
1703758654.4407 405 478 458 456 449 452 503 533  0.0000
1703758654.4495 429 471 456 443 447 449 488 508  0.0000
1703758654.4565 379 444 443 432 431 425 476 519  0.0000
1703758654.4651 415 487 456 454 457 457 501 485  0.0000
1703758654.4731 438 473 458 458 469 442 501 542  0.0000
1703758654.4813 412 464 445 441 455 444 488 505  0.0000
1703758654.4888 409 464 443 452 469 452 498 519  0.0000
1703758654.4969 429 464 436 452 465 454 498 539  0.0000
1703758654.5053 438 482 451 452 457 452 476 516  0.0000
1703758654.5125 399 457 436 445 449 449 473 494  0.0000
1703758654.5216 425 457 432 456 471 469 508 536  0.0000
1703758654.5294 432 473 466 474 475 491 518 542  0.0000
1703758654.5366 422 466 436 441 461 466 478 519  0.0000
1703758654.5454 402 451 421 430 463 457 481 531  0.0000
1703758654.5534 438 462 449 456 469 491 503 508  0.0000
1703758654.5614 429 473 443 456 483 496 503 542  0.0000
1703758654.5692 432 466 436 441 475 488 506 528  0.0000
1703758654.5774 435 480 438 432 465 474 481 539  0.0000
1703758654.5854 432 496 466 474 495 523 526 584  0.0000
1703758654.5932 435 487 456 454 485 476 493 533  0.0000
1703758654.6012 432 478 443 443 487 511 506 536  0.0000
1703758654.6092 422 478 443 458 502 520 511 559  0.0000
1703758654.6170 455 494 462 472 493 508 518 593  0.0000
1703758654.6251 422 485 447 452 491 506 506 556  0.0000
1703758654.6332 412 455 445 441 481 498 498 556  0.0000
1703758654.6410 422 480 453 454 489 515 506 587  0.0000
1703758654.6490 442 494 466 472 489 506 526 576  0.0000
1703758654.6570 429 476 436 441 475 466 493 576  0.0000
1703758654.6649 415 473 432 439 479 479 503 596  0.0000
1703758654.6729 425 485 462 447 483 503 516 610  0.0000
1703758654.6809 425 480 456 439 479 476 506 621  0.0000
1703758654.6889 405 487 441 423 463 440 483 607  0.0000
1703758654.6967 432 503 466 456 485 488 506 646  0.0000
1703758654.7049 435 498 473 458 485 481 518 677  0.0000
1703758654.7129 409 480 451 441 475 464 511 689  0.0000
1703758654.7207 382 485 458 452 489 462 523 740  0.0036
1703758654.7287 399 489 475 439 469 471 536 757  0.0050
1703758654.7376 419 503 471 445 469 474 548 745  0.0044
1703758654.7456 402 480 466 434 455 432 528 768  0.0055
1703758654.7526 396 482 462 432 457 471 561 802  0.0082
1703758654.7607 432 503 488 463 471 491 600 841  0.0113
1703758654.7686 396 482 466 434 447 442 581 861  0.0111
1703758654.7766 399 492 456 427 447 432 593 853  0.0113
1703758654.7855 432 507 479 443 451 462 618 887  0.0134
1703758654.7928 412 498 481 454 457 459 638 940  0.0153
1703758654.8015 429 489 468 441 453 430 640 935  0.0154
1703758654.8093 402 494 458 436 453 459 645 923  0.0155
1703758654.8172 425 501 492 463 469 493 708 1000  0.0200
1703758654.8254 409 507 468 445 451 469 708 966  0.0199
1703758654.8332 429 501 483 445 453 491 728 966  0.0216
1703758654.8411 415 505 479 430 441 523 773 1000  0.0249
1703758654.8493 448 505 503 456 455 557 812 1000  0.0278
1703758654.8573 422 492 464 421 457 562 850 1000  0.0293
1703758654.8652 396 482 453 419 457 591 860 1000  0.0308
1703758654.8733 405 480 458 432 473 652 902 988  0.0349
1703758654.8812 432 482 458 445 489 701 955 974  0.0387
1703758654.8893 445 482 447 439 514 709 955 997  0.0395
1703758654.8966 432 471 438 456 554 787 985 968  0.0458
1703758654.9048 445 482 438 443 598 867 1000 968  0.0505
1703758654.9127 432 469 449 492 646 904 987 949  0.0538
1703758654.9207 412 457 436 483 682 936 952 909  0.0565
1703758654.9296 448 478 464 560 783 975 967 884  0.0650
1703758654.9366 429 489 477 609 851 985 922 833  0.0699
1703758654.9446 429 464 477 645 885 973 895 796  0.0727
1703758654.9537 412 478 492 705 927 975 870 728  0.0776
1703758654.9615 415 480 516 771 969 958 830 694  0.0817
1703758654.9696 402 492 580 840 985 943 790 621  0.0785
1703758654.9774 409 482 616 882 979 926 733 567  0.0749
1703758654.9855 412 526 695 953 981 914 713 576  0.0786
1703758654.9934 468 589 781 993 991 892 690 573  0.0843
1703758655.0014 442 612 809 973 955 826 618 533  0.0802
1703758655.0093 448 637 843 977 937 777 571 522  0.0785
1703758655.0173 481 717 907 997 927 748 566 553  0.0836
1703758655.0254 485 726 935 988 905 696 556 550  0.0789
1703758655.0334 501 760 929 975 867 645 521 539  0.0768
1703758655.0414 524 772 957 960 819 603 498 525  0.0741
1703758655.0494 557 826 974 946 787 572 523 548  0.0747
1703758655.0573 590 845 972 931 740 535 508 545  0.0726
1703758655.0653 603 861 970 915 710 513 513 553  0.0709
1703758655.0733 656 881 972 902 674 501 523 581  0.0712
1703758655.0812 726 920 985 889 664 498 526 579  0.0741
1703758655.0892 699 915 963 847 618 491 503 584  0.0701
1703758655.0971 689 906 948 833 604 486 516 584  0.0681
1703758655.1051 745 945 985 829 594 496 518 576  0.0684
1703758655.1131 775 963 974 822 586 496 516 567  0.0678
1703758655.1211 765 952 965 787 558 518 498 505  0.0652
1703758655.1289 755 952 974 758 550 498 511 550  0.0632
1703758655.1370 765 965 963 778 558 506 518 590  0.0647
1703758655.1449 755 963 965 762 544 486 518 542  0.0633
1703758655.1529 716 943 948 727 518 464 491 502  0.0603
1703758655.1611 735 965 985 742 528 501 513 559  0.0616
1703758655.1689 749 970 959 742 526 501 498 525  0.0616
1703758655.1768 669 949 963 718 512 469 486 525  0.0574
1703758655.1847 650 922 957 733 506 488 501 531  0.0571
1703758655.1938 673 929 976 722 516 479 491 514  0.0579
1703758655.2007 676 943 976 747 520 466 468 494  0.0601
1703758655.2089 627 904 957 698 487 444 458 471  0.0526
1703758655.2168 570 895 963 722 493 462 481 494  0.0520
1703758655.2246 590 911 982 740 524 488 478 514  0.0548
1703758655.2326 564 881 972 725 495 447 458 477  0.0517
1703758655.2415 528 851 963 725 491 432 438 466  0.0496
1703758655.2496 541 863 997 756 514 447 456 494  0.0528
1703758655.2568 514 835 987 778 510 459 471 494  0.0523
1703758655.2647 495 831 987 767 508 435 436 483  0.0511
1703758655.2725 455 797 989 771 495 430 431 454  0.0490
1703758655.2805 488 804 993 809 534 459 453 502  0.0526
1703758655.2895 468 772 982 804 528 444 426 468  0.0504
1703758655.2975 445 756 985 822 540 432 441 471  0.0504
1703758655.3047 415 735 970 838 554 420 438 483  0.0501
1703758655.3136 462 722 980 866 582 432 448 502  0.0515
1703758655.3215 412 662 920 860 572 422 421 488  0.0464
1703758655.3286 392 633 897 893 596 398 418 471  0.0462
1703758655.3375 415 624 882 940 636 418 428 457  0.0481
1703758655.3445 445 617 873 946 672 437 436 485  0.0496
1703758655.3527 405 578 835 982 694 427 408 451  0.0483
1703758655.3617 399 523 790 977 732 418 423 463  0.0470
1703758655.3685 399 533 783 1000 773 457 431 468  0.0494
1703758655.3765 409 503 747 997 803 481 416 446  0.0485
1703758655.3855 396 482 708 971 821 491 411 437  0.0463
1703758655.3935 412 492 683 966 871 567 436 466  0.0483
1703758655.4007 422 487 650 929 903 623 441 435  0.0491
1703758655.4096 389 487 599 891 931 635 441 443  0.0470
1703758655.4175 386 478 552 860 933 672 451 451  0.0465
1703758655.4255 409 489 528 829 963 713 478 477  0.0479
1703758655.4336 412 492 513 800 971 765 496 485  0.0500
1703758655.4414 372 469 475 733 935 765 501 468  0.0458
1703758655.4496 363 462 458 689 937 843 553 502  0.0472
1703758655.4574 412 485 475 656 931 899 623 548  0.0494
1703758655.4653 382 464 453 603 889 916 618 508  0.0460
1703758655.4734 382 466 441 545 847 948 663 519  0.0455
1703758655.4814 389 478 462 545 827 990 720 545  0.0495
1703758655.4893 389 471 456 518 773 977 755 567  0.0497
1703758655.4973 389 466 464 512 759 977 788 587  0.0516
1703758655.5053 363 453 453 483 704 953 798 581  0.0476
1703758655.5131 382 473 466 492 694 941 870 661  0.0538
1703758655.5214 382 455 456 478 652 904 857 683  0.0523
1703758655.5294 392 460 445 463 636 897 897 686  0.0518
1703758655.5373 366 455 456 470 612 880 917 734  0.0515
1703758655.5453 415 489 466 498 610 880 952 793  0.0514
1703758655.5532 366 453 443 458 576 845 940 785  0.0490
1703758655.5611 356 448 428 470 560 821 945 776  0.0475
1703758655.5692 389 469 460 487 570 836 955 833  0.0484
1703758655.5771 409 476 456 490 588 828 970 867  0.0489
1703758655.5851 382 471 428 463 560 826 952 850  0.0477
1703758655.5931 372 464 441 454 558 831 960 844  0.0478
1703758655.6011 389 478 458 494 560 828 987 878  0.0478
1703758655.6089 379 469 451 481 562 831 970 889  0.0480
1703758655.6171 366 460 451 472 542 826 972 838  0.0471
1703758655.6250 389 482 471 512 584 858 992 861  0.0497
1703758655.6328 396 487 477 496 586 855 990 847  0.0497
1703758655.6410 369 471 471 494 570 843 955 816  0.0487
1703758655.6490 356 478 471 498 578 865 980 819  0.0497
1703758655.6570 386 476 479 483 582 877 987 796  0.0501
1703758655.6650 386 466 481 505 590 894 967 771  0.0509
1703758655.6729 359 464 462 474 588 887 945 731  0.0506
1703758655.6807 353 464 453 478 602 924 957 714  0.0520
1703758655.6888 386 480 488 501 634 946 950 734  0.0538
1703758655.6968 366 482 458 458 622 916 900 677  0.0508
1703758655.7050 343 464 451 458 632 938 877 658  0.0499
1703758655.7130 389 487 473 474 648 965 892 649  0.0506
1703758655.7208 369 469 453 472 660 965 865 632  0.0497
1703758655.7287 376 466 468 461 666 987 842 596  0.0477
1703758655.7367 363 460 462 461 678 987 815 579  0.0466
1703758655.7456 389 482 479 494 728 1000 847 584  0.0517
1703758655.7529 369 476 451 485 730 1000 807 553  0.0491
1703758655.7609 379 464 453 490 744 1000 790 550  0.0491
1703758655.7687 369 464 451 509 777 1000 805 556  0.0522
1703758655.7766 415 478 471 529 793 1000 793 531  0.0522
1703758655.7846 376 451 445 498 791 1000 760 542  0.0499
1703758655.7926 372 439 428 503 793 1000 745 516  0.0485
1703758655.8006 382 466 451 509 807 1000 730 511  0.0481
1703758655.8088 409 482 464 543 827 1000 743 528  0.0511
1703758655.8166 382 455 449 527 821 1000 713 500  0.0477
1703758655.8247 372 451 447 507 813 1000 713 519  0.0470
1703758655.8327 389 457 449 532 823 1000 718 525  0.0485
1703758655.8407 386 464 464 541 833 980 700 514  0.0474
1703758655.8487 366 444 441 518 787 965 690 491  0.0441
1703758655.8567 399 469 456 529 823 980 723 533  0.0490
1703758655.8658 415 476 468 527 813 982 728 522  0.0488
1703758655.8736 396 457 451 525 827 992 715 525  0.0482
1703758655.8808 379 453 438 521 823 1000 728 536  0.0492
1703758655.8886 415 469 443 518 805 997 750 545  0.0503
1703758655.8976 422 471 451 529 815 1000 730 533  0.0493
1703758655.9047 399 457 434 498 783 973 725 522  0.0466
1703758655.9136 392 451 438 496 799 997 750 536  0.0494
1703758655.9215 435 489 462 527 823 1000 773 581  0.0539
1703758655.9287 412 464 438 498 781 995 760 556  0.0498
1703758655.9376 389 448 421 465 755 1000 768 542  0.0480
1703758655.9455 422 466 441 501 777 1000 783 570  0.0515
1703758655.9526 405 469 443 476 751 995 783 584  0.0502
