% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703752968.4462 0 0 0 0
1703752968.4522 0 0 0 0
1703752968.4589 0 0 0 0
1703752968.4665 0 0 0 0
1703752968.4729 0 0 0 0
1703752968.4809 2 2 2 2
1703752968.4874 5 5 3 3
1703752968.4944 8 7 3 2
1703752968.5013 9 8 1 1
1703752968.5083 10 8 1 0
1703752968.5154 14 10 4 2
1703752968.5227 17 11 3 1
1703752968.5296 20 12 3 1
1703752968.5368 24 12 4 0
1703752968.5439 28 13 4 1
1703752968.5512 34 13 6 0
1703752968.5578 40 13 6 0
1703752968.5654 46 13 6 0
1703752968.5717 52 13 6 0
1703752968.5785 60 14 8 1
1703752968.5858 68 14 8 0
1703752968.5933 76 14 8 0
1703752968.6002 86 14 10 0
1703752968.6073 96 14 10 0
1703752968.6140 105 14 9 0
1703752968.6208 116 14 11 0
1703752968.6275 126 14 10 0
1703752968.6346 137 13 11 -1
1703752968.6415 148 13 11 0
1703752968.6492 159 13 11 0
1703752968.6563 170 13 11 0
1703752968.6630 181 13 11 0
1703752968.6699 193 13 12 0
1703752968.6767 203 13 10 0
1703752968.6835 213 13 10 0
1703752968.6905 223 13 10 0
1703752968.6982 233 13 10 0
1703752968.7053 243 13 10 0
1703752968.7121 254 13 11 0
1703752968.7189 264 13 10 0
1703752968.7260 273 14 9 1
1703752968.7325 281 15 8 1
1703752968.7394 289 18 8 3
1703752968.7471 297 20 8 2
1703752968.7542 305 22 8 2
1703752968.7612 313 23 8 1
1703752968.7678 320 26 7 3
1703752968.7749 326 28 6 2
1703752968.7816 332 31 6 3
1703752968.7894 338 34 6 3
1703752968.7962 343 37 5 3
1703752968.8030 348 40 5 3
1703752968.8101 352 44 4 4
1703752968.8169 356 49 4 5
1703752968.8238 359 54 3 5
1703752968.8305 362 58 3 4
1703752968.8384 365 64 3 6
1703752968.8452 368 70 3 6
1703752968.8519 371 76 3 6
1703752968.8589 372 83 1 7
1703752968.8659 374 90 2 7
