% Edge sensor logfile normalized 'log_20231228_094248.370/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703752968.4526 0 0 0 0 0 0 0 0  0.0000
1703752968.4608 320 430 394 419 447 427 690 949  0.0185
1703752968.4688 363 446 443 463 467 488 753 1000  0.0231
1703752968.4763 343 439 430 447 451 476 753 983  0.0230
1703752968.4850 306 416 417 427 433 459 730 974  0.0214
1703752968.4930 336 451 436 461 463 474 753 1000  0.0229
1703752968.5009 333 435 419 445 457 466 748 1000  0.0226
1703752968.5087 306 425 432 425 435 452 728 1000  0.0212
1703752968.5167 300 428 421 441 449 462 745 988  0.0224
1703752968.5250 333 446 447 470 465 484 760 1000  0.0235
1703752968.5334 313 416 426 430 451 457 743 1000  0.0222
1703752968.5413 333 432 436 450 453 469 755 1000  0.0230
1703752968.5489 330 432 443 443 461 493 758 1000  0.0235
1703752968.5565 356 464 447 443 453 476 758 1000  0.0233
1703752968.5656 287 416 432 441 449 466 758 985  0.0231
1703752968.5729 336 441 449 452 461 508 790 1000  0.0254
1703752968.5813 333 428 434 434 445 498 800 1000  0.0257
1703752968.5892 346 439 447 465 455 515 825 1000  0.0271
1703752968.5967 346 428 438 456 451 528 842 1000  0.0280
1703752968.6051 382 457 451 478 475 572 892 1000  0.0309
1703752968.6128 349 423 445 456 447 564 885 1000  0.0304
1703752968.6209 339 414 436 456 459 613 927 1000  0.0332
1703752968.6290 376 446 460 461 463 633 950 1000  0.0345
1703752968.6368 369 441 458 458 467 672 980 1000  0.0368
1703752968.6448 369 430 443 452 441 687 975 963  0.0377
1703752968.6528 369 451 447 465 485 745 1000 994  0.0419
1703752968.6607 399 478 475 470 504 787 1000 937  0.0445
1703752968.6687 353 441 441 445 520 814 1000 898  0.0460
1703752968.6768 349 446 443 450 544 841 990 841  0.0477
1703752968.6847 382 476 449 467 606 909 1000 841  0.0519
1703752968.6927 386 464 458 456 620 919 960 762  0.0527
1703752968.7007 349 439 443 436 644 955 910 717  0.0544
1703752968.7086 405 451 449 490 712 1000 920 703  0.0589
1703752968.7166 392 485 468 498 755 1000 885 661  0.0586
1703752968.7248 392 464 460 512 779 1000 845 584  0.0550
1703752968.7326 389 455 445 543 825 1000 825 562  0.0563
1703752968.7406 429 478 477 605 885 1000 805 562  0.0596
1703752968.7486 389 466 462 620 893 1000 738 514  0.0555
1703752968.7565 389 451 453 656 935 987 693 511  0.0544
1703752968.7645 405 476 481 685 961 990 695 525  0.0565
1703752968.7726 396 466 481 731 987 951 640 494  0.0565
1703752968.7814 376 444 475 731 981 921 596 471  0.0540
1703752968.7895 405 476 503 776 1000 914 596 491  0.0569
1703752968.7965 425 492 531 811 1000 889 568 511  0.0576
1703752968.8054 409 469 535 827 1000 865 548 485  0.0570
1703752968.8134 402 478 563 866 1000 841 536 514  0.0581
1703752968.8205 419 494 586 906 1000 838 538 508  0.0599
1703752968.8293 379 480 588 893 1000 801 493 457  0.0571
1703752968.8372 363 462 588 906 1000 779 491 477  0.0564
1703752968.8453 419 487 614 922 1000 779 491 494  0.0578
1703752968.8530 412 476 601 920 1000 748 468 477  0.0552
1703752968.8614 402 478 633 944 1000 748 458 446  0.0569
1703752968.8685 386 494 633 949 1000 740 481 491  0.0567
1703752968.8773 425 510 650 953 1000 753 493 522  0.0586
1703752968.8854 405 492 642 960 1000 740 481 491  0.0573
1703752968.8934 376 485 625 940 1000 733 483 519  0.0558
1703752968.9012 422 496 650 966 1000 738 488 505  0.0577
1703752968.9085 405 498 642 935 1000 718 466 488  0.0554
1703752968.9165 389 476 616 931 995 706 453 494  0.0532
1703752968.9253 392 482 633 953 1000 723 486 502  0.0557
1703752968.9325 435 485 608 962 1000 748 488 516  0.0564
1703752968.9405 386 471 603 920 1000 735 466 497  0.0545
1703752968.9493 369 466 582 898 997 743 478 497  0.0538
1703752968.9568 402 482 584 915 1000 762 498 500  0.0556
1703752968.9650 386 471 552 880 1000 753 473 497  0.0528
1703752968.9727 356 444 533 847 1000 748 483 480  0.0511
1703752968.9808 389 473 528 860 1000 782 493 500  0.0533
1703752968.9888 415 462 533 853 1000 794 486 480  0.0537
1703752968.9967 369 453 496 827 1000 777 468 468  0.0508
1703752969.0049 405 464 486 824 1000 806 486 477  0.0520
1703752969.0130 425 476 488 811 1000 814 511 491  0.0525
1703752969.0207 372 453 475 789 1000 814 503 468  0.0511
1703752969.0287 376 460 451 762 1000 816 488 471  0.0492
1703752969.0367 389 469 466 749 1000 828 501 477  0.0495
1703752969.0446 369 462 456 749 1000 841 516 474  0.0502
1703752969.0526 363 448 434 709 1000 841 518 468  0.0476
1703752969.0607 382 464 458 709 1000 858 541 471  0.0489
1703752969.0686 399 469 449 716 1000 870 556 497  0.0502
1703752969.0766 389 471 441 678 997 872 548 463  0.0475
1703752969.0848 409 473 432 682 985 897 568 480  0.0490
1703752969.0925 419 494 451 680 991 904 576 502  0.0493
1703752969.1005 382 460 428 651 985 911 581 485  0.0481
1703752969.1086 386 453 426 640 973 907 576 480  0.0472
1703752969.1175 382 476 430 654 967 907 573 494  0.0477
1703752969.1256 389 469 421 643 961 909 573 480  0.0471
1703752969.1328 366 455 432 618 939 904 581 463  0.0458
1703752969.1405 399 466 453 634 965 946 615 494  0.0491
1703752969.1485 392 482 445 618 963 953 620 494  0.0486
1703752969.1567 409 480 449 614 953 936 608 474  0.0476
1703752969.1654 356 441 438 616 945 948 620 491  0.0482
1703752969.1734 412 480 462 645 965 955 640 505  0.0509
1703752969.1807 392 462 436 618 943 933 608 480  0.0475
1703752969.1895 379 453 428 605 943 953 613 471  0.0475
1703752969.1975 386 480 458 627 947 958 630 502  0.0493
1703752969.2046 432 507 458 636 963 965 623 488  0.0497
1703752969.2134 382 482 447 623 937 946 603 460  0.0477
1703752969.2205 412 471 456 636 963 970 628 511  0.0500
1703752969.2285 396 498 481 649 965 990 630 514  0.0510
1703752969.2374 389 482 449 643 961 968 628 491  0.0503
1703752969.2454 372 471 445 634 967 973 628 488  0.0500
1703752969.2534 409 492 475 649 981 990 635 497  0.0514
1703752969.2613 415 489 462 647 963 965 598 485  0.0493
1703752969.2694 402 482 453 647 967 955 603 488  0.0493
1703752969.2774 389 482 464 665 973 965 615 514  0.0510
1703752969.2851 405 501 479 667 985 963 613 522  0.0511
1703752969.2933 392 487 473 654 967 963 596 500  0.0496
1703752969.3013 382 487 471 674 981 963 618 519  0.0516
1703752969.3092 392 498 479 665 971 960 620 531  0.0511
1703752969.3173 382 496 477 665 987 963 623 491  0.0514
1703752969.3253 376 478 473 669 975 946 593 491  0.0501
1703752969.3331 392 498 479 680 991 965 628 539  0.0525
1703752969.3411 402 494 471 662 973 963 605 508  0.0504
1703752969.3492 405 496 471 654 971 941 608 502  0.0497
1703752969.3572 409 494 473 674 989 960 608 528  0.0512
1703752969.3652 405 498 479 680 989 970 628 545  0.0525
1703752969.3732 396 505 475 660 985 958 603 502  0.0502
1703752969.3810 366 480 471 654 973 943 618 528  0.0502
1703752969.3890 396 496 479 660 979 958 628 519  0.0512
1703752969.3970 379 494 471 658 975 948 613 508  0.0503
