% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1706887248.1643 0 0 0 0
1706887248.1719 0 0 0 0
1706887248.1793 0 0 0 0
1706887248.1869 0 0 0 0
1706887248.1949 0 0 0 0
1706887248.2030 0 0 0 0
1706887248.2116 0 0 0 0
1706887248.2203 0 0 0 0
1706887248.2271 0 0 0 0
1706887248.2350 0 0 0 0
1706887248.2432 0 0 0 0
1706887248.2514 0 0 0 0
1706887248.2592 0 0 0 0
1706887248.2674 0 0 0 0
1706887248.2750 0 0 0 0
1706887248.2837 0 0 0 0
1706887248.2918 3 5 3 5
1706887248.2989 8 8 5 3
1706887248.3077 11 10 3 2
1706887248.3157 12 12 1 2
1706887248.3235 15 15 3 3
1706887248.3313 19 19 4 4
1706887248.3394 22 22 3 3
1706887248.3476 25 26 3 4
1706887248.3554 32 31 7 5
1706887248.3635 37 35 5 4
1706887248.3713 42 41 5 6
1706887248.3792 49 48 7 7
1706887248.3874 57 55 8 7
1706887248.3957 63 60 6 5
1706887248.4033 69 67 6 7
1706887248.4116 76 74 7 7
1706887248.4195 83 80 7 6
1706887248.4276 90 87 7 7
1706887248.4358 97 96 7 9
1706887248.4430 104 103 7 7
1706887248.4517 110 108 6 5
1706887248.4599 116 113 6 5
1706887248.4670 123 120 7 7
1706887248.4754 132 129 9 9
1706887248.4836 138 136 6 7
1706887248.4919 144 142 6 6
1706887248.4995 152 148 8 6
1706887248.5077 160 156 8 8
1706887248.5149 167 164 7 8
1706887248.5233 172 171 5 7
1706887248.5315 178 176 6 5
1706887248.5395 186 181 8 5
1706887248.5473 194 189 8 8
1706887248.5555 201 199 7 10
1706887248.5637 207 205 6 6
1706887248.5711 213 211 6 6
1706887248.5793 220 216 7 5
1706887248.5874 228 224 8 8
1706887248.5952 234 233 6 9
1706887248.6033 240 238 6 5
1706887248.6116 247 243 7 5
1706887248.6201 255 249 8 6
1706887248.6272 261 258 6 9
1706887248.6353 267 265 6 7
1706887248.6431 273 270 6 5
1706887248.6513 281 276 8 6
1706887248.6602 289 284 8 8
1706887248.6671 296 293 7 9
1706887248.6759 301 299 5 6
1706887248.6830 306 303 5 4
1706887248.6918 313 310 7 7
1706887248.6990 322 318 9 8
1706887248.7072 329 325 7 7
1706887248.7149 334 332 5 7
1706887248.7236 340 338 6 6
1706887248.7319 347 345 7 7
1706887248.7397 356 353 9 8
1706887248.7479 363 359 7 6
1706887248.7551 369 364 6 5
1706887248.7648 375 371 6 7
1706887248.7715 382 380 7 9
1706887248.7798 390 387 8 7
1706887248.7875 396 391 6 4
1706887248.7958 401 396 5 5
1706887248.8030 408 404 7 8
1706887248.8117 415 413 7 9
1706887248.8196 421 420 6 7
1706887248.8278 428 425 7 5
1706887248.8356 435 431 7 6
1706887248.8438 442 439 7 8
1706887248.8510 448 446 6 7
1706887248.8597 454 452 6 6
1706887248.8669 461 456 7 4
1706887248.8758 470 463 9 7
1706887248.8836 476 472 6 9
1706887248.8919 482 480 6 8
1706887248.8999 488 486 6 6
1706887248.9077 496 490 8 4
1706887248.9149 504 497 8 7
1706887248.9238 511 505 7 8
1706887248.9316 516 513 5 8
1706887248.9398 522 518 6 5
1706887248.9478 529 524 7 6
1706887248.9555 537 531 8 7
1706887248.9638 544 539 7 8
1706887248.9716 549 545 5 6
1706887248.9794 554 551 5 6
1706887248.9876 561 558 7 7
1706887248.9956 569 566 8 8
1706887249.0034 577 573 8 7
1706887249.0115 583 578 6 5
1706887249.0204 587 585 4 7
1706887249.0271 594 593 7 8
1706887249.0352 603 601 9 8
1706887249.0434 609 605 6 4
1706887249.0512 615 611 6 6
1706887249.0594 622 619 7 8
1706887249.0677 629 627 7 8
1706887249.0751 636 633 7 6
1706887249.0831 642 638 6 5
1706887249.0914 648 646 6 8
1706887249.0991 655 654 7 8
1706887249.1073 663 660 8 6
1706887249.1156 669 666 6 6
1706887249.1238 675 673 6 7
1706887249.1310 682 681 7 8
1706887249.1392 690 687 8 6
1706887249.1469 696 693 6 6
1706887249.1552 702 699 6 6
1706887249.1630 709 707 7 8
1706887249.1712 717 716 8 9
1706887249.1794 723 722 6 6
1706887249.1877 730 727 7 5
1706887249.1954 737 733 7 6
1706887249.2036 744 742 7 9
1706887249.2118 749 748 5 6
1706887249.2200 756 753 7 5
1706887249.2272 764 760 8 7
1706887249.2354 772 769 8 9
1706887249.2432 777 775 5 6
1706887249.2514 783 780 6 5
1706887249.2595 789 787 6 7
1706887249.2673 798 796 9 9
1706887249.2752 806 802 8 6
1706887249.2834 812 807 6 5
1706887249.2911 818 814 6 7
1706887249.2993 825 823 7 9
1706887249.3073 832 829 7 6
1706887249.3151 839 834 7 5
1706887249.3229 844 841 5 7
1706887249.3312 850 850 6 9
1706887249.3389 857 856 7 6
1706887249.3472 861 858 4 2
1706887249.3552 863 860 2 2
1706887249.3629 866 862 3 2
1706887249.3718 868 864 2 2
1706887249.3790 869 865 1 1
1706887249.3878 871 867 2 2
1706887249.3958 873 869 2 2
1706887249.4030 875 871 2 2
1706887249.4118 877 874 2 3
1706887249.4196 878 876 1 2
1706887249.4278 878 877 0 1
1706887249.4355 879 879 1 2
1706887249.4436 879 882 0 3
1706887249.4518 880 883 1 1
1706887249.4596 879 883 -1 0
1706887249.4678 879 884 0 1
1706887249.4757 879 885 0 1
1706887249.4843 879 887 0 2
1706887249.4915 879 889 0 2
1706887249.4997 879 890 0 1
1706887249.5075 878 890 -1 0
1706887249.5157 877 890 -1 0
1706887249.5235 876 891 -1 1
1706887249.5311 875 891 -1 0
1706887249.5393 874 893 -1 2
1706887249.5475 873 894 -1 1
1706887249.5552 872 895 -1 1
1706887249.5634 870 896 -2 1
1706887249.5712 869 898 -1 2
1706887249.5798 867 901 -2 3
1706887249.5870 866 903 -1 2
1706887249.5952 864 904 -2 1
1706887249.6029 863 907 -1 3
1706887249.6112 862 909 -1 2
1706887249.6199 860 910 -2 1
1706887249.6277 858 912 -2 2
1706887249.6359 857 915 -1 3
1706887249.6431 856 917 -1 2
1706887249.6519 854 917 -2 0
1706887249.6597 852 918 -2 1
1706887249.6677 851 921 -1 3
1706887249.6751 850 925 -1 4
1706887249.6833 848 925 -2 0
1706887249.6915 847 925 -1 0
1706887249.6993 846 927 -1 2
1706887249.7075 844 931 -2 4
1706887249.7155 843 933 -1 2
1706887249.7240 842 933 -1 0
1706887249.7311 840 935 -2 2
1706887249.7393 838 938 -2 3
1706887249.7470 837 940 -1 2
1706887249.7551 835 940 -2 0
1706887249.7633 834 940 -1 0
1706887249.7717 833 943 -1 3
1706887249.7799 831 946 -2 3
1706887249.7870 830 948 -1 2
1706887249.7958 829 948 -1 0
1706887249.8029 828 948 -1 0
1706887249.8111 826 951 -2 3
1706887249.8195 824 953 -2 2
1706887249.8276 823 956 -1 3
1706887249.8359 822 956 -1 0
1706887249.8445 820 957 -2 1
1706887249.8516 819 958 -1 1
1706887249.8598 817 961 -2 3
1706887249.8676 815 964 -2 3
1706887249.8754 815 964 0 0
1706887249.8836 814 964 -1 0
1706887249.8911 812 965 -2 1
1706887249.8993 810 966 -2 1
1706887249.9077 808 968 -2 2
1706887249.9154 807 971 -1 3
1706887249.9232 806 973 -1 2
1706887249.9314 804 974 -2 1
1706887249.9390 803 975 -1 1
1706887249.9472 801 976 -2 1
1706887249.9554 799 979 -2 3
1706887249.9633 798 980 -1 1
1706887249.9711 797 980 -1 0
1706887249.9792 795 981 -2 1
1706887249.9869 794 982 -1 1
1706887249.9952 793 984 -1 2
1706887250.0034 791 986 -2 2
1706887250.0111 790 987 -1 1
1706887250.0200 788 988 -2 1
1706887250.0270 786 989 -2 1
1706887250.0358 785 991 -1 2
1706887250.0430 785 992 0 1
1706887250.0512 782 992 -3 0
1706887250.0589 781 993 -1 1
1706887250.0671 780 995 -1 2
1706887250.0758 778 998 -2 3
1706887250.0836 777 998 -1 0
1706887250.0917 776 998 -1 0
1706887250.0989 774 999 -2 1
1706887250.1078 773 1001 -1 2
1706887250.1158 772 1004 -1 3
1706887250.1237 770 1006 -2 2
1706887250.1314 768 1006 -2 0
1706887250.1396 767 1006 -1 0
1706887250.1479 766 1006 -1 0
1706887250.1556 763 1008 -3 2
1706887250.1633 762 1012 -1 4
1706887250.1711 762 1014 0 2
1706887250.1799 760 1015 -2 1
1706887250.1871 758 1015 -2 0
1706887250.1953 756 1016 -2 1
1706887250.2039 755 1016 -1 0
1706887250.2111 755 1018 0 2
1706887250.2200 754 1020 -1 2
1706887250.2277 752 1023 -2 3
1706887250.2359 750 1024 -2 1
1706887250.2431 749 1024 -1 0
1706887250.2517 749 1025 0 1
1706887250.2599 747 1027 -2 2
1706887250.2670 746 1028 -1 1
1706887250.2754 744 1029 -2 1
1706887250.2836 742 1030 -2 1
1706887250.2919 741 1032 -1 2
1706887250.2994 740 1033 -1 1
1706887250.3076 739 1033 -1 0
1706887250.3159 737 1035 -2 2
1706887250.3233 735 1038 -2 3
1706887250.3314 734 1040 -1 2
1706887250.3395 732 1041 -2 1
1706887250.3473 730 1042 -2 1
1706887250.3554 729 1042 -1 0
1706887250.3637 728 1042 -1 0
1706887250.3711 726 1043 -2 1
1706887250.3793 725 1045 -1 2
1706887250.3874 724 1047 -1 2
1706887250.3951 722 1048 -2 1
1706887250.4034 720 1049 -2 1
1706887250.4117 720 1051 0 2
1706887250.4201 720 1053 0 2
1706887250.4273 718 1054 -2 1
1706887250.4353 715 1054 -3 0
1706887250.4430 713 1056 -2 2
1706887250.4514 713 1059 0 3
1706887250.4597 713 1060 0 1
1706887250.4676 712 1060 -1 0
1706887250.4753 709 1062 -3 2
1706887250.4835 706 1065 -3 3
1706887250.4914 707 1067 1 2
1706887250.4996 707 1068 0 1
1706887250.5069 704 1068 -3 0
1706887250.5149 700 1070 -4 2
1706887250.5238 700 1072 0 2
1706887250.5311 699 1074 -1 2
1706887250.5399 698 1074 -1 0
1706887250.5471 695 1074 -3 0
1706887250.5554 693 1075 -2 1
1706887250.5640 693 1078 0 3
1706887250.5719 692 1081 -1 3
1706887250.5791 691 1083 -1 2
1706887250.5869 688 1083 -3 0
1706887250.5952 686 1083 -2 0
1706887250.6035 686 1084 0 1
1706887250.6111 686 1086 0 2
1706887250.6201 684 1088 -2 2
1706887250.6273 681 1088 -3 0
1706887250.6351 679 1088 -2 0
1706887250.6435 679 1089 0 1
1706887250.6518 679 1092 0 3
1706887250.6601 678 1095 -1 3
1706887250.6673 675 1096 -3 1
1706887250.6752 673 1096 -2 0
1706887250.6829 673 1097 0 1
1706887250.6912 673 1097 0 0
1706887250.6993 672 1099 -1 2
1706887250.7070 669 1101 -3 2
1706887250.7153 666 1103 -3 2
1706887250.7232 666 1104 0 1
1706887250.7310 666 1104 0 0
1706887250.7393 665 1105 -1 1
1706887250.7473 663 1107 -2 2
1706887250.7551 659 1109 -4 2
1706887250.7635 659 1110 0 1
1706887250.7713 659 1111 0 1
1706887250.7791 659 1113 0 2
1706887250.7874 656 1115 -3 2
1706887250.7955 653 1115 -3 0
1706887250.8033 651 1115 -2 0
1706887250.8115 651 1116 0 1
1706887250.8205 651 1119 0 3
1706887250.8271 650 1122 -1 3
1706887250.8352 646 1124 -4 2
1706887250.8435 644 1124 -2 0
1706887250.8512 644 1124 0 0
1706887250.8595 644 1125 0 1
1706887250.8678 643 1127 -1 2
1706887250.8752 640 1130 -3 3
1706887250.8833 637 1131 -3 1
1706887250.8917 636 1132 -1 1
1706887250.8995 635 1133 -1 1
1706887250.9077 633 1134 -2 1
1706887250.9149 631 1137 -2 3
1706887250.9243 630 1138 -1 1
1706887250.9315 630 1139 0 1
1706887250.9398 629 1140 -1 1
1706887250.9476 627 1142 -2 2
1706887250.9549 624 1143 -3 1
1706887250.9631 624 1144 0 1
1706887250.9714 623 1145 -1 1
1706887250.9796 622 1146 -1 1
1706887250.9869 619 1147 -3 1
1706887250.9958 618 1149 -1 2
1706887251.0031 618 1150 0 1
1706887251.0113 618 1152 0 2
1706887251.0196 616 1153 -2 1
1706887251.0278 614 1153 -2 0
1706887251.0350 612 1155 -2 2
1706887251.0439 612 1157 0 2
1706887251.0511 612 1161 0 4
1706887251.0592 611 1162 -1 1
1706887251.0669 609 1162 -2 0
1706887251.0758 606 1164 -3 2
1706887251.0830 605 1166 -1 2
1706887251.0909 605 1167 0 1
1706887251.0993 604 1167 -1 0
1706887251.1073 602 1168 -2 1
1706887251.1151 599 1169 -3 1
1706887251.1230 599 1173 0 4
1706887251.1312 599 1175 0 2
1706887251.1390 598 1176 -1 1
1706887251.1472 595 1176 -3 0
1706887251.1553 592 1178 -3 2
1706887251.1638 592 1181 0 3
1706887251.1716 592 1183 0 2
1706887251.1798 591 1183 -1 0
1706887251.1876 588 1184 -3 1
1706887251.1957 585 1186 -3 2
1706887251.2030 584 1188 -1 2
1706887251.2119 584 1189 0 1
1706887251.2197 583 1189 -1 0
1706887251.2279 582 1191 -1 2
1706887251.2357 580 1193 -2 2
1706887251.2437 577 1194 -3 1
1706887251.2510 576 1194 -1 0
1706887251.2599 577 1195 1 1
1706887251.2670 575 1198 -2 3
1706887251.2760 573 1200 -2 2
1706887251.2847 572 1201 -1 1
1706887251.2918 571 1201 -1 0
1706887251.2990 571 1202 0 1
1706887251.3079 569 1203 -2 1
1706887251.3150 566 1206 -3 3
1706887251.3240 565 1209 -1 3
1706887251.3316 565 1209 0 0
1706887251.3398 563 1209 -2 0
1706887251.3470 561 1210 -2 1
1706887251.3559 559 1213 -2 3
1706887251.3631 558 1217 -1 4
1706887251.3710 558 1218 0 1
1706887251.3796 556 1218 -2 0
1706887251.3878 554 1219 -2 1
1706887251.3950 551 1219 -3 0
1706887251.4038 550 1221 -1 2
1706887251.4111 550 1223 0 2
1706887251.4198 549 1225 -1 2
1706887251.4277 547 1226 -2 1
1706887251.4358 544 1227 -3 1
1706887251.4430 543 1228 -1 1
1706887251.4519 543 1229 0 1
1706887251.4591 542 1230 -1 1
1706887251.4671 539 1231 -3 1
1706887251.4756 537 1233 -2 2
1706887251.4838 537 1234 0 1
1706887251.4910 537 1234 0 0
1706887251.4999 535 1235 -2 1
1706887251.5071 533 1236 -2 1
1706887251.5151 530 1239 -3 3
1706887251.5235 529 1242 -1 3
1706887251.5318 529 1242 0 0
1706887251.5390 528 1242 -1 0
1706887251.5479 526 1243 -2 1
1706887251.5550 523 1246 -3 3
1706887251.5632 523 1249 0 3
1706887251.5717 523 1249 0 0
1706887251.5799 522 1249 -1 0
1706887251.5871 520 1250 -2 1
1706887251.5959 516 1253 -4 3
1706887251.6029 515 1257 -1 4
1706887251.6113 515 1259 0 2
1706887251.6197 513 1259 -2 0
1706887251.6278 510 1260 -3 1
1706887251.6350 508 1261 -2 1
1706887251.6447 508 1262 0 1
1706887251.6518 509 1264 1 2
1706887251.6597 508 1266 -1 2
1706887251.6675 506 1266 -2 0
1706887251.6754 503 1267 -3 1
1706887251.6837 502 1269 -1 2
1706887251.6914 502 1270 0 1
1706887251.6996 501 1271 -1 1
1706887251.7079 498 1272 -3 1
1706887251.7156 495 1274 -3 2
1706887251.7235 494 1276 -1 2
1706887251.7318 494 1277 0 1
1706887251.7394 492 1277 -2 0
1706887251.7476 490 1278 -2 1
1706887251.7559 488 1280 -2 2
1706887251.7637 488 1283 0 3
1706887251.7715 488 1284 0 1
1706887251.7796 487 1284 -1 0
1706887251.7873 485 1285 -2 1
1706887251.7956 482 1288 -3 3
1706887251.8038 482 1290 0 2
1706887251.8117 482 1290 0 0
1706887251.8205 482 1290 0 0
1706887251.8275 480 1291 -2 1
1706887251.8353 477 1294 -3 3
1706887251.8436 474 1297 -3 3
1706887251.8519 474 1299 0 2
1706887251.8596 474 1299 0 0
1706887251.8678 472 1299 -2 0
1706887251.8755 469 1299 -3 0
1706887251.8833 466 1302 -3 3
1706887251.8916 466 1304 0 2
1706887251.8998 466 1306 0 2
1706887251.9076 464 1307 -2 1
1706887251.9156 461 1308 -3 1
1706887251.9235 459 1310 -2 2
1706887251.9314 458 1312 -1 2
1706887251.9396 458 1312 0 0
1706887251.9478 458 1313 0 1
1706887251.9556 456 1315 -2 2
1706887251.9636 454 1317 -2 2
1706887251.9715 452 1318 -2 1
1706887251.9793 451 1318 -1 0
1706887251.9876 450 1319 -1 1
1706887251.9959 449 1322 -1 3
1706887252.0046 447 1325 -2 3
1706887252.0117 446 1326 -1 1
1706887252.0196 444 1327 -2 1
1706887252.0274 443 1327 -1 0
1706887252.0356 442 1328 -1 1
1706887252.0439 441 1330 -1 2
1706887252.0515 439 1331 -2 1
1706887252.0598 437 1333 -2 2
1706887252.0670 436 1334 -1 1
1706887252.0754 436 1335 0 1
1706887252.0836 435 1336 -1 1
1706887252.0918 433 1338 -2 2
1706887252.0994 430 1340 -3 2
1706887252.1076 429 1341 -1 1
1706887252.1158 428 1341 -1 0
1706887252.1233 427 1343 -1 2
1706887252.1316 425 1346 -2 3
1706887252.1396 423 1348 -2 2
1706887252.1473 423 1348 0 0
1706887252.1555 423 1348 0 0
1706887252.1634 422 1349 -1 1
1706887252.1719 419 1352 -3 3
1706887252.1790 417 1355 -2 3
