% Edge sensor logfile normalized 'log_20240202_161748.204/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887069.2248 0 9 18 16 8 5 0 0  0.0000
1706887069.2321 1 13 18 11 6 1 0 0  0.0000
1706887069.2400 3 0 0 0 0 1 4 2  0.0000
1706887069.2489 0 0 0 0 1 9 9 8  0.0000
1706887069.2572 0 0 0 0 13 23 16 11  0.0000
1706887069.2646 0 0 0 8 17 13 5 5  0.0000
1706887069.2720 0 0 0 7 16 14 5 0  0.0000
1706887069.2805 7 5 0 7 9 12 6 3  0.0000
1706887069.2883 0 0 0 0 0 0 3 13  0.0000
1706887069.2962 0 0 0 0 0 0 0 18  0.0000
1706887069.3045 1 0 0 1 0 0 12 22  0.0000
1706887069.3123 0 0 0 0 0 0 9 4  0.0000
1706887069.3202 0 0 0 0 0 4 1 2  0.0000
1706887069.3282 0 0 0 0 0 0 0 0  0.0000
1706887069.3361 0 0 0 0 1 2 0 0  0.0000
1706887069.3440 0 0 0 0 0 0 0 0  0.0000
1706887069.3523 0 0 1 0 0 0 0 0  0.0000
1706887069.3602 0 0 0 0 0 0 0 0  0.0000
1706887069.3681 0 0 0 0 0 0 0 0  0.0000
1706887069.3762 0 0 0 0 0 0 0 0  0.0000
1706887069.3842 0 0 0 0 0 0 0 0  0.0000
1706887069.3930 0 0 0 0 0 0 0 0  0.0000
1706887069.4004 0 1 3 0 0 0 0 0  0.0000
1706887069.4083 0 0 0 0 0 0 0 0  0.0000
1706887069.4162 0 0 0 0 0 0 0 0  0.0000
1706887069.4245 4 0 0 0 0 0 0 0  0.0000
1706887069.4325 0 0 0 0 0 0 0 0  0.0000
1706887069.4402 1 0 0 0 0 0 0 0  0.0000
1706887069.4487 0 0 0 0 0 0 0 0  0.0000
1706887069.4567 0 0 5 0 0 0 0 0  0.0000
1706887069.4646 0 0 5 0 0 0 0 0  0.0000
1706887069.4728 8 4 0 0 0 0 0 0  0.0000
1706887069.4808 6 9 0 0 0 0 0 0  0.0000
1706887069.4886 0 1 0 2 0 0 0 0  0.0000
1706887069.4961 1 0 0 0 0 0 0 0  0.0000
1706887069.5040 3 7 2 3 0 0 0 0  0.0000
1706887069.5130 1 2 1 0 0 0 0 0  0.0000
1706887069.5204 7 0 3 5 0 0 0 0  0.0000
1706887069.5287 6 4 0 0 0 0 0 0  0.0000
1706887069.5365 1 2 0 0 0 0 2 0  0.0000
1706887069.5450 5 7 3 0 0 0 0 0  0.0000
1706887069.5528 3 8 5 0 0 0 0 0  0.0000
1706887069.5607 1 2 1 2 0 1 0 0  0.0000
1706887069.5682 3 4 0 0 1 0 1 1  0.0000
1706887069.5764 3 0 0 0 0 6 2 0  0.0000
1706887069.5842 0 2 0 0 0 0 0 0  0.0000
1706887069.5928 8 4 3 0 0 0 1 0  0.0000
1706887069.6006 4 2 0 0 0 0 0 0  0.0000
1706887069.6085 3 0 0 0 0 2 0 0  0.0000
1706887069.6168 0 0 0 0 0 0 0 2  0.0000
1706887069.6242 8 6 3 0 3 0 0 0  0.0000
1706887069.6321 0 0 0 0 0 0 0 5  0.0000
1706887069.6406 3 3 0 0 2 0 5 4  0.0000
1706887069.6484 0 0 0 0 0 0 5 5  0.0000
1706887069.6563 0 0 0 0 0 6 0 0  0.0000
1706887069.6645 0 2 0 3 0 1 0 0  0.0000
1706887069.6729 1 0 3 0 0 0 0 0  0.0000
1706887069.6808 0 0 0 0 0 0 2 4  0.0000
1706887069.6882 0 0 0 0 6 1 0 2  0.0000
1706887069.6960 0 0 0 0 0 0 0 0  0.0000
1706887069.7040 1 0 0 0 4 1 5 0  0.0000
1706887069.7122 0 0 0 4 1 5 1 0  0.0000
1706887069.7200 0 0 0 0 0 1 7 0  0.0000
1706887069.7285 0 0 0 0 4 0 0 0  0.0000
1706887069.7370 3 2 3 2 0 0 0 0  0.0000
1706887069.7447 0 0 1 4 0 0 0 0  0.0000
1706887069.7524 0 1 3 0 0 0 0 1  0.0000
1706887069.7608 0 0 3 5 0 3 2 0  0.0000
1706887069.7682 0 0 0 0 0 2 0 0  0.0000
1706887069.7768 0 0 0 0 5 0 0 0  0.0000
1706887069.7842 0 3 1 2 5 0 0 0  0.0000
1706887069.7920 2 0 0 0 0 0 0 0  0.0000
1706887069.8007 0 0 0 0 0 0 0 0  0.0000
1706887069.8081 0 0 0 3 0 3 0 0  0.0000
1706887069.8170 1 0 2 0 0 0 0 0  0.0000
1706887069.8244 4 0 0 0 0 0 0 1  0.0000
1706887069.8329 6 5 2 0 4 2 0 0  0.0000
1706887069.8407 4 2 0 0 0 0 6 0  0.0000
1706887069.8483 0 1 1 1 0 0 0 0  0.0000
1706887069.8567 1 2 2 3 0 0 1 0  0.0000
1706887069.8646 4 1 0 0 0 0 0 0  0.0000
1706887069.8720 4 3 0 0 0 0 0 2  0.0000
1706887069.8805 1 0 0 0 0 0 2 2  0.0000
1706887069.8881 1 0 0 0 0 0 0 1  0.0000
1706887069.8960 5 7 7 1 0 0 2 0  0.0000
1706887069.9044 7 2 0 0 0 0 2 0  0.0000
1706887069.9122 3 1 0 0 0 0 0 0  0.0000
1706887069.9201 0 0 0 0 0 1 0 2  0.0000
1706887069.9281 0 2 2 1 0 3 0 0  0.0000
1706887069.9368 0 0 0 0 0 0 0 0  0.0000
1706887069.9446 3 2 0 0 0 0 4 0  0.0000
1706887069.9520 4 0 0 0 0 0 0 0  0.0000
1706887069.9609 0 0 0 0 6 0 0 0  0.0000
1706887069.9688 0 0 5 2 0 0 6 1  0.0000
1706887069.9776 4 2 0 1 0 2 3 6  0.0000
1706887069.9843 2 0 0 0 0 0 0 4  0.0000
1706887069.9921 0 0 0 0 0 5 2 4  0.0000
1706887070.0006 2 0 2 1 2 1 4 4  0.0000
1706887070.0084 2 0 0 2 2 0 0 0  0.0000
1706887070.0162 0 1 0 0 0 0 0 0  0.0000
1706887070.0240 0 5 5 2 7 4 1 0  0.0000
1706887070.0329 0 0 0 0 0 0 0 0  0.0000
1706887070.0408 1 0 5 3 7 1 0 0  0.0000
1706887070.0482 0 0 2 1 4 1 0 0  0.0000
1706887070.0560 1 0 2 0 0 0 1 0  0.0000
1706887070.0649 0 0 0 0 0 0 0 0  0.0000
1706887070.0727 0 0 0 9 5 1 0 0  0.0000
1706887070.0805 2 0 2 0 0 0 0 1  0.0000
1706887070.0884 4 8 3 0 1 2 0 0  0.0000
1706887070.0968 8 4 5 0 0 0 0 0  0.0000
1706887070.1046 1 3 0 0 0 1 0 0  0.0000
1706887070.1122 0 0 6 2 3 0 0 0  0.0000
1706887070.1206 3 5 1 0 1 0 0 0  0.0000
1706887070.1280 0 0 2 0 0 0 0 0  0.0000
1706887070.1371 6 3 2 1 2 0 0 6  0.0000
1706887070.1444 1 1 1 0 0 0 0 0  0.0000
1706887070.1523 0 4 0 0 0 1 0 0  0.0000
1706887070.1610 7 0 2 0 0 0 0 1  0.0000
1706887070.1684 7 2 0 0 0 1 1 4  0.0000
1706887070.1768 0 0 0 0 0 0 0 0  0.0000
1706887070.1847 1 1 0 0 0 4 7 5  0.0000
