% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1711561863.7678 0 0 0 0
1711561863.7754 0 0 0 0
1711561863.7828 0 0 0 0
1711561863.7904 0 0 0 0
1711561863.7984 0 0 0 0
1711561863.8065 0 0 0 0
1711561863.8150 0 0 0 0
1711561863.8237 0 0 0 0
1711561863.8304 0 0 0 0
1711561863.8394 0 0 0 0
1711561863.8466 0 0 0 0
1711561863.8549 0 0 0 0
1711561863.8628 0 0 0 0
1711561863.8711 0 0 0 0
1711561863.8786 0 0 0 0
1711561863.8874 0 0 0 0
1711561863.8944 0 0 0 0
1711561863.9025 0 0 0 0
1711561863.9112 0 0 0 0
1711561863.9191 0 0 0 0
1711561863.9268 0 0 0 0
1711561863.9344 1 0 1 0
1711561863.9426 2 0 1 0
1711561863.9509 3 1 1 1
1711561863.9586 4 2 1 1
1711561863.9666 5 3 1 1
1711561863.9755 6 3 1 0
1711561863.9825 7 4 1 1
1711561863.9908 8 6 1 2
1711561863.9990 10 7 2 1
1711561864.0076 12 8 2 1
1711561864.0147 13 10 1 2
1711561864.0236 14 12 1 2
1711561864.0313 16 13 2 1
1711561864.0395 18 15 2 2
1711561864.0466 19 17 1 2
1711561864.0552 20 19 1 2
1711561864.0634 22 21 2 2
1711561864.0706 25 24 3 3
1711561864.0791 28 25 3 1
1711561864.0873 28 27 0 2
1711561864.0951 29 30 1 3
1711561864.1026 32 32 3 2
1711561864.1108 35 34 3 2
1711561864.1190 38 35 3 1
1711561864.1275 39 36 1 1
1711561864.1346 40 40 1 4
1711561864.1427 42 43 2 3
1711561864.1515 44 44 2 1
1711561864.1586 46 45 2 1
1711561864.1669 48 47 2 2
1711561864.1753 49 50 1 3
1711561864.1835 51 52 2 2
1711561864.1914 54 52 3 0
1711561864.1992 56 53 2 1
1711561864.2075 56 57 0 4
1711561864.2146 56 60 0 3
1711561864.2241 59 61 3 1
1711561864.2313 63 62 4 1
1711561864.2392 67 64 4 2
1711561864.2469 68 66 1 2
1711561864.2552 69 69 1 3
1711561864.2633 69 70 0 1
1711561864.2711 71 71 2 1
1711561864.2786 74 72 3 1
1711561864.2869 78 76 4 4
1711561864.2947 80 77 2 1
1711561864.3029 81 77 1 0
1711561864.3112 82 79 1 2
1711561864.3189 83 83 1 4
1711561864.3275 85 87 2 4
1711561864.3347 88 88 3 1
1711561864.3435 90 88 2 0
1711561864.3506 91 91 1 3
1711561864.3589 92 94 1 3
1711561864.3676 94 98 2 4
1711561864.3753 98 99 4 1
1711561864.3835 100 99 2 0
1711561864.3912 103 102 3 3
1711561864.3995 104 106 1 4
1711561864.4066 104 108 0 2
1711561864.4154 105 108 1 0
1711561864.4242 108 109 3 1
1711561864.4314 112 111 4 2
1711561864.4391 114 114 2 3
1711561864.4474 116 116 2 2
1711561864.4546 117 117 1 1
1711561864.4632 118 118 1 1
1711561864.4715 120 120 2 2
1711561864.4793 123 124 3 4
1711561864.4870 125 126 2 2
1711561864.4953 125 127 0 1
1711561864.5032 125 128 0 1
1711561864.5110 128 131 3 3
1711561864.5193 132 135 4 4
1711561864.5271 136 136 4 1
1711561864.5348 137 137 1 1
1711561864.5431 137 140 0 3
1711561864.5512 138 142 1 2
1711561864.5589 140 144 2 2
1711561864.5672 144 144 4 0
1711561864.5750 147 144 3 0
1711561864.5828 148 146 1 2
1711561864.5907 149 149 1 3
1711561864.5987 151 153 2 4
1711561864.6066 154 155 3 2
1711561864.6148 156 156 2 1
1711561864.6237 157 156 1 0
1711561864.6315 159 159 2 3
1711561864.6395 161 162 2 3
1711561864.6466 163 165 2 3
1711561864.6545 164 166 1 1
1711561864.6628 166 167 2 1
1711561864.6712 168 169 2 2
1711561864.6786 171 173 3 4
1711561864.6867 172 174 1 1
1711561864.6950 173 174 1 0
1711561864.7027 174 176 1 2
1711561864.7109 178 179 4 3
1711561864.7192 181 182 3 3
1711561864.7275 182 183 1 1
1711561864.7347 183 184 1 1
1711561864.7430 186 186 3 2
1711561864.7508 190 190 4 4
1711561864.7590 191 191 1 1
