% Edge sensor logfile normalized 'log_20231229_140526.360/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703855128.8382 28 34 32 26 29 23 23 29  0.0000
1703855128.8458 42 44 47 43 32 33 40 35  0.0000
1703855128.8538 49 45 40 31 35 20 30 42  0.0000
1703855128.8613 33 36 34 39 32 27 34 22  0.0000
1703855128.8698 25 33 30 31 41 44 32 51  0.0000
1703855128.8778 42 40 45 41 35 34 36 29  0.0000
1703855128.8859 30 31 40 34 30 25 34 33  0.0000
1703855128.8939 18 18 37 29 27 25 30 24  0.0000
1703855128.9023 61 31 45 44 43 38 46 49  0.0000
1703855128.9100 40 25 32 36 20 20 34 31  0.0000
1703855128.9175 9 23 24 21 12 23 13 31  0.0000
1703855128.9260 42 47 47 38 41 23 28 40  0.0000
1703855128.9333 56 45 53 36 46 42 38 46  0.0000
1703855128.9422 33 42 34 19 25 23 25 20  0.0000
1703855128.9495 25 27 30 23 29 36 26 40  0.0000
1703855128.9582 54 44 53 44 43 42 42 33  0.0000
1703855128.9658 21 38 32 14 29 27 44 31  0.0000
1703855128.9740 35 23 29 21 19 18 15 13  0.0000
1703855128.9815 42 31 44 41 48 33 42 51  0.0000
1703855128.9903 35 31 42 36 30 34 36 31  0.0000
1703855128.9977 14 27 26 23 25 18 15 11  0.0000
1703855129.0059 44 36 48 36 45 34 46 42  0.0000
1703855129.0133 33 36 39 33 43 42 42 42  0.0000
1703855129.0216 33 25 32 26 27 29 28 17  0.0000
1703855129.0298 21 14 32 19 24 25 21 29  0.0000
1703855129.0374 37 45 53 49 41 49 51 38  0.0000
1703855129.0462 33 29 40 24 29 20 36 26  0.0000
1703855129.0533 30 34 37 33 38 27 21 38  0.0000
1703855129.0619 37 33 42 33 27 33 21 42  0.0000
1703855129.0701 47 47 37 31 35 40 46 40  0.0000
1703855129.0783 28 29 29 21 16 25 7 11  0.0000
1703855129.0860 25 36 48 34 32 29 44 44  0.0000
1703855129.0936 35 29 37 28 22 23 32 31  0.0000
1703855129.1018 21 29 42 33 22 25 19 24  0.0000
1703855129.1102 23 18 37 29 33 27 26 17  0.0000
1703855129.1183 42 49 48 53 48 44 40 49  0.0000
1703855129.1254 33 29 30 21 25 31 23 24  0.0000
1703855129.1342 30 20 32 19 22 31 40 35  0.0000
1703855129.1416 35 44 50 39 27 25 44 35  0.0000
1703855129.1499 47 40 44 43 35 34 42 44  0.0000
1703855129.1584 33 36 34 26 22 18 17 13  0.0000
1703855129.1654 40 29 32 29 35 36 40 40  0.0000
1703855129.1736 49 44 48 41 48 42 26 33  0.0000
1703855129.1813 28 31 34 19 19 22 28 33  0.0000
1703855129.1899 9 25 32 13 24 25 26 20  0.0000
1703855129.1982 28 36 40 36 27 33 50 42  0.0000
1703855129.2059 44 45 42 29 27 44 30 24  0.0000
1703855129.2142 35 18 22 18 25 22 5 22  0.0000
1703855129.2218 54 38 42 36 32 40 42 44  0.0000
1703855129.2297 61 38 40 41 45 29 36 38  0.0000
1703855129.2379 25 31 34 36 37 25 26 15  0.0000
1703855129.2455 25 36 27 21 16 27 23 17  0.0000
