% Edge sensor logfile normalized 'log_20231229_135250.396/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703854372.0782 1000 1000 1000 1000 1000 1000 994 1000  0.1350
1703854372.0860 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.0943 1000 1000 997 1000 1000 1000 1000 1000  0.1350
1703854372.1020 979 987 993 997 1000 1000 992 991  0.1350
1703854372.1095 1000 1000 997 988 1000 997 1000 1000  0.1350
1703854372.1180 989 1000 995 995 1000 997 1000 991  0.1350
1703854372.1264 1000 995 990 990 1000 1000 1000 1000  0.1350
1703854372.1342 1000 995 1000 1000 1000 1000 1000 991  0.1350
1703854372.1414 1000 1000 997 1000 1000 1000 992 1000  0.1350
1703854372.1501 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.1577 1000 1000 1000 1000 1000 1000 997 1000  0.1350
1703854372.1660 1000 1000 1000 1000 1000 1000 992 1000  0.1350
1703854372.1736 1000 1000 995 1000 1000 1000 1000 997  0.1350
1703854372.1814 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.1898 1000 1000 997 995 997 1000 1000 997  0.1350
1703854372.1974 1000 1000 1000 1000 1000 1000 997 994  0.1350
1703854372.2061 996 990 1000 1000 995 992 992 1000  0.1350
1703854372.2134 1000 985 1000 1000 1000 1000 1000 1000  0.1350
1703854372.2217 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.2297 986 992 1000 1000 1000 1000 994 1000  0.1350
1703854372.2374 1000 1000 997 992 1000 992 986 994  0.1350
1703854372.2457 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.2543 1000 995 990 990 1000 1000 979 1000  0.1350
1703854372.2616 1000 1000 997 992 991 994 989 988  0.1350
1703854372.2699 1000 997 1000 1000 1000 1000 1000 1000  0.1350
1703854372.2775 1000 1000 1000 1000 997 1000 994 1000  0.1350
1703854372.2857 993 990 997 1000 995 1000 986 994  0.1350
1703854372.2941 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.3016 1000 990 1000 1000 1000 1000 1000 1000  0.1350
1703854372.3100 1000 1000 1000 997 1000 1000 1000 997  0.1350
1703854372.3183 1000 1000 997 1000 1000 984 1000 1000  0.1350
1703854372.3262 1000 1000 1000 1000 997 1000 1000 1000  0.1350
1703854372.3338 996 1000 995 1000 995 994 984 1000  0.1350
1703854372.3423 1000 1000 997 1000 1000 1000 997 1000  0.1350
1703854372.3499 1000 1000 995 1000 1000 1000 1000 1000  0.1350
1703854372.3582 1000 1000 1000 995 1000 1000 994 997  0.1350
1703854372.3655 1000 1000 995 1000 1000 1000 1000 1000  0.1350
1703854372.3734 993 997 1000 1000 1000 1000 1000 1000  0.1350
1703854372.3819 1000 1000 1000 1000 1000 997 997 1000  0.1350
1703854372.3901 989 982 997 997 1000 1000 1000 994  0.1350
1703854372.3976 1000 987 995 1000 993 1000 997 1000  0.1350
1703854372.4058 1000 997 1000 1000 1000 1000 1000 1000  0.1350
1703854372.4140 1000 1000 1000 1000 995 997 1000 1000  0.1350
1703854372.4219 1000 990 1000 997 1000 1000 1000 988  0.1350
1703854372.4304 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.4375 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.4460 1000 1000 997 1000 1000 1000 986 982  0.1350
1703854372.4543 1000 1000 993 1000 997 1000 1000 1000  0.1350
1703854372.4621 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854372.4695 1000 995 995 1000 1000 1000 1000 1000  0.1350
1703854372.4778 993 992 1000 1000 997 1000 994 997  0.1350
1703854372.4854 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
