% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703754353.3073 0 0 0 0
1703754353.3136 0 4294967295 0 -1
1703754353.3206 4294967295 4294967294 -1 -1
1703754353.3276 4294967295 4294967294 0 0
1703754353.3350 4294967295 4294967295 0 1
1703754353.3418 2 2 3 3
1703754353.3492 6 5 4 3
1703754353.3561 9 7 3 2
1703754353.3628 9 8 0 1
1703754353.3692 10 9 1 1
1703754353.3764 12 11 2 2
1703754353.3835 14 13 2 2
1703754353.3904 16 15 2 2
1703754353.3978 19 18 3 3
1703754353.4049 22 21 3 3
1703754353.4111 25 25 3 4
1703754353.4182 29 28 4 3
1703754353.4259 33 32 4 4
1703754353.4329 36 37 3 5
1703754353.4394 41 41 5 4
1703754353.4466 45 45 4 4
1703754353.4537 49 50 4 5
1703754353.4605 54 55 5 5
1703754353.4676 59 60 5 5
1703754353.4742 64 64 5 4
1703754353.4821 68 70 4 6
1703754353.4890 74 75 6 5
1703754353.4958 79 80 5 5
1703754353.5028 84 84 5 4
1703754353.5105 89 89 5 5
1703754353.5176 94 94 5 5
1703754353.5243 99 100 5 6
1703754353.5307 105 105 6 5
1703754353.5377 110 110 5 5
1703754353.5446 114 114 4 4
1703754353.5525 118 118 4 4
1703754353.5591 123 123 5 5
1703754353.5662 129 129 6 6
1703754353.5730 135 134 6 5
1703754353.5797 139 139 4 5
1703754353.5869 143 143 4 4
1703754353.5946 148 147 5 4
1703754353.6015 153 152 5 5
1703754353.6080 159 157 6 5
1703754353.6152 163 162 4 5
1703754353.6221 167 167 4 5
1703754353.6287 172 171 5 4
1703754353.6359 177 175 5 4
1703754353.6435 181 180 4 5
1703754353.6505 186 186 5 6
1703754353.6573 191 190 5 4
1703754353.6641 196 194 5 4
1703754353.6710 200 198 4 4
1703754353.6778 205 203 5 5
1703754353.6847 210 208 5 5
1703754353.6924 215 212 5 4
1703754353.6994 219 215 4 3
1703754353.7063 224 220 5 5
1703754353.7129 229 225 5 5
1703754353.7200 233 230 4 5
1703754353.7267 237 234 4 4
1703754353.7336 242 239 5 5
1703754353.7414 247 244 5 5
1703754353.7482 252 249 5 5
1703754353.7552 256 254 4 5
1703754353.7618 260 258 4 4
1703754353.7691 265 262 5 4
1703754353.7756 270 267 5 5
1703754353.7836 275 273 5 6
1703754353.7907 279 278 4 5
1703754353.7973 284 282 5 4
1703754353.8043 289 286 5 4
1703754353.8111 293 292 4 6
1703754353.8182 297 298 4 6
1703754353.8249 302 302 5 4
1703754353.8316 307 306 5 4
1703754353.8396 312 310 5 4
1703754353.8462 316 315 4 5
1703754353.8531 321 320 5 5
1703754353.8599 326 326 5 6
1703754353.8671 330 330 4 4
1703754353.8740 334 333 4 3
1703754353.8816 339 338 5 5
1703754353.8885 345 343 6 5
1703754353.8951 350 348 5 5
1703754353.9023 354 353 4 5
1703754353.9091 357 357 3 4
1703754353.9160 362 361 5 4
1703754353.9229 367 366 5 5
1703754353.9296 372 371 5 5
1703754353.9374 376 375 4 4
1703754353.9441 380 379 4 4
1703754353.9512 385 383 5 4
1703754353.9581 391 388 6 5
1703754353.9649 395 393 4 5
1703754353.9719 399 398 4 5
1703754353.9796 403 402 4 4
1703754353.9866 408 406 5 4
1703754353.9934 413 411 5 5
1703754354.0002 419 416 6 5
1703754354.0071 423 421 4 5
1703754354.0139 427 425 4 4
1703754354.0208 431 430 4 5
1703754354.0285 436 435 5 5
1703754354.0356 441 440 5 5
1703754354.0426 446 445 5 5
1703754354.0491 451 450 5 5
1703754354.0560 455 455 4 5
1703754354.0626 459 458 4 3
1703754354.0697 463 463 4 5
1703754354.0775 468 467 5 4
1703754354.0845 474 472 6 5
1703754354.0914 479 477 5 5
1703754354.0981 483 482 4 5
1703754354.1049 487 486 4 4
1703754354.1126 491 491 4 5
1703754354.1186 496 495 5 4
1703754354.1258 501 500 5 5
1703754354.1335 506 505 5 5
1703754354.1404 510 509 4 4
1703754354.1470 514 514 4 5
1703754354.1540 519 519 5 5
1703754354.1606 524 523 5 4
1703754354.1686 529 528 5 5
1703754354.1746 533 533 4 5
1703754354.1824 537 537 4 4
1703754354.1893 542 541 5 4
1703754354.1959 548 547 6 6
1703754354.2029 553 552 5 5
1703754354.2098 556 556 3 4
1703754354.2166 560 560 4 4
1703754354.2246 565 565 5 5
1703754354.2313 571 570 6 5
1703754354.2382 576 575 5 5
1703754354.2450 579 579 3 4
1703754354.2518 583 584 4 5
1703754354.2587 589 589 6 5
1703754354.2657 594 593 5 4
1703754354.2735 598 597 4 4
1703754354.2802 602 602 4 5
1703754354.2871 607 607 5 5
1703754354.2942 612 612 5 5
1703754354.3009 617 616 5 4
1703754354.3080 622 619 5 3
1703754354.3148 628 622 6 3
1703754354.3218 635 626 7 4
1703754354.3295 641 629 6 3
1703754354.3362 646 633 5 4
1703754354.3432 652 636 6 3
1703754354.3500 659 638 7 2
1703754354.3569 665 640 6 2
1703754354.3648 672 641 7 1
1703754354.3706 680 643 8 2
1703754354.3776 688 645 8 2
1703754354.3852 695 646 7 1
1703754354.3921 703 648 8 2
1703754354.3989 711 648 8 0
1703754354.4059 719 650 8 2
1703754354.4126 727 651 8 1
1703754354.4196 736 652 9 1
1703754354.4276 744 653 8 1
1703754354.4342 753 653 9 0
1703754354.4412 761 654 8 1
1703754354.4478 768 656 7 2
1703754354.4547 775 659 7 3
1703754354.4617 782 661 7 2
1703754354.4695 789 663 7 2
1703754354.4765 796 665 7 2
1703754354.4831 804 667 8 2
1703754354.4902 810 669 6 2
1703754354.4968 816 672 6 3
1703754354.5037 823 675 7 3
1703754354.5106 830 677 7 2
1703754354.5185 835 681 5 4
1703754354.5254 840 684 5 3
1703754354.5322 847 687 7 3
1703754354.5392 853 691 6 4
1703754354.5461 858 696 5 5
1703754354.5526 863 699 5 3
1703754354.5596 868 703 5 4
1703754354.5674 873 708 5 5
1703754354.5743 878 712 5 4
1703754354.5813 882 717 4 5
1703754354.5881 887 722 5 5
1703754354.5951 892 727 5 5
1703754354.6017 896 732 4 5
1703754354.6096 900 737 4 5
1703754354.6164 903 742 3 5
1703754354.6235 907 748 4 6
1703754354.6304 910 753 3 5
1703754354.6371 913 760 3 7
1703754354.6440 914 767 1 7
1703754354.6506 915 774 1 7
1703754354.6586 915 782 0 8
1703754354.6656 915 790 0 8
1703754354.6724 915 799 0 9
1703754354.6793 915 808 0 9
1703754354.6859 915 817 0 9
1703754354.6929 915 827 0 10
1703754354.7006 915 837 0 10
1703754354.7075 915 848 0 11
1703754354.7147 915 859 0 11
1703754354.7212 915 870 0 11
1703754354.7282 914 881 -1 11
1703754354.7348 912 893 -2 12
1703754354.7418 911 904 -1 11
1703754354.7486 911 916 0 12
1703754354.7556 911 927 0 11
1703754354.7636 911 940 0 13
1703754354.7704 911 952 0 12
1703754354.7772 910 964 -1 12
1703754354.7838 909 975 -1 11
1703754354.7909 907 986 -2 11
1703754354.7978 906 998 -1 12
1703754354.8047 904 1010 -2 12
1703754354.8116 903 1021 -1 11
1703754354.8195 902 1033 -1 12
1703754354.8264 900 1045 -2 12
1703754354.8330 898 1058 -2 13
1703754354.8398 896 1070 -2 12
1703754354.8469 895 1080 -1 10
1703754354.8536 893 1091 -2 11
1703754354.8606 891 1105 -2 14
