% Edge sensor logfile normalized 'log_20231228_100553.231/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703754353.3129 0 0 0 0 0 0 0 0  0.0000
1703754353.3202 273 330 276 283 343 349 356 420  0.0000
1703754353.3288 300 359 316 321 375 388 413 463  0.0000
1703754353.3362 287 366 323 328 367 396 403 449  0.0000
1703754353.3442 257 341 297 294 335 369 401 440  0.0000
1703754353.3526 287 350 321 310 363 383 413 449  0.0000
1703754353.3604 303 362 331 314 363 378 408 460  0.0000
1703754353.3687 260 334 304 303 349 339 396 429  0.0000
1703754353.3762 273 337 297 303 349 352 386 457  0.0000
1703754353.3848 310 373 342 317 365 398 421 457  0.0000
1703754353.3927 244 341 321 303 347 315 396 451  0.0000
1703754353.4001 257 332 308 294 337 361 386 443  0.0000
1703754353.4089 270 346 321 299 343 366 418 477  0.0000
1703754353.4167 264 362 340 301 349 364 389 440  0.0000
1703754353.4247 240 350 316 308 345 337 391 415  0.0000
1703754353.4327 254 348 325 314 355 330 418 466  0.0000
1703754353.4405 270 343 329 328 365 352 433 443  0.0000
1703754353.4489 270 348 323 317 357 366 401 432  0.0000
1703754353.4561 260 341 334 305 339 315 399 401  0.0000
1703754353.4650 264 375 364 337 375 378 426 460  0.0000
1703754353.4730 270 362 340 319 349 332 389 420  0.0000
1703754353.4809 267 375 349 328 365 349 394 432  0.0000
1703754353.4886 277 382 359 337 373 364 408 435  0.0000
1703754353.4970 293 405 366 343 383 391 406 409  0.0000
1703754353.5050 283 378 344 325 375 361 386 415  0.0000
1703754353.5127 300 391 366 356 393 403 421 457  0.0000
1703754353.5209 310 396 361 363 387 378 408 446  0.0000
1703754353.5284 320 389 366 363 401 400 416 423  0.0000
1703754353.5363 293 391 366 354 405 386 406 435  0.0000
1703754353.5445 323 430 411 405 421 425 443 468  0.0000
1703754353.5526 306 407 394 396 419 410 423 429  0.0000
1703754353.5604 330 414 383 401 421 403 433 471  0.0000
1703754353.5695 343 416 406 416 439 425 431 454  0.0000
1703754353.5775 343 444 421 427 445 437 438 460  0.0000
1703754353.5855 336 430 411 401 431 422 428 432  0.0000
1703754353.5933 333 437 417 412 445 435 431 471  0.0000
1703754353.6013 366 460 453 441 453 459 436 488  0.0000
1703754353.6093 366 446 423 412 449 430 423 460  0.0000
1703754353.6174 343 430 428 430 439 430 441 471  0.0000
1703754353.6254 382 455 458 450 461 452 461 488  0.0000
1703754353.6334 386 480 451 447 447 452 443 457  0.0000
1703754353.6413 339 446 428 416 443 425 428 457  0.0000
1703754353.6493 382 462 447 454 465 454 453 502  0.0000
1703754353.6571 392 480 464 470 473 447 453 488  0.0000
1703754353.6652 363 462 473 454 451 449 438 454  0.0000
1703754353.6732 343 464 451 430 455 452 436 485  0.0000
1703754353.6813 399 478 481 481 483 464 471 494  0.0000
1703754353.6891 399 482 471 439 461 442 461 477  0.0000
1703754353.6971 356 455 468 458 447 454 461 494  0.0000
1703754353.7049 415 478 479 465 463 469 468 533  0.0000
1703754353.7128 412 473 479 470 457 449 476 508  0.0000
1703754353.7212 405 480 471 463 461 452 456 500  0.0000
1703754353.7291 379 471 473 476 463 466 481 550  0.0000
1703754353.7369 442 501 501 474 473 479 476 539  0.0000
1703754353.7449 369 471 486 470 467 471 468 525  0.0000
1703754353.7527 412 492 498 476 457 459 478 548  0.0000
1703754353.7606 402 503 505 461 485 484 496 570  0.0000
1703754353.7689 422 503 492 470 469 486 486 531  0.0000
1703754353.7769 363 466 464 436 449 476 493 511  0.0000
1703754353.7848 412 498 503 470 483 481 498 550  0.0000
1703754353.7929 399 494 475 456 473 491 498 542  0.0000
1703754353.8008 412 505 486 434 463 476 493 519  0.0000
1703754353.8086 402 478 479 445 475 493 521 539  0.0000
1703754353.8170 455 517 488 461 477 488 536 567  0.0000
1703754353.8248 402 482 462 445 475 496 501 550  0.0000
1703754353.8328 402 480 477 452 477 488 523 553  0.0000
1703754353.8408 438 507 473 456 485 503 503 559  0.0000
1703754353.8496 432 494 488 474 481 488 516 550  0.0000
1703754353.8566 422 489 462 432 445 488 506 531  0.0000
1703754353.8648 448 512 473 456 493 493 516 567  0.0000
1703754353.8727 468 523 494 456 493 518 516 576  0.0000
1703754353.8817 448 494 468 445 473 503 533 548  0.0000
1703754353.8886 429 501 462 452 473 488 516 553  0.0000
1703754353.8975 495 523 498 478 510 508 526 579  0.0000
1703754353.9056 478 526 475 452 485 488 501 579  0.0000
1703754353.9136 442 485 449 443 485 484 498 545  0.0000
1703754353.9216 485 498 475 463 497 498 508 564  0.0000
1703754353.9294 488 519 481 465 495 496 518 542  0.0000
1703754353.9376 471 482 443 445 487 466 493 525  0.0000
1703754353.9456 478 505 473 465 493 476 521 539  0.0000
1703754353.9534 491 519 490 487 512 511 523 550  0.0000
1703754353.9614 455 487 464 472 487 474 503 539  0.0000
1703754353.9694 465 494 466 478 491 471 498 516  0.0000
1703754353.9773 475 489 460 467 495 469 523 576  0.0000
1703754353.9853 452 478 445 465 489 486 508 545  0.0000
1703754353.9935 419 462 436 443 473 447 496 553  0.0000
1703754354.0013 458 478 460 483 506 486 516 562  0.0000
1703754354.0093 468 498 471 487 500 476 523 564  0.0000
1703754354.0173 448 482 453 467 493 459 513 559  0.0000
1703754354.0252 442 466 460 478 493 464 511 573  0.0000
1703754354.0332 452 482 468 496 510 486 508 579  0.0000
1703754354.0412 405 471 458 467 471 454 498 556  0.0000
1703754354.0492 389 466 453 467 479 469 501 533  0.0000
1703754354.0572 405 478 466 465 479 476 511 562  0.0000
1703754354.0652 382 473 468 456 487 486 501 545  0.0000
1703754354.0730 415 466 445 434 481 493 506 548  0.0000
1703754354.0812 415 496 468 472 495 506 538 576  0.0000
1703754354.0890 438 501 453 461 506 520 533 584  0.0000
1703754354.0969 415 473 462 447 508 525 526 556  0.0000
1703754354.1050 409 480 458 458 510 523 523 579  0.0000
1703754354.1129 425 498 477 474 524 533 526 584  0.0000
1703754354.1209 412 471 438 443 518 515 508 545  0.0000
1703754354.1291 396 464 456 447 500 513 503 525  0.0000
1703754354.1369 432 489 466 476 518 525 523 556  0.0000
1703754354.1448 429 482 479 485 518 535 536 573  0.0000
1703754354.1528 425 476 443 470 516 513 491 553  0.0000
1703754354.1607 409 480 458 467 534 520 523 579  0.0000
1703754354.1687 445 503 483 501 532 535 543 596  0.0000
1703754354.1769 435 485 468 481 522 533 541 584  0.0000
1703754354.1847 402 482 456 478 506 513 516 559  0.0000
1703754354.1926 415 501 496 498 530 533 543 596  0.0000
1703754354.2006 422 492 473 478 510 515 533 576  0.0000
1703754354.2095 399 471 477 478 495 501 518 553  0.0000
1703754354.2167 415 485 486 485 514 518 523 598  0.0000
1703754354.2247 438 496 494 492 516 530 563 615  0.0000
1703754354.2336 409 498 488 476 512 530 543 621  0.0000
1703754354.2415 425 478 483 494 512 518 551 621  0.0000
1703754354.2495 425 510 507 492 502 520 571 686  0.0000
1703754354.2573 412 492 503 467 506 530 576 680  0.0000
1703754354.2655 409 487 494 458 497 511 583 711  0.0017
1703754354.2736 438 512 507 494 522 545 613 774  0.0089
1703754354.2815 425 523 513 478 510 555 628 813  0.0118
1703754354.2893 432 537 488 474 500 545 648 858  0.0145
1703754354.2975 438 507 501 481 506 550 668 912  0.0168
