% Edge sensor logfile normalized 'log_20231228_101122.585/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703754682.6674 0 0 0 0 0 0 0 0  0.0000
1703754682.6755 389 480 460 423 407 386 411 494  0.0000
1703754682.6828 429 530 490 465 455 432 428 531  0.0000
1703754682.6905 422 494 477 450 431 425 431 511  0.0000
1703754682.6988 392 492 477 441 421 393 426 468  0.0000
1703754682.7071 429 523 486 443 423 427 458 477  0.0000
1703754682.7152 419 503 475 454 441 403 418 485  0.0000
1703754682.7227 396 482 468 432 411 364 406 468  0.0000
1703754682.7303 422 492 453 421 427 400 418 500  0.0000
1703754682.7389 448 501 477 465 447 398 446 528  0.0000
1703754682.7472 415 480 468 452 437 413 433 488  0.0000
1703754682.7546 412 478 447 436 435 391 421 485  0.0000
1703754682.7627 448 498 475 461 461 425 431 516  0.0000
1703754682.7706 435 494 473 443 437 437 421 480  0.0000
1703754682.7786 392 480 451 445 417 427 396 460  0.0000
1703754682.7867 452 517 473 439 441 413 403 485  0.0000
1703754682.7945 448 505 475 452 455 418 423 477  0.0000
1703754682.8023 429 521 453 456 445 432 418 466  0.0000
1703754682.8105 409 514 473 454 447 420 421 460  0.0000
1703754682.8185 455 533 488 467 453 422 431 491  0.0000
1703754682.8264 409 489 456 425 443 413 408 471  0.0000
1703754682.8344 405 494 466 436 431 413 403 446  0.0000
1703754682.8425 419 489 471 441 441 420 403 454  0.0000
1703754682.8505 412 494 460 403 437 418 418 474  0.0000
1703754682.8585 405 489 460 425 429 413 391 466  0.0000
1703754682.8664 429 519 468 439 439 425 408 480  0.0000
1703754682.8744 445 526 479 443 457 422 421 463  0.0000
1703754682.8824 412 507 481 425 441 420 411 457  0.0000
1703754682.8902 425 501 481 452 447 403 408 468  0.0000
1703754682.8984 445 537 488 439 461 435 411 437  0.0000
1703754682.9064 399 496 460 407 431 405 408 449  0.0000
1703754682.9143 405 503 468 423 435 415 399 432  0.0000
1703754682.9224 448 533 475 421 435 422 408 466  0.0000
1703754682.9304 455 535 496 439 449 442 396 449  0.0000
1703754682.9383 409 507 468 412 453 418 403 437  0.0000
1703754682.9463 432 514 475 430 443 427 428 471  0.0000
1703754682.9545 448 544 492 454 461 440 433 483  0.0000
1703754682.9623 452 521 483 443 451 425 423 443  0.0000
1703754682.9704 412 523 468 439 443 444 411 454  0.0000
1703754682.9786 458 542 498 441 465 449 433 463  0.0000
1703754682.9868 415 519 486 432 445 425 408 451  0.0000
1703754682.9947 402 514 460 407 437 427 408 429  0.0000
1703754683.0027 422 526 486 434 449 454 423 483  0.0000
1703754683.0106 445 535 494 439 435 435 448 483  0.0000
1703754683.0186 448 519 466 419 423 408 411 454  0.0000
1703754683.0266 425 512 479 441 445 437 426 477  0.0000
1703754683.0347 432 528 496 450 443 437 438 494  0.0000
1703754683.0425 445 526 479 416 437 415 431 471  0.0000
1703754683.0506 435 523 475 425 437 391 421 454  0.0000
1703754683.0585 465 539 492 443 453 430 458 505  0.0000
1703754683.0666 455 512 483 439 435 420 431 471  0.0000
1703754683.0752 471 528 473 423 431 398 428 491  0.0000
1703754683.0831 448 507 471 430 443 405 418 443  0.0000
1703754683.0910 448 548 516 447 441 430 433 474  0.0000
1703754683.0990 465 514 486 439 427 405 428 443  0.0000
1703754683.1068 442 519 471 430 449 408 423 460  0.0000
1703754683.1147 458 533 481 439 453 393 426 468  0.0000
1703754683.1222 429 523 481 443 433 398 411 457  0.0000
1703754683.1311 455 510 473 450 441 391 406 435  0.0000
1703754683.1390 455 535 509 474 463 413 448 483  0.0000
1703754683.1461 468 548 511 470 455 420 426 437  0.0000
1703754683.1551 455 546 522 490 469 408 433 471  0.0000
1703754683.1629 475 567 531 503 489 410 433 471  0.0000
1703754683.1702 485 580 552 534 497 405 431 468  0.0000
1703754683.1793 478 574 588 556 504 396 406 440  0.0000
1703754683.1872 458 587 612 580 524 393 411 460  0.0000
1703754683.1941 488 633 683 658 546 410 423 454  0.0000
1703754683.2031 478 603 693 676 556 393 394 443  0.0000
1703754683.2111 438 615 732 740 566 391 401 437  0.0290
1703754683.2183 468 640 781 820 612 415 418 466  0.0415
1703754683.2272 498 651 852 884 626 403 408 460  0.0476
1703754683.2342 465 653 865 915 640 378 394 435  0.0494
1703754683.2422 478 653 910 968 658 410 413 460  0.0517
1703754683.2511 531 683 910 988 670 391 401 460  0.0546
1703754683.2591 471 656 907 984 662 400 401 449  0.0522
1703754683.2672 471 649 895 962 646 388 384 440  0.0506
1703754683.2752 485 681 922 982 674 415 413 463  0.0547
1703754683.2830 501 658 907 977 658 393 399 457  0.0521
1703754683.2911 435 651 897 968 656 381 386 451  0.0513
1703754683.2990 508 687 925 1000 678 415 406 454  0.0555
1703754683.3069 531 678 912 982 696 432 428 460  0.0558
1703754683.3149 485 640 905 993 674 398 389 437  0.0519
1703754683.3230 491 630 892 1000 696 400 401 454  0.0525
1703754683.3309 534 642 895 1000 726 447 421 443  0.0552
1703754683.3389 468 612 867 1000 718 410 408 432  0.0523
1703754683.3471 491 601 860 1000 744 430 408 457  0.0532
1703754683.3550 485 601 852 1000 767 442 406 480  0.0542
1703754683.3629 491 592 837 1000 803 457 418 457  0.0551
1703754683.3710 478 560 790 1000 807 449 391 446  0.0519
1703754683.3788 495 555 796 1000 853 488 411 471  0.0543
1703754683.3869 468 548 755 1000 871 518 416 463  0.0530
1703754683.3949 481 544 730 1000 891 545 406 435  0.0523
1703754683.4030 435 519 710 991 919 555 389 443  0.0512
1703754683.4110 471 555 708 993 963 635 403 449  0.0550
1703754683.4190 442 530 646 944 973 633 394 435  0.0506
1703754683.4269 422 535 620 920 1000 691 428 449  0.0522
1703754683.4351 438 546 597 900 1000 711 421 454  0.0520
1703754683.4429 432 533 578 866 1000 755 431 429  0.0530
1703754683.4508 389 519 522 809 1000 775 448 426  0.0503
1703754683.4589 392 535 522 784 1000 850 513 451  0.0533
1703754683.4668 405 528 509 738 983 877 531 437  0.0516
1703754683.4749 356 514 492 680 963 916 573 451  0.0494
1703754683.4821 343 501 490 638 933 960 591 449  0.0481
1703754683.4911 369 519 528 623 925 1000 673 466  0.0513
1703754683.4989 356 478 486 583 873 1000 680 460  0.0489
1703754683.5069 326 462 490 547 821 1000 720 463  0.0486
1703754683.5149 346 476 507 547 821 1000 770 505  0.0522
1703754683.5230 353 471 503 532 777 1000 827 567  0.0541
1703754683.5302 343 451 481 512 724 985 837 573  0.0508
1703754683.5391 320 435 471 501 718 982 880 621  0.0536
1703754683.5469 366 476 513 534 688 965 910 663  0.0541
1703754683.5549 336 446 483 501 662 919 942 689  0.0542
1703754683.5628 323 453 468 503 628 931 955 706  0.0533
1703754683.5711 392 453 479 516 632 904 992 788  0.0530
1703754683.5791 369 448 473 501 604 899 1000 788  0.0516
1703754683.5870 323 410 468 494 580 872 1000 805  0.0499
1703754683.5950 366 448 471 514 604 877 1000 844  0.0511
1703754683.6030 382 460 473 521 588 880 1000 858  0.0505
1703754683.6109 376 444 475 507 578 863 1000 875  0.0496
1703754683.6191 382 435 451 525 580 865 1000 906  0.0497
1703754683.6262 382 451 481 536 600 875 1000 946  0.0508
1703754683.6351 382 441 458 516 564 850 1000 918  0.0487
1703754683.6430 372 446 460 518 564 850 1000 912  0.0487
1703754683.6511 386 462 468 509 572 858 1000 909  0.0492
1703754683.6590 349 455 477 518 588 855 1000 920  0.0498
1703754683.6671 339 453 466 505 574 853 1000 903  0.0491
1703754683.6742 382 453 473 536 592 872 1000 918  0.0504
1703754683.6832 389 476 494 545 588 880 1000 892  0.0505
1703754683.6910 382 441 475 505 584 872 1000 878  0.0501
1703754683.6991 425 476 479 523 606 897 1000 878  0.0516
1703754683.7065 435 505 496 547 606 902 1000 858  0.0517
1703754683.7144 419 482 468 498 592 897 1000 802  0.0510
1703754683.7226 432 482 468 503 598 909 1000 774  0.0515
1703754683.7305 471 492 471 525 612 907 1000 757  0.0521
1703754683.7384 465 492 481 514 606 914 995 734  0.0520
1703754683.7464 429 489 475 498 602 902 967 731  0.0516
1703754683.7545 405 492 481 503 628 916 972 731  0.0530
1703754683.7624 465 507 468 527 644 931 975 731  0.0541
1703754683.7706 419 489 471 496 628 916 940 689  0.0522
1703754683.7784 402 494 479 494 628 921 927 669  0.0508
1703754683.7863 429 507 492 503 640 960 955 697  0.0540
1703754683.7947 458 521 490 509 648 963 907 641  0.0504
1703754683.8025 399 496 475 474 630 938 897 618  0.0478
1703754683.8104 425 505 486 496 642 958 910 629  0.0494
1703754683.8186 442 503 498 509 666 990 900 604  0.0496
1703754683.8264 425 498 488 492 652 951 855 601  0.0472
1703754683.8343 422 466 475 483 652 980 885 627  0.0496
1703754683.8425 425 510 501 496 676 1000 877 632  0.0511
1703754683.8505 405 489 486 472 680 987 855 596  0.0489
1703754683.8583 386 489 481 485 676 987 830 587  0.0474
1703754683.8664 419 510 490 483 690 1000 872 596  0.0500
1703754683.8744 425 505 503 503 692 1000 850 573  0.0485
1703754683.8823 429 496 483 483 700 1000 827 553  0.0475
1703754683.8905 402 482 477 492 714 1000 835 539  0.0486
1703754683.8984 412 501 492 492 720 1000 845 567  0.0503
1703754683.9063 389 498 494 501 726 1000 812 519  0.0482
1703754683.9144 382 482 477 478 712 1000 805 525  0.0468
1703754683.9225 379 471 479 498 720 1000 810 528  0.0478
1703754683.9305 376 478 477 501 744 1000 793 533  0.0490
1703754683.9385 379 455 462 490 736 1000 798 514  0.0480
1703754683.9464 399 505 481 492 738 1000 810 519  0.0488
1703754683.9543 412 494 481 494 744 1000 805 514  0.0489
1703754683.9624 392 503 477 485 757 1000 783 511  0.0485
1703754683.9705 409 489 494 494 769 1000 788 491  0.0491
1703754683.9786 419 501 501 512 783 1000 800 514  0.0512
1703754683.9867 402 489 466 501 767 1000 775 505  0.0488
1703754683.9946 382 487 475 490 753 1000 770 511  0.0477
1703754684.0024 392 503 481 503 775 1000 768 491  0.0486
1703754684.0105 389 498 488 503 779 1000 763 480  0.0484
1703754684.0186 399 478 464 492 751 1000 773 511  0.0477
1703754684.0267 432 496 490 514 803 1000 775 531  0.0514
1703754684.0347 419 489 498 523 793 1000 817 550  0.0537
1703754684.0426 402 496 490 521 795 1000 802 522  0.0523
