% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703754682.6612 0 0 0 0
1703754682.6676 0 0 0 0
1703754682.6753 0 4294967295 0 -1
1703754682.6815 4294967295 4294967295 -1 0
1703754682.6881 0 4294967295 1 0
1703754682.6951 2 1 2 2
1703754682.7026 3 3 1 2
1703754682.7095 3 6 0 3
1703754682.7165 6 7 3 1
1703754682.7230 8 7 2 0
1703754682.7300 9 9 1 2
1703754682.7376 11 11 2 2
1703754682.7445 13 13 2 2
1703754682.7511 16 16 3 3
1703754682.7581 19 19 3 3
1703754682.7660 22 22 3 3
1703754682.7721 26 25 4 3
1703754682.7798 30 29 4 4
1703754682.7866 34 33 4 4
1703754682.7932 38 37 4 4
1703754682.8001 42 41 4 4
1703754682.8071 47 46 5 5
1703754682.8149 51 50 4 4
1703754682.8220 56 54 5 4
1703754682.8287 61 59 5 5
1703754682.8356 66 64 5 5
1703754682.8422 71 68 5 4
1703754682.8491 76 72 5 4
1703754682.8563 81 77 5 5
1703754682.8640 86 81 5 4
1703754682.8700 92 86 6 5
1703754682.8777 97 91 5 5
1703754682.8846 100 96 3 5
1703754682.8914 105 101 5 5
1703754682.8983 110 106 5 5
1703754682.9053 115 111 5 5
1703754682.9129 120 118 5 7
1703754682.9191 124 122 4 4
1703754682.9268 130 127 6 5
1703754682.9338 135 132 5 5
1703754682.9409 139 137 4 5
1703754682.9475 144 143 5 6
1703754682.9543 149 148 5 5
1703754682.9621 154 152 5 4
1703754682.9681 159 156 5 4
1703754682.9751 164 161 5 5
1703754682.9820 169 167 5 6
1703754682.9892 173 172 4 5
1703754682.9969 179 176 6 4
1703754683.0039 184 181 5 5
1703754683.0104 189 187 5 6
1703754683.0173 193 192 4 5
1703754683.0244 197 196 4 4
1703754683.0312 203 200 6 4
1703754683.0382 208 205 5 5
1703754683.0459 212 211 4 6
1703754683.0529 216 216 4 5
1703754683.0597 220 220 4 4
1703754683.0664 225 224 5 4
1703754683.0736 231 229 6 5
1703754683.0807 235 234 4 5
1703754683.0877 239 238 4 4
1703754683.0944 243 243 4 5
