% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1706887069.7674 0 0 0 0
1706887069.7761 0 0 0 0
1706887069.7829 0 0 0 0
1706887069.7914 0 0 0 0
1706887069.7989 0 0 0 0
1706887069.8072 0 0 0 0
1706887069.8157 0 0 0 0
1706887069.8238 0 0 0 0
1706887069.8308 0 0 0 0
1706887069.8393 0 0 0 0
1706887069.8468 0 0 0 0
1706887069.8552 0 0 0 0
1706887069.8630 0 0 0 0
1706887069.8727 0 0 0 0
1706887069.8788 0 0 0 0
1706887069.8875 0 0 0 0
1706887069.8949 0 0 0 0
1706887069.9033 0 3 0 3
1706887069.9117 0 7 0 4
1706887069.9189 0 14 0 7
1706887069.9268 0 19 0 5
1706887069.9353 0 22 0 3
1706887069.9429 0 25 0 3
1706887069.9513 0 29 0 4
1706887069.9589 0 34 0 5
1706887069.9673 0 38 0 4
1706887069.9753 0 42 0 4
1706887069.9829 0 47 0 5
1706887069.9914 0 52 0 5
1706887069.9987 0 56 0 4
1706887070.0072 0 59 0 3
1706887070.0157 0 62 0 3
1706887070.0237 0 68 0 6
1706887070.0312 0 73 0 5
1706887070.0398 0 76 0 3
1706887070.0471 0 79 0 3
1706887070.0556 0 83 0 4
1706887070.0631 0 87 0 4
1706887070.0716 0 89 0 2
1706887070.0789 0 92 0 3
1706887070.0874 0 95 0 3
1706887070.0948 0 97 0 2
1706887070.1033 0 100 0 3
1706887070.1119 0 104 0 4
1706887070.1192 0 108 0 4
1706887070.1274 0 110 0 2
1706887070.1349 0 112 0 2
1706887070.1432 0 114 0 2
1706887070.1507 0 118 0 4
1706887070.1593 0 121 0 3
1706887070.1677 0 124 0 3
1706887070.1749 0 125 0 1
1706887070.1835 0 125 0 0
1706887070.1907 0 128 0 3
1706887070.1993 0 131 0 3
1706887070.2079 0 135 0 4
1706887070.2152 0 137 0 2
1706887070.2235 0 139 0 2
1706887070.2319 0 139 0 0
1706887070.2392 0 141 0 2
1706887070.2477 0 143 0 2
1706887070.2553 0 146 0 3
1706887070.2634 0 148 0 2
1706887070.2710 0 149 0 1
1706887070.2792 0 150 0 1
1706887070.2876 0 153 0 3
1706887070.2952 0 155 0 2
1706887070.3038 0 155 0 0
1706887070.3111 0 155 0 0
1706887070.3187 0 157 0 2
1706887070.3279 0 159 0 2
1706887070.3352 0 162 0 3
1706887070.3428 0 163 0 1
1706887070.3514 0 164 0 1
1706887070.3587 0 166 0 2
1706887070.3672 0 167 0 1
1706887070.3755 0 168 0 1
1706887070.3828 0 169 0 1
1706887070.3915 0 170 0 1
1706887070.3990 0 172 0 2
1706887070.4075 0 173 0 1
1706887070.4150 0 174 0 1
1706887070.4234 0 174 0 0
1706887070.4308 0 175 0 1
1706887070.4394 0 175 0 0
1706887070.4475 0 176 0 1
1706887070.4548 0 177 0 1
1706887070.4633 0 178 0 1
1706887070.4719 0 178 0 0
1706887070.4788 0 179 0 1
1706887070.4875 0 179 0 0
1706887070.4952 0 180 0 1
1706887070.5035 0 182 0 2
1706887070.5111 0 184 0 2
1706887070.5199 0 185 0 1
1706887070.5270 0 186 0 1
1706887070.5355 0 187 0 1
1706887070.5430 0 187 0 0
1706887070.5513 0 187 0 0
1706887070.5588 0 187 0 0
1706887070.5675 0 187 0 0
1706887070.5756 0 188 0 1
1706887070.5832 0 188 0 0
1706887070.5918 0 189 0 1
1706887070.5990 0 190 0 1
1706887070.6076 0 190 0 0
1706887070.6152 0 190 0 0
1706887070.6233 0 190 0 0
1706887070.6310 0 190 0 0
1706887070.6394 0 190 0 0
1706887070.6467 0 192 0 2
1706887070.6554 0 193 0 1
1706887070.6629 0 194 0 1
1706887070.6713 0 194 0 0
1706887070.6796 0 194 0 0
1706887070.6870 0 194 0 0
1706887070.6955 0 194 0 0
1706887070.7030 0 194 0 0
1706887070.7116 0 194 0 0
1706887070.7190 0 194 0 0
1706887070.7271 0 195 0 1
1706887070.7358 0 196 0 1
1706887070.7433 0 197 0 1
1706887070.7509 0 197 0 0
1706887070.7592 0 197 0 0
1706887070.7676 0 196 0 -1
1706887070.7758 0 196 0 0
1706887070.7833 0 197 0 1
1706887070.7917 0 198 0 1
1706887070.7993 0 199 0 1
1706887070.8079 0 199 0 0
1706887070.8152 0 200 0 1
1706887070.8234 0 200 0 0
1706887070.8309 0 200 0 0
1706887070.8393 0 200 0 0
1706887070.8469 0 200 0 0
1706887070.8555 0 200 0 0
1706887070.8637 0 200 0 0
1706887070.8713 0 201 0 1
1706887070.8796 0 201 0 0
1706887070.8869 0 201 0 0
1706887070.8954 0 201 0 0
1706887070.9029 0 201 0 0
1706887070.9112 0 201 0 0
1706887070.9197 0 201 0 0
1706887070.9268 0 201 0 0
1706887070.9352 0 201 0 0
1706887070.9428 0 201 0 0
1706887070.9514 0 201 0 0
1706887070.9597 0 201 0 0
1706887070.9673 0 201 0 0
1706887070.9756 0 201 0 0
1706887070.9830 0 201 0 0
1706887070.9915 0 201 0 0
1706887070.9990 0 201 0 0
1706887071.0075 0 201 0 0
1706887071.0149 0 201 0 0
1706887071.0234 0 201 0 0
1706887071.0317 0 201 0 0
1706887071.0392 0 201 0 0
1706887071.0477 0 201 0 0
1706887071.0550 0 201 0 0
1706887071.0636 0 201 0 0
1706887071.0713 0 201 0 0
1706887071.0794 0 201 0 0
1706887071.0869 0 201 0 0
1706887071.0955 0 201 0 0
1706887071.1029 0 201 0 0
1706887071.1115 0 201 0 0
1706887071.1190 0 201 0 0
1706887071.1270 0 201 0 0
1706887071.1354 0 201 0 0
1706887071.1429 0 201 0 0
1706887071.1512 0 201 0 0
1706887071.1598 0 202 0 1
1706887071.1672 0 202 0 0
1706887071.1752 0 202 0 0
1706887071.1837 0 202 0 0
1706887071.1913 0 202 0 0
1706887071.1997 0 202 0 0
1706887071.2072 0 202 0 0
1706887071.2157 0 202 0 0
1706887071.2235 0 202 0 0
