% Edge sensor logfile normalized 'log_20240202_161748.666/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887069.7714 0 0 0 0 0 0 0 0  0.0000
1706887069.7800 15 14 13 3 2 0 0 0  0.0000
1706887069.7877 0 0 1 0 0 0 0 0  0.0000
1706887069.7950 0 0 0 0 0 0 0 0  0.0000
1706887069.8025 3 0 0 0 0 0 0 0  0.0000
1706887069.8109 0 0 0 0 0 3 2 0  0.0000
1706887069.8182 0 0 0 0 2 0 0 0  0.0000
1706887069.8272 2 0 1 0 2 0 0 0  0.0000
1706887069.8357 2 4 3 0 0 4 0 1  0.0000
1706887069.8429 0 0 0 0 0 0 0 0  0.0000
1706887069.8504 1 5 2 2 5 2 2 5  0.0000
1706887069.8591 5 0 0 0 0 0 0 0  0.0000
1706887069.8669 0 0 1 0 3 3 1 4  0.0000
1706887069.8750 0 0 0 0 2 6 12 16  0.0000
1706887069.8838 0 0 0 0 1 9 4 5  0.0000
1706887069.8911 0 0 0 17 21 16 15 6  0.0000
1706887069.8985 17 21 14 19 5 11 4 3  0.0000
1706887069.9070 12 12 0 0 0 10 0 1  0.0000
1706887069.9153 1 1 9 8 2 0 3 0  0.0000
1706887069.9232 3 0 3 2 0 0 0 0  0.0000
1706887069.9316 5 8 0 0 0 0 0 0  0.0000
1706887069.9389 0 0 0 0 1 3 1 0  0.0000
1706887069.9476 0 0 0 0 0 2 0 0  0.0000
1706887069.9552 0 0 0 0 0 0 0 0  0.0000
1706887069.9634 0 0 0 0 0 0 0 0  0.0000
1706887069.9709 0 0 0 0 3 0 0 0  0.0000
1706887069.9792 0 0 0 0 0 0 3 5  0.0000
1706887069.9876 1 0 0 0 4 0 0 5  0.0000
1706887069.9950 0 2 1 0 0 0 0 0  0.0000
1706887070.0036 3 3 0 0 0 0 3 6  0.0000
1706887070.0108 0 1 0 0 2 4 0 0  0.0000
1706887070.0193 0 2 0 0 0 0 0 1  0.0000
1706887070.0275 1 0 0 0 0 0 0 4  0.0000
1706887070.0348 0 0 1 1 7 2 3 1  0.0000
1706887070.0434 0 0 0 0 5 2 0 0  0.0000
1706887070.0518 7 2 0 0 0 0 0 0  0.0000
1706887070.0592 0 0 0 0 0 0 0 0  0.0000
1706887070.0667 0 0 0 0 0 0 0 0  0.0000
1706887070.0751 0 0 0 0 0 0 0 0  0.0000
1706887070.0835 0 0 0 0 0 5 0 0  0.0000
1706887070.0911 0 0 0 0 0 0 4 10  0.0000
1706887070.0995 0 0 0 2 12 15 13 9  0.0000
1706887070.1069 1 7 15 15 8 0 0 0  0.0000
1706887070.1155 1 2 4 1 0 0 0 0  0.0000
1706887070.1237 4 7 3 0 0 0 0 7  0.0000
1706887070.1311 1 0 0 3 4 7 3 3  0.0000
1706887070.1397 1 0 0 0 0 1 1 2  0.0000
1706887070.1470 0 2 2 0 0 1 4 2  0.0000
1706887070.1555 0 1 2 3 6 6 0 1  0.0000
1706887070.1629 0 0 0 0 1 1 0 0  0.0000
1706887070.1716 0 0 3 1 2 0 2 3  0.0000
1706887070.1796 0 0 3 1 0 0 0 0  0.0000
1706887070.1870 0 4 0 9 0 0 0 0  0.0000
1706887070.1956 0 2 3 0 0 3 2 8  0.0000
1706887070.2029 0 0 0 0 3 9 3 1  0.0000
1706887070.2115 0 3 4 2 6 4 0 0  0.0000
1706887070.2191 1 2 8 6 10 13 18 15  0.0000
1706887070.2271 5 16 20 20 20 11 1 6  0.0000
1706887070.2355 5 6 12 3 2 2 0 0  0.0000
1706887070.2430 11 3 6 1 5 0 4 6  0.0000
1706887070.2514 13 0 6 4 7 6 8 4  0.0000
1706887070.2597 0 1 5 2 1 0 0 0  0.0000
1706887070.2673 2 0 0 0 0 0 0 0  0.0000
1706887070.2754 0 0 0 0 7 1 0 0  0.0000
1706887070.2828 0 0 0 0 2 0 0 0  0.0000
1706887070.2915 0 2 3 4 0 0 0 0  0.0000
1706887070.2988 0 0 0 0 0 0 0 4  0.0000
1706887070.3075 2 0 3 1 7 7 8 5  0.0000
1706887070.3150 0 0 0 0 3 7 2 0  0.0000
1706887070.3229 0 0 2 0 0 0 0 0  0.0000
1706887070.3315 0 0 7 5 4 5 0 0  0.0000
1706887070.3391 1 4 6 0 0 0 0 1  0.0000
1706887070.3475 0 0 0 0 0 1 0 3  0.0000
1706887070.3550 0 0 2 4 0 0 0 0  0.0000
1706887070.3637 0 0 0 0 0 6 8 0  0.0000
1706887070.3708 0 0 0 0 0 0 0 0  0.0000
1706887070.3792 0 5 5 9 5 0 0 0  0.0000
1706887070.3877 3 2 4 0 0 0 0 0  0.0000
1706887070.3952 0 0 0 0 0 0 0 0  0.0000
1706887070.4037 0 0 0 0 0 0 0 0  0.0000
1706887070.4123 0 0 0 0 0 0 0 0  0.0000
1706887070.4198 0 0 0 0 0 1 0 0  0.0000
1706887070.4270 0 0 0 0 10 11 15 15  0.0000
1706887070.4357 0 0 3 6 6 0 0 0  0.0000
1706887070.4435 0 0 2 11 12 5 9 3  0.0000
1706887070.4511 7 21 18 8 7 3 0 2  0.0000
1706887070.4595 11 0 0 0 0 0 0 0  0.0000
1706887070.4669 0 0 0 0 0 1 1 5  0.0000
1706887070.4752 0 0 1 4 4 3 4 4  0.0000
1706887070.4838 0 0 0 0 0 0 0 0  0.0000
1706887070.4912 0 0 0 0 2 0 0 3  0.0000
1706887070.4989 0 0 9 9 6 3 0 0  0.0000
1706887070.5074 0 4 4 6 6 0 0 0  0.0000
1706887070.5148 1 0 0 0 0 0 4 5  0.0000
1706887070.5233 0 0 1 1 0 2 6 4  0.0000
1706887070.5319 1 1 1 1 1 4 0 0  0.0000
1706887070.5391 0 0 0 4 0 3 2 6  0.0000
1706887070.5476 3 0 5 4 5 11 10 8  0.0000
1706887070.5552 0 0 0 0 4 6 2 2  0.0000
1706887070.5636 4 2 2 0 11 10 8 12  0.0000
1706887070.5712 0 10 22 26 19 18 13 12  0.0000
1706887070.5795 12 17 10 10 6 7 1 5  0.0000
1706887070.5869 10 1 0 0 5 6 4 0  0.0000
1706887070.5953 0 7 4 7 2 0 2 0  0.0000
1706887070.6039 2 0 8 1 0 0 0 0  0.0000
1706887070.6113 12 0 0 0 0 0 0 0  0.0000
1706887070.6189 0 0 0 0 0 1 4 0  0.0000
1706887070.6272 0 0 2 0 0 0 0 0  0.0000
1706887070.6357 1 0 6 4 1 2 2 9  0.0000
1706887070.6431 0 0 0 3 1 6 3 2  0.0000
1706887070.6516 0 2 0 0 0 0 0 1  0.0000
1706887070.6590 0 0 0 2 0 4 0 0  0.0000
1706887070.6676 0 0 4 3 11 6 1 0  0.0000
1706887070.6748 0 0 6 5 3 0 0 0  0.0000
1706887070.6831 8 7 8 0 0 0 4 2  0.0000
1706887070.6917 0 0 0 0 0 3 6 5  0.0000
1706887070.6993 0 1 0 0 2 4 7 0  0.0000
