% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703750097.8773 0 0 0 0
1703750097.8838 0 0 0 0
1703750097.8917 0 0 0 0
1703750097.8986 0 0 0 0
1703750097.9048 0 0 0 0
1703750097.9127 1 1 1 1
1703750097.9190 5 4 4 3
1703750097.9261 8 7 3 3
1703750097.9336 8 7 0 0
1703750097.9401 10 7 2 0
1703750097.9470 13 8 3 1
1703750097.9541 16 8 3 0
1703750097.9609 19 9 3 1
1703750097.9682 24 10 5 1
1703750097.9756 29 10 5 0
1703750097.9826 34 10 5 0
1703750097.9897 40 10 6 0
1703750097.9963 48 10 8 0
1703750098.0032 56 10 8 0
1703750098.0109 63 10 7 0
1703750098.0177 72 10 9 0
1703750098.0248 82 10 10 0
1703750098.0314 92 9 10 -1
1703750098.0385 102 9 10 0
1703750098.0451 113 8 11 -1
1703750098.0520 125 7 12 -1
1703750098.0588 136 6 11 -1
1703750098.0667 148 5 12 -1
1703750098.0736 160 4 12 -1
1703750098.0802 172 3 12 -1
1703750098.0873 184 2 12 -1
1703750098.0940 196 0 12 -2
1703750098.1008 209 4294967295 13 -1
1703750098.1088 221 4294967294 12 -1
1703750098.1156 232 4294967293 11 -1
1703750098.1224 244 4294967292 12 -1
1703750098.1290 257 4294967292 13 0
1703750098.1361 268 4294967291 11 -1
1703750098.1429 277 4294967291 9 0
1703750098.1508 288 4294967290 11 -1
1703750098.1568 300 4294967289 12 -1
1703750098.1645 310 4294967289 10 0
1703750098.1715 318 4294967289 8 0
1703750098.1781 327 4294967290 9 1
1703750098.1851 336 4294967291 9 1
1703750098.1920 344 4294967292 8 1
1703750098.1997 352 4294967294 8 2
1703750098.2058 359 0 7 2
1703750098.2135 365 3 6 3
1703750098.2204 371 5 6 2
1703750098.2271 377 7 6 2
1703750098.2339 382 10 5 3
1703750098.2408 386 14 4 4
1703750098.2487 389 17 3 3
1703750098.2556 392 22 3 5
1703750098.2623 395 27 3 5
1703750098.2691 397 32 2 5
1703750098.2760 400 38 3 6
1703750098.2837 402 44 2 6
1703750098.2908 403 52 1 8
1703750098.2974 404 59 1 7
1703750098.3043 405 67 1 8
1703750098.3111 406 76 1 9
1703750098.3179 407 85 1 9
1703750098.3248 407 94 0 9
1703750098.3325 407 103 0 9
1703750098.3397 407 114 0 11
1703750098.3464 407 124 0 10
1703750098.3532 407 134 0 10
1703750098.3602 407 143 0 9
1703750098.3669 406 152 -1 9
1703750098.3748 406 163 0 11
1703750098.3817 405 173 -1 10
1703750098.3888 405 183 0 10
1703750098.3955 405 193 0 10
1703750098.4022 405 205 0 12
1703750098.4090 405 216 0 11
1703750098.4167 405 226 0 10
1703750098.4236 405 237 0 11
1703750098.4306 405 248 0 11
1703750098.4375 405 258 0 10
1703750098.4444 405 268 0 10
1703750098.4510 405 279 0 11
1703750098.4578 405 289 0 10
1703750098.4655 405 299 0 10
1703750098.4726 405 309 0 10
1703750098.4794 405 319 0 10
1703750098.4863 405 329 0 10
1703750098.4932 405 339 0 10
1703750098.4998 405 348 0 9
1703750098.5078 405 356 0 8
1703750098.5145 405 364 0 8
1703750098.5214 405 374 0 10
1703750098.5283 406 383 1 9
1703750098.5351 406 391 0 8
1703750098.5421 406 398 0 7
1703750098.5498 406 406 0 8
1703750098.5567 407 414 1 8
1703750098.5637 408 422 1 8
1703750098.5703 411 430 3 8
1703750098.5772 414 437 3 7
1703750098.5840 416 443 2 6
1703750098.5909 417 449 1 6
1703750098.5988 420 456 3 7
1703750098.6057 422 463 2 7
1703750098.6126 424 468 2 5
1703750098.6192 426 473 2 5
