% Edge sensor logfile normalized 'log_20240202_161804.588/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887085.3615 0 0 0 0 0 0 0 0  0.0000
1706887085.3701 191 225 241 255 239 247 231 189  0.0000
1706887085.3766 193 225 247 259 244 257 240 213  0.0000
1706887085.3847 186 228 247 261 244 250 226 183  0.0000
1706887085.3925 189 224 246 254 241 248 235 206  0.0000
1706887085.4006 195 234 248 260 247 265 249 208  0.0000
1706887085.4088 193 230 260 281 262 263 236 193  0.0000
1706887085.4169 202 255 263 272 247 242 233 191  0.0000
1706887085.4251 195 228 251 258 236 240 231 192  0.0000
1706887085.4333 208 245 261 269 248 257 241 196  0.0000
1706887085.4404 206 236 256 264 246 257 235 188  0.0000
1706887085.4488 200 237 253 267 246 257 233 181  0.0000
1706887085.4573 192 228 248 261 248 250 213 170  0.0000
1706887085.4648 189 221 242 257 245 252 230 178  0.0000
1706887085.4730 199 234 251 267 242 244 216 176  0.0000
1706887085.4810 202 228 253 245 215 240 223 183  0.0000
1706887085.4888 190 213 225 241 236 246 232 197  0.0000
1706887085.4970 180 211 238 253 240 244 234 182  0.0000
1706887085.5052 197 235 242 250 235 253 230 186  0.0000
1706887085.5133 178 212 234 256 234 250 242 182  0.0000
1706887085.5204 188 220 241 258 244 260 231 178  0.0000
1706887085.5285 186 222 241 249 237 258 232 188  0.0000
1706887085.5363 194 231 238 257 240 253 234 182  0.0000
1706887085.5444 192 226 248 260 234 255 230 182  0.0000
1706887085.5524 189 222 248 261 239 241 228 205  0.0000
1706887085.5601 198 240 252 268 240 249 229 194  0.0000
1706887085.5690 195 222 243 260 235 255 231 185  0.0000
1706887085.5772 193 228 242 254 230 247 236 187  0.0000
1706887085.5848 197 229 247 263 244 246 238 191  0.0000
1706887085.5930 192 229 243 257 243 247 236 193  0.0000
1706887085.6010 195 232 249 254 235 252 235 180  0.0000
1706887085.6087 195 235 247 266 249 253 238 185  0.0000
1706887085.6165 200 238 254 258 233 251 230 185  0.0000
1706887085.6246 197 237 248 261 247 254 241 200  0.0000
1706887085.6324 203 247 260 264 243 259 236 188  0.0000
1706887085.6405 200 239 251 263 238 250 243 190  0.0000
1706887085.6484 200 238 247 261 241 250 239 197  0.0000
1706887085.6562 190 231 256 276 248 259 245 180  0.0000
1706887085.6650 201 233 251 266 241 254 244 187  0.0000
1706887085.6732 193 234 249 262 245 256 238 184  0.0000
1706887085.6809 196 241 255 275 250 250 215 175  0.0000
1706887085.6889 200 238 261 258 223 228 222 178  0.0000
1706887085.6971 191 223 234 245 237 246 229 183  0.0000
1706887085.7048 202 244 254 265 249 256 246 203  0.0000
1706887085.7126 196 213 228 251 237 246 239 191  0.0000
1706887085.7208 183 218 238 255 239 248 234 187  0.0000
1706887085.7284 195 227 247 265 241 248 236 197  0.0000
1706887085.7364 189 226 247 262 245 271 260 212  0.0000
1706887085.7446 194 237 258 274 249 261 239 198  0.0000
1706887085.7524 190 235 248 265 245 265 262 212  0.0000
1706887085.7605 197 236 251 275 273 277 261 200  0.0000
1706887085.7683 191 248 280 289 272 261 247 188  0.0000
1706887085.7769 221 259 274 279 256 262 251 195  0.0000
1706887085.7850 208 252 257 271 251 259 252 198  0.0000
1706887085.7922 224 251 267 280 256 265 249 211  0.0000
1706887085.8009 206 241 261 273 254 265 252 197  0.0000
1706887085.8091 207 242 251 273 253 258 244 205  0.0000
1706887085.8169 210 242 255 270 257 263 253 201  0.0000
1706887085.8243 194 240 260 273 258 256 247 196  0.0000
1706887085.8325 201 246 261 276 254 263 248 195  0.0000
1706887085.8407 209 244 256 276 261 264 257 208  0.0000
1706887085.8485 212 249 268 274 255 266 250 201  0.0000
1706887085.8563 206 248 257 273 249 259 246 197  0.0000
1706887085.8652 209 246 259 268 250 258 255 200  0.0000
1706887085.8728 204 240 259 270 259 268 255 199  0.0000
1706887085.8810 201 240 261 270 256 263 251 194  0.0000
1706887085.8892 203 237 258 267 254 268 256 195  0.0000
1706887085.8969 201 250 263 276 261 269 255 195  0.0000
1706887085.9050 200 241 259 273 250 269 251 198  0.0000
1706887085.9126 208 248 262 284 260 266 244 192  0.0000
1706887085.9203 211 242 253 268 247 258 250 199  0.0000
1706887085.9285 208 248 258 273 255 264 244 197  0.0000
1706887085.9367 208 246 260 266 247 259 251 207  0.0000
1706887085.9444 206 243 253 267 250 262 249 197  0.0000
1706887085.9525 207 241 254 271 249 261 255 216  0.0000
1706887085.9605 204 246 261 274 265 274 272 215  0.0000
1706887085.9689 201 241 264 287 278 284 264 201  0.0000
1706887085.9771 215 255 271 278 263 266 253 204  0.0000
1706887085.9843 206 243 261 272 260 267 256 195  0.0000
1706887085.9931 219 265 279 280 261 260 251 205  0.0000
1706887086.0012 222 260 269 277 256 259 254 202  0.0000
1706887086.0081 215 250 265 271 259 271 251 202  0.0000
1706887086.0166 215 246 267 274 249 254 234 188  0.0000
1706887086.0248 209 241 257 265 246 254 247 201  0.0000
1706887086.0331 209 240 257 273 256 262 240 187  0.0000
1706887086.0407 197 240 259 265 242 250 243 189  0.0000
1706887086.0488 198 226 245 266 250 251 242 208  0.0000
1706887086.0571 182 230 246 268 252 258 245 188  0.0000
1706887086.0644 197 237 259 270 260 261 249 193  0.0000
1706887086.0726 189 234 253 271 250 257 249 198  0.0000
1706887086.0808 204 241 259 267 246 261 250 204  0.0000
1706887086.0885 204 235 252 266 245 253 248 202  0.0000
1706887086.0965 200 239 260 272 261 265 254 199  0.0000
