% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703754344.9110 0 0 0 0
1703754344.9171 0 0 0 0
1703754344.9245 0 0 0 0
1703754344.9319 0 0 0 0
1703754344.9383 2 2 2 2
1703754344.9452 6 5 4 3
1703754344.9526 9 8 3 3
1703754344.9593 11 10 2 2
1703754344.9669 12 10 1 0
1703754344.9731 13 13 1 3
1703754344.9810 15 15 2 2
1703754344.9871 17 16 2 1
1703754344.9948 20 20 3 4
1703754345.0020 23 23 3 3
1703754345.0090 27 26 4 3
1703754345.0151 31 30 4 4
1703754345.0225 34 34 3 4
1703754345.0292 38 38 4 4
1703754345.0362 43 42 5 4
1703754345.0440 47 47 4 5
1703754345.0509 51 51 4 4
1703754345.0578 57 56 6 5
1703754345.0646 62 61 5 5
1703754345.0717 66 66 4 5
1703754345.0784 71 71 5 5
1703754345.0853 77 76 6 5
1703754345.0930 82 82 5 6
1703754345.0999 86 87 4 5
1703754345.1068 91 91 5 4
1703754345.1135 96 97 5 6
1703754345.1206 102 103 6 6
1703754345.1283 108 107 6 4
1703754345.1352 112 112 4 5
1703754345.1421 117 116 5 4
1703754345.1488 122 121 5 5
1703754345.1557 127 127 5 6
1703754345.1634 132 132 5 5
1703754345.1705 136 136 4 4
1703754345.1772 142 141 6 5
1703754345.1840 147 147 5 6
1703754345.1911 152 152 5 5
1703754345.1977 156 156 4 4
1703754345.2046 160 160 4 4
1703754345.2123 166 165 6 5
1703754345.2194 171 171 5 6
1703754345.2263 176 175 5 4
1703754345.2329 180 179 4 4
1703754345.2400 184 184 4 5
1703754345.2466 190 188 6 4
1703754345.2536 195 193 5 5
1703754345.2613 199 197 4 4
1703754345.2682 203 202 4 5
1703754345.2753 208 207 5 5
1703754345.2821 214 212 6 5
1703754345.2890 218 216 4 4
1703754345.2957 222 220 4 4
1703754345.3026 226 225 4 5
1703754345.3105 231 229 5 4
1703754345.3170 236 234 5 5
1703754345.3243 242 240 6 6
1703754345.3310 246 244 4 4
1703754345.3379 251 249 5 5
1703754345.3447 256 253 5 4
1703754345.3525 261 258 5 5
1703754345.3595 265 263 4 5
1703754345.3661 269 268 4 5
1703754345.3733 275 273 6 5
1703754345.3799 280 276 5 3
1703754345.3868 284 280 4 4
1703754345.3937 288 286 4 6
1703754345.4014 292 291 4 5
1703754345.4083 297 296 5 5
1703754345.4152 303 300 6 4
1703754345.4222 308 304 5 4
1703754345.4289 311 308 3 4
1703754345.4356 315 314 4 6
1703754345.4426 320 318 5 4
1703754345.4503 325 322 5 4
1703754345.4572 330 327 5 5
1703754345.4641 334 332 4 5
1703754345.4711 338 337 4 5
1703754345.4781 343 341 5 4
1703754345.4858 348 345 5 4
1703754345.4925 352 350 4 5
1703754345.4992 357 355 5 5
1703754345.5063 361 360 4 5
1703754345.5131 366 364 5 4
1703754345.5200 370 368 4 4
1703754345.5269 375 373 5 5
1703754345.5346 380 378 5 5
1703754345.5415 384 382 4 4
1703754345.5482 389 387 5 5
1703754345.5552 394 392 5 5
1703754345.5621 398 397 4 5
1703754345.5689 403 401 5 4
1703754345.5759 408 405 5 4
1703754345.5836 412 409 4 4
1703754345.5905 417 414 5 5
1703754345.5974 422 420 5 6
1703754345.6041 427 425 5 5
1703754345.6110 431 429 4 4
1703754345.6178 435 433 4 4
1703754345.6247 440 437 5 4
1703754345.6325 445 442 5 5
1703754345.6395 450 448 5 6
1703754345.6464 454 453 4 5
1703754345.6530 459 457 5 4
1703754345.6598 464 460 5 3
1703754345.6675 468 465 4 5
1703754345.6746 472 470 4 5
1703754345.6813 477 476 5 6
1703754345.6883 483 481 6 5
1703754345.6952 487 484 4 3
1703754345.7019 491 489 4 5
1703754345.7088 495 494 4 5
1703754345.7165 500 498 5 4
1703754345.7235 506 503 6 5
1703754345.7306 511 508 5 5
1703754345.7372 514 512 3 4
1703754345.7441 518 517 4 5
1703754345.7508 523 522 5 5
1703754345.7577 529 526 6 4
1703754345.7656 534 530 5 4
1703754345.7725 537 535 3 5
1703754345.7796 541 540 4 5
1703754345.7863 547 545 6 5
1703754345.7932 552 549 5 4
1703754345.8000 556 553 4 4
1703754345.8068 560 558 4 5
1703754345.8147 564 563 4 5
1703754345.8217 569 567 5 4
1703754345.8285 574 572 5 5
1703754345.8352 579 577 5 5
1703754345.8421 583 582 4 5
1703754345.8489 588 586 5 4
1703754345.8556 593 590 5 4
1703754345.8636 597 594 4 4
1703754345.8706 601 599 4 5
1703754345.8775 606 605 5 6
1703754345.8842 612 610 6 5
1703754345.8909 616 614 4 4
1703754345.8979 620 618 4 4
1703754345.9056 624 622 4 4
1703754345.9116 630 627 6 5
1703754345.9194 635 633 5 6
1703754345.9264 639 637 4 4
1703754345.9332 643 641 4 4
1703754345.9398 648 646 5 5
1703754345.9468 653 651 5 5
1703754345.9547 657 655 4 4
1703754345.9616 661 659 4 4
1703754345.9685 666 664 5 5
1703754345.9753 671 669 5 5
1703754345.9822 676 674 5 5
1703754345.9888 680 678 4 4
1703754345.9956 684 682 4 4
1703754346.0035 689 687 5 5
1703754346.0104 694 692 5 5
1703754346.0172 699 697 5 5
1703754346.0241 703 702 4 5
1703754346.0311 707 705 4 3
1703754346.0377 713 708 6 3
1703754346.0448 719 712 6 4
1703754346.0525 725 716 6 4
1703754346.0593 730 719 5 3
1703754346.0662 736 722 6 3
1703754346.0730 743 726 7 4
1703754346.0800 749 728 6 2
1703754346.0866 755 731 6 3
1703754346.0937 762 733 7 2
1703754346.1016 769 735 7 2
1703754346.1082 776 739 7 4
1703754346.1151 783 741 7 2
1703754346.1219 790 743 7 2
1703754346.1289 797 745 7 2
1703754346.1358 803 748 6 3
1703754346.1426 809 751 6 3
1703754346.1506 816 755 7 4
1703754346.1573 823 757 7 2
1703754346.1641 830 760 7 3
1703754346.1709 836 764 6 4
1703754346.1778 841 767 5 3
1703754346.1848 846 770 5 3
1703754346.1926 852 774 6 4
1703754346.1996 859 777 7 3
1703754346.2062 865 781 6 4
1703754346.2131 870 784 5 3
1703754346.2199 875 788 5 4
1703754346.2269 881 792 6 4
1703754346.2338 886 796 5 4
1703754346.2415 891 800 5 4
1703754346.2484 897 804 6 4
1703754346.2551 903 809 6 5
1703754346.2620 907 814 4 5
1703754346.2691 911 818 4 4
1703754346.2759 917 822 6 4
1703754346.2828 922 826 5 4
1703754346.2905 926 831 4 5
1703754346.2974 929 836 3 5
1703754346.3042 933 842 4 6
1703754346.3110 937 847 4 5
1703754346.3183 940 853 3 6
1703754346.3249 941 860 1 7
1703754346.3317 942 867 1 7
1703754346.3394 943 874 1 7
1703754346.3463 944 882 1 8
1703754346.3531 944 891 0 9
1703754346.3601 944 900 0 9
1703754346.3670 942 906 -2 6
1703754346.3738 939 912 -3 6
1703754346.3818 936 921 -3 9
1703754346.3884 933 929 -3 8
1703754346.3952 930 936 -3 7
1703754346.4021 928 942 -2 6
1703754346.4089 927 949 -1 7
1703754346.4158 924 955 -3 6
1703754346.4236 922 961 -2 6
1703754346.4306 920 966 -2 5
1703754346.4374 918 971 -2 5
1703754346.4440 916 976 -2 5
1703754346.4511 915 980 -1 4
1703754346.4578 913 984 -2 4
1703754346.4648 911 987 -2 3
1703754346.4728 910 990 -1 3
1703754346.4796 909 994 -1 4
1703754346.4865 907 997 -2 3
1703754346.4931 905 999 -2 2
1703754346.5000 904 1001 -1 2
