% Edge sensor logfile normalized 'log_20231228_100544.712/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703754344.9169 0 0 0 0 0 0 0 0  0.0000
1703754344.9247 564 612 586 549 552 481 423 432  0.0000
1703754344.9320 541 615 586 556 528 481 416 409  0.0000
1703754344.9407 524 603 586 534 528 481 399 398  0.0000
1703754344.9488 577 640 599 563 544 501 426 449  0.0000
1703754344.9570 567 599 576 547 524 479 408 418  0.0000
1703754344.9646 514 592 558 529 510 457 391 392  0.0000
1703754344.9730 541 621 591 560 508 471 423 420  0.0000
1703754344.9811 567 615 597 560 516 466 406 435  0.0000
1703754344.9893 544 603 578 532 495 442 386 372  0.0000
1703754344.9973 528 610 586 558 497 449 403 412  0.0000
1703754345.0054 577 612 614 572 510 457 406 457  0.0000
1703754345.0128 504 599 584 521 445 410 413 401  0.0000
1703754345.0210 521 576 563 512 449 418 403 375  0.0000
1703754345.0290 534 603 576 523 441 403 411 409  0.0000
1703754345.0374 521 587 584 507 431 408 411 432  0.0000
1703754345.0453 521 599 558 483 415 403 403 420  0.0000
1703754345.0531 521 576 569 481 413 408 431 454  0.0000
1703754345.0613 537 580 550 474 425 442 428 460  0.0000
1703754345.0692 508 562 526 443 407 415 416 466  0.0000
1703754345.0771 521 567 509 436 419 447 456 497  0.0000
1703754345.0851 554 585 501 432 423 444 463 511  0.0000
1703754345.0931 551 539 458 403 421 422 443 500  0.0000
1703754345.1011 521 519 460 407 419 444 461 488  0.0000
1703754345.1091 521 521 456 407 429 459 471 497  0.0000
1703754345.1169 531 498 451 432 447 457 468 494  0.0000
1703754345.1249 478 466 443 416 433 442 458 505  0.0000
1703754345.1329 495 492 451 436 435 457 468 502  0.0000
1703754345.1407 495 507 468 461 467 474 498 531  0.0000
1703754345.1489 488 487 451 436 455 488 488 505  0.0000
1703754345.1569 452 487 441 443 465 449 458 497  0.0000
1703754345.1647 524 519 473 452 475 496 506 556  0.0000
1703754345.1727 508 512 462 474 465 457 491 516  0.0000
1703754345.1807 458 496 456 450 465 466 488 525  0.0000
1703754345.1898 485 528 486 472 479 466 488 533  0.0000
1703754345.1965 501 533 501 478 489 498 501 548  0.0000
1703754345.2047 498 537 496 476 467 457 478 542  0.0000
1703754345.2136 498 528 488 470 483 488 501 570  0.0000
1703754345.2216 501 562 513 501 497 506 531 587  0.0000
1703754345.2296 491 544 501 472 491 488 511 567  0.0000
1703754345.2376 455 535 496 483 487 481 506 573  0.0000
1703754345.2454 501 571 501 485 508 518 538 612  0.0000
1703754345.2534 501 555 496 481 491 496 511 573  0.0000
1703754345.2614 485 574 509 503 506 506 508 556  0.0000
1703754345.2694 498 562 498 481 491 493 511 556  0.0000
1703754345.2775 528 583 539 514 500 518 521 596  0.0000
1703754345.2855 508 571 518 487 504 501 518 596  0.0000
1703754345.2934 481 544 513 503 493 498 506 576  0.0000
1703754345.3014 504 558 522 501 512 511 496 579  0.0000
1703754345.3092 495 553 509 509 516 498 508 576  0.0000
1703754345.3172 452 537 503 509 518 496 501 581  0.0000
1703754345.3255 508 567 528 527 528 520 528 615  0.0000
1703754345.3334 518 569 535 543 544 523 523 581  0.0000
1703754345.3412 488 558 543 543 544 515 513 545  0.0000
1703754345.3492 518 574 554 549 538 515 538 590  0.0000
1703754345.3570 524 560 550 549 548 552 538 593  0.0000
1703754345.3649 468 544 537 518 530 528 508 579  0.0000
1703754345.3734 478 551 526 527 532 523 531 562  0.0000
1703754345.3812 514 560 554 534 538 535 521 587  0.0000
1703754345.3891 534 567 548 541 538 535 528 553  0.0000
1703754345.3970 495 576 537 496 526 511 498 564  0.0000
1703754345.4049 528 569 556 549 550 559 541 545  0.0000
1703754345.4127 537 578 550 543 546 550 531 564  0.0000
1703754345.4210 504 564 556 529 536 537 516 528  0.0000
1703754345.4290 504 564 539 527 530 555 528 553  0.0000
1703754345.4368 521 596 588 556 548 572 558 564  0.0000
1703754345.4448 495 567 558 514 536 552 526 542  0.0000
1703754345.4527 488 530 546 521 528 550 531 525  0.0000
1703754345.4607 478 558 546 529 538 562 548 550  0.0000
1703754345.4689 521 555 533 529 542 557 543 548  0.0000
1703754345.4767 465 553 524 503 518 535 513 522  0.0000
1703754345.4856 495 542 528 521 530 557 541 553  0.0000
1703754345.4927 514 576 552 525 550 562 548 559  0.0000
1703754345.5016 501 567 548 527 532 552 531 553  0.0000
1703754345.5096 485 558 552 514 522 528 523 514  0.0000
1703754345.5176 518 571 556 538 534 550 546 522  0.0000
1703754345.5256 528 564 541 505 516 501 476 502  0.0000
1703754345.5334 495 548 556 525 512 486 483 485  0.0000
1703754345.5414 491 548 550 532 516 498 488 528  0.0000
1703754345.5496 501 567 556 529 510 488 496 528  0.0000
1703754345.5574 481 551 539 505 485 447 456 500  0.0000
1703754345.5654 495 546 541 507 489 430 471 531  0.0000
1703754345.5734 511 555 543 516 497 452 478 528  0.0000
1703754345.5813 485 548 541 505 471 447 476 519  0.0000
1703754345.5893 475 553 546 501 475 444 478 511  0.0000
1703754345.5973 508 558 554 507 481 474 503 545  0.0000
1703754345.6053 511 558 537 487 471 444 471 536  0.0000
1703754345.6133 501 546 518 483 491 466 501 545  0.0000
1703754345.6212 534 558 526 496 500 481 506 553  0.0000
1703754345.6291 531 562 526 496 487 484 518 562  0.0000
1703754345.6370 521 542 498 470 491 479 496 525  0.0000
1703754345.6450 521 519 473 467 479 457 498 550  0.0000
1703754345.6529 541 537 501 494 491 464 496 525  0.0000
1703754345.6610 504 519 475 478 475 449 481 514  0.0000
1703754345.6690 495 514 486 472 483 447 471 525  0.0000
1703754345.6768 501 510 481 476 495 474 506 548  0.0000
1703754345.6850 504 517 488 494 493 454 491 545  0.0000
1703754345.6928 465 514 479 458 477 466 468 508  0.0000
1703754345.7007 475 517 490 472 493 464 488 545  0.0000
1703754345.7087 498 533 494 487 485 466 508 548  0.0000
1703754345.7166 471 505 477 481 479 447 483 536  0.0000
1703754345.7246 462 498 466 474 471 447 466 511  0.0000
1703754345.7328 468 519 498 490 500 474 511 579  0.0000
1703754345.7407 458 496 479 454 469 432 471 542  0.0000
1703754345.7496 429 492 464 456 483 442 463 545  0.0000
1703754345.7576 475 517 483 474 479 459 493 564  0.0000
1703754345.7654 442 514 496 481 493 481 506 573  0.0000
1703754345.7726 458 512 481 472 489 462 501 545  0.0000
1703754345.7808 448 507 486 470 489 462 518 570  0.0000
1703754345.7887 481 521 486 481 510 501 528 587  0.0000
1703754345.7976 442 498 479 465 495 493 536 590  0.0000
1703754345.8056 452 505 473 472 512 528 538 584  0.0000
1703754345.8134 471 517 486 470 516 537 548 601  0.0000
1703754345.8216 475 521 492 485 520 528 528 567  0.0000
1703754345.8287 432 482 451 467 512 508 518 564  0.0000
1703754345.8376 458 507 488 505 546 547 546 553  0.0000
1703754345.8454 442 507 483 501 520 525 521 562  0.0000
1703754345.8534 458 517 494 492 526 525 528 556  0.0000
1703754345.8612 422 510 503 498 518 520 506 542  0.0000
1703754345.8694 458 521 531 525 540 545 541 573  0.0000
1703754345.8774 419 512 511 498 516 508 508 553  0.0000
1703754345.8853 438 514 516 512 518 530 516 559  0.0000
1703754345.8932 455 537 528 505 514 503 521 587  0.0000
1703754345.9012 448 523 537 532 528 518 543 548  0.0000
1703754345.9092 412 526 520 481 491 493 521 559  0.0000
1703754345.9170 448 533 526 503 516 525 558 593  0.0000
1703754345.9252 481 546 537 501 512 518 533 570  0.0000
1703754345.9330 448 530 520 483 502 515 541 596  0.0000
1703754345.9410 419 530 511 472 491 520 548 587  0.0000
1703754345.9490 475 555 543 516 514 567 573 607  0.0000
1703754345.9571 471 548 539 498 504 528 546 576  0.0000
1703754345.9649 429 530 518 503 483 525 563 587  0.0000
1703754345.9730 491 560 546 505 518 547 568 635  0.0000
1703754345.9809 485 542 531 523 530 552 588 646  0.0000
1703754345.9887 475 533 516 487 518 540 576 627  0.0000
1703754345.9968 481 537 526 496 512 567 603 683  0.0000
1703754346.0048 511 562 556 512 534 577 628 711  0.0026
1703754346.0127 481 523 520 492 528 550 635 740  0.0073
1703754346.0208 478 542 520 485 528 586 655 793  0.0130
1703754346.0286 485 548 539 521 554 625 715 892  0.0225
1703754346.0376 501 544 533 509 562 643 753 920  0.0286
1703754346.0447 481 521 503 512 564 655 812 963  0.0330
1703754346.0526 514 539 537 543 600 718 895 1000  0.0415
1703754346.0616 544 555 552 549 640 757 937 1000  0.0480
1703754346.0686 514 551 537 565 676 826 967 1000  0.0548
1703754346.0776 511 542 541 592 722 870 990 1000  0.0611
1703754346.0854 541 574 558 629 789 965 1000 1000  0.0686
1703754346.0936 504 548 563 658 813 958 1000 1000  0.0719
1703754346.1014 495 560 576 691 867 1000 1000 1000  0.0762
1703754346.1094 561 608 631 742 923 1000 1000 1000  0.0844
1703754346.1174 518 615 657 784 965 1000 1000 1000  0.0899
1703754346.1254 570 644 702 838 991 1000 1000 1000  0.0971
1703754346.1332 564 697 781 913 1000 1000 1000 1000  0.1150
1703754346.1414 623 749 871 993 1000 1000 1000 1000  0.1232
1703754346.1493 603 772 922 1000 1000 1000 1000 1000  0.1239
1703754346.1571 656 845 993 1000 1000 1000 1000 1000  0.1305
1703754346.1653 719 892 1000 1000 1000 1000 1000 1000  0.1350
1703754346.1733 828 958 1000 1000 1000 1000 1000 1000  0.1350
1703754346.1813 844 981 1000 1000 1000 1000 975 966  0.1350
1703754346.1893 993 1000 1000 1000 1000 1000 977 957  0.1350
1703754346.1971 1000 1000 1000 1000 1000 1000 927 912  0.1350
1703754346.2050 1000 1000 1000 1000 993 948 875 841  0.1350
1703754346.2130 1000 1000 1000 1000 971 933 842 762  0.1350
1703754346.2211 1000 1000 1000 1000 959 882 783 737  0.1350
1703754346.2291 1000 1000 1000 986 899 826 708 663  0.1191
1703754346.2371 1000 1000 1000 960 841 735 640 610  0.1035
1703754346.2449 1000 1000 1000 933 815 704 618 607  0.0973
1703754346.2528 1000 1000 978 909 734 599 553 576  0.0820
1703754346.2608 1000 963 914 818 666 557 501 564  0.0728
1703754346.2690 1000 956 862 767 622 520 521 573  0.0668
1703754346.2771 1000 931 826 729 598 542 533 567  0.0621
1703754346.2851 1000 858 740 669 570 508 526 556  0.0494
1703754346.2929 976 822 676 587 536 476 513 559  0.0354
1703754346.3007 924 794 629 569 544 511 531 584  0.0303
1703754346.3087 864 733 586 545 520 481 508 559  0.0236
1703754346.3168 772 669 541 498 512 486 481 542  0.0135
1703754346.3248 768 653 535 516 520 496 513 576  0.0114
1703754346.3329 706 608 522 501 540 508 513 570  0.0012
1703754346.3407 636 596 509 490 510 476 488 525  0.0000
1703754346.3486 590 555 505 481 508 486 501 570  0.0000
1703754346.3566 574 553 494 470 510 486 508 553  0.0000
1703754346.3646 528 521 490 490 500 481 491 542  0.0000
1703754346.3726 498 498 473 467 483 459 471 508  0.0000
1703754346.3816 501 514 481 472 487 464 478 539  0.0000
1703754346.3896 471 496 475 476 487 462 481 550  0.0000
1703754346.3974 478 501 458 465 487 440 468 531  0.0000
1703754346.4056 504 501 477 467 487 474 496 536  0.0000
1703754346.4134 495 496 475 472 487 462 496 542  0.0000
1703754346.4214 471 489 453 461 475 444 473 545  0.0000
1703754346.4294 475 510 475 461 489 457 481 545  0.0000
1703754346.4372 481 505 479 454 477 474 483 528  0.0000
1703754346.4452 485 498 443 439 459 447 476 516  0.0000
1703754346.4534 462 517 466 441 455 432 453 485  0.0000
1703754346.4613 458 510 462 454 475 444 453 502  0.0000
1703754346.4693 488 517 473 445 467 447 471 491  0.0000
1703754346.4773 465 485 436 430 455 432 446 477  0.0000
1703754346.4851 478 501 456 454 459 440 473 514  0.0000
1703754346.4929 504 512 479 456 479 447 478 522  0.0000
1703754346.5012 491 501 451 436 457 459 473 483  0.0000
1703754346.5091 468 505 449 432 465 440 451 488  0.0000
1703754346.5169 485 512 464 454 473 457 458 516  0.0000
1703754346.5251 498 505 445 427 449 435 443 471  0.0000
1703754346.5329 471 512 453 430 435 425 426 454  0.0000
1703754346.5409 504 514 453 427 449 442 448 491  0.0000
1703754346.5489 514 514 466 432 455 457 466 494  0.0000
1703754346.5569 524 480 423 427 455 422 436 477  0.0000
1703754346.5647 524 507 453 430 461 418 446 491  0.0000
1703754346.5729 544 496 445 445 471 444 463 508  0.0000
1703754346.5807 561 505 436 425 449 435 441 491  0.0000
1703754346.5888 541 501 432 421 451 432 438 468  0.0000
1703754346.5968 570 517 453 427 457 452 458 497  0.0000
1703754346.6046 564 507 445 425 449 415 446 502  0.0000
1703754346.6126 584 507 443 425 457 427 456 497  0.0000
1703754346.6207 577 507 447 421 447 425 436 468  0.0000
1703754346.6287 613 505 445 439 463 454 481 491  0.0000
1703754346.6366 587 505 445 427 445 422 448 468  0.0000
1703754346.6456 574 496 436 421 447 444 466 468  0.0000
1703754346.6534 600 510 451 434 445 435 438 468  0.0000
1703754346.6613 584 498 443 425 435 427 451 480  0.0000
1703754346.6695 597 514 430 414 447 422 423 468  0.0000
1703754346.6776 620 514 434 430 457 454 468 494  0.0000
1703754346.6854 627 535 449 427 451 427 448 497  0.0000
1703754346.6934 590 519 449 436 439 420 443 491  0.0000
1703754346.7013 584 521 449 447 461 449 453 497  0.0000
1703754346.7091 617 523 458 443 467 444 468 502  0.0000
1703754346.7171 580 505 432 414 453 420 451 477  0.0000
1703754346.7254 590 503 443 407 437 422 441 460  0.0000
1703754346.7333 620 528 458 445 453 440 456 474  0.0000
1703754346.7413 617 514 451 430 451 432 431 480  0.0000
1703754346.7491 574 496 432 412 445 422 433 480  0.0000
1703754346.7570 613 533 451 430 453 425 438 491  0.0000
1703754346.7651 613 521 451 441 451 444 458 494  0.0000
1703754346.7733 603 517 438 419 443 422 423 457  0.0000
1703754346.7812 570 501 449 430 445 415 453 497  0.0000
1703754346.7892 610 530 464 445 469 449 461 485  0.0000
1703754346.7971 613 510 436 430 441 435 443 474  0.0000
1703754346.8049 561 501 443 412 429 422 428 451  0.0000
1703754346.8131 610 526 453 436 471 452 458 511  0.0000
1703754346.8211 636 526 447 434 443 440 458 494  0.0000
1703754346.8289 587 492 434 416 435 408 438 471  0.0000
1703754346.8370 597 514 466 447 463 432 458 491  0.0000
1703754346.8449 610 521 436 443 463 442 451 500  0.0000
1703754346.8527 594 510 445 427 451 415 436 468  0.0000
1703754346.8609 577 505 432 432 451 444 463 485  0.0000
1703754346.8689 613 539 479 443 469 457 463 491  0.0000
1703754346.8767 577 503 443 410 437 413 451 497  0.0000
1703754346.8847 620 530 445 439 445 415 451 485  0.0000
1703754346.8927 594 517 449 427 451 432 456 508  0.0000
1703754346.9007 597 523 464 441 449 447 461 485  0.0000
1703754346.9087 594 505 441 423 433 400 433 477  0.0000
1703754346.9176 594 512 453 434 455 442 461 502  0.0000
1703754346.9256 587 505 436 427 451 442 451 497  0.0000
1703754346.9326 590 512 445 427 445 437 443 485  0.0000
1703754346.9415 584 526 430 407 441 425 451 480  0.0000
1703754346.9486 623 539 447 439 471 457 461 514  0.0000
1703754346.9566 603 519 443 430 449 420 433 474  0.0000
1703754346.9651 567 503 441 425 457 444 443 477  0.0000
1703754346.9731 610 523 441 423 443 422 438 488  0.0000
1703754346.9811 597 519 458 434 449 440 463 500  0.0000
1703754346.9892 577 512 432 419 441 415 438 477  0.0000
1703754346.9970 574 514 456 425 449 435 446 474  0.0000
1703754347.0050 640 533 468 450 463 459 453 485  0.0000
1703754347.0129 600 523 430 416 449 425 443 480  0.0000
1703754347.0209 594 521 428 421 441 427 436 477  0.0000
1703754347.0288 620 539 460 434 459 452 476 511  0.0000
1703754347.0368 627 523 447 425 449 449 458 488  0.0000
1703754347.0447 577 507 430 412 435 415 423 457  0.0000
1703754347.0527 620 537 458 441 467 440 441 474  0.0000
1703754347.0608 610 517 464 441 457 462 471 483  0.0000
1703754347.0690 590 507 441 425 433 430 441 457  0.0000
1703754347.0771 580 498 434 427 451 427 458 483  0.0000
1703754347.0853 617 530 464 447 475 466 468 497  0.0000
1703754347.0932 577 507 449 423 433 408 436 483  0.0000
1703754347.1012 567 498 443 421 443 415 428 474  0.0000
1703754347.1090 603 514 447 432 461 457 458 511  0.0000
1703754347.1170 590 510 456 436 451 422 451 474  0.0000
1703754347.1253 570 512 445 410 435 420 441 457  0.0000
