% Edge sensor logfile normalized 'log_20231228_103218.821/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703755938.9043 0 0 0 0 0 0 0 0  0.0000
1703755938.9114 372 451 391 381 407 369 369 395  0.0000
1703755938.9198 412 478 421 403 405 364 381 420  0.0000
1703755938.9276 346 451 404 365 371 352 374 389  0.0000
1703755938.9360 405 478 415 401 405 383 391 409  0.0000
1703755938.9434 402 451 413 383 391 378 376 395  0.0000
1703755938.9513 389 466 413 383 399 376 394 432  0.0000
1703755938.9603 382 473 402 370 385 366 376 384  0.0000
1703755938.9675 438 473 417 410 411 388 401 423  0.0000
1703755938.9762 409 464 398 368 381 354 376 403  0.0000
1703755938.9834 392 451 391 383 399 371 381 415  0.0000
1703755938.9917 415 489 404 388 405 383 361 432  0.0000
1703755938.9993 422 482 411 396 423 386 371 409  0.0000
1703755939.0080 389 457 398 354 383 359 349 355  0.0000
1703755939.0157 399 469 402 376 389 364 384 415  0.0000
1703755939.0235 419 489 404 363 401 339 354 381  0.0000
1703755939.0315 409 476 394 414 399 339 374 423  0.0000
1703755939.0393 386 464 404 376 389 337 374 415  0.0000
1703755939.0473 405 469 404 394 405 386 396 415  0.0000
1703755939.0553 392 485 415 383 381 356 339 389  0.0000
1703755939.0633 382 446 383 328 377 325 374 418  0.0000
1703755939.0713 402 482 419 376 411 386 399 432  0.0000
1703755939.0794 422 487 398 388 397 383 391 423  0.0000
1703755939.0873 399 480 419 350 391 366 369 403  0.0000
1703755939.0953 353 448 406 356 393 364 396 415  0.0000
1703755939.1033 419 496 415 390 405 398 416 471  0.0000
1703755939.1113 372 457 396 354 387 381 406 451  0.0000
1703755939.1193 389 466 406 354 371 359 399 437  0.0000
1703755939.1282 392 469 421 388 399 388 418 454  0.0000
1703755939.1362 409 496 413 372 391 378 408 426  0.0000
1703755939.1442 399 471 411 379 369 337 381 426  0.0000
1703755939.1522 415 496 423 381 399 393 408 446  0.0000
1703755939.1603 442 501 438 414 403 383 423 463  0.0000
1703755939.1683 425 487 438 394 393 354 408 471  0.0000
1703755939.1761 458 514 460 410 405 374 403 454  0.0000
1703755939.1840 471 558 494 432 427 400 413 468  0.0000
1703755939.1922 462 546 507 423 405 352 396 460  0.0000
1703755939.1994 462 564 548 421 413 352 403 451  0.0000
1703755939.2074 488 615 584 447 423 381 408 451  0.0000
1703755939.2154 468 662 655 487 423 378 403 460  0.0000
1703755939.2243 491 685 670 496 405 352 394 451  0.0000
1703755939.2321 521 735 743 529 433 378 421 460  0.0263
1703755939.2403 551 792 828 574 423 396 428 488  0.0364
1703755939.2482 561 831 871 614 431 364 418 454  0.0415
1703755939.2553 561 863 929 662 431 391 431 466  0.0462
1703755939.2633 584 897 982 678 445 398 433 485  0.0493
1703755939.2723 567 876 989 680 423 371 411 471  0.0483
1703755939.2803 557 892 997 667 419 369 381 440  0.0477
1703755939.2876 590 908 1000 700 433 391 411 460  0.0512
1703755939.2955 580 902 997 671 421 386 401 449  0.0490
1703755939.3035 580 883 1000 696 425 378 403 435  0.0500
1703755939.3117 577 895 1000 694 423 391 416 443  0.0500
1703755939.3195 607 908 1000 718 435 405 421 443  0.0531
1703755939.3277 570 883 1000 707 435 374 413 435  0.0503
1703755939.3357 580 870 1000 720 429 374 416 420  0.0512
1703755939.3435 580 883 1000 753 467 393 438 502  0.0538
1703755939.3514 587 892 1000 767 473 378 413 468  0.0551
1703755939.3597 534 851 1000 762 469 383 406 437  0.0518
1703755939.3676 537 845 1000 813 510 415 421 457  0.0548
1703755939.3757 521 840 1000 831 522 422 441 471  0.0552
1703755939.3839 478 799 1000 853 534 400 421 437  0.0538
1703755939.3918 481 765 1000 869 546 398 413 437  0.0531
1703755939.3996 514 742 1000 926 588 432 448 494  0.0550
1703755939.4077 475 694 963 924 616 398 413 471  0.0522
