% Edge sensor logfile normalized 'log_20231228_095819.400/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703753899.4813 0 0 0 0 0 0 0 0  0.0000
1703753899.4887 257 391 387 392 397 378 399 395  0.0000
1703753899.4971 287 412 398 394 405 391 391 426  0.0000
1703753899.5045 310 410 415 412 423 422 421 474  0.0000
1703753899.5127 300 416 408 403 417 408 406 454  0.0000
1703753899.5209 280 425 413 388 417 410 396 401  0.0000
1703753899.5288 310 410 415 401 423 415 416 466  0.0000
1703753899.5372 320 444 415 399 419 413 421 463  0.0000
1703753899.5444 290 423 396 388 419 408 396 471  0.0000
1703753899.5531 273 412 406 392 407 418 413 440  0.0000
1703753899.5613 300 419 430 410 431 425 433 477  0.0000
1703753899.5685 297 416 404 376 395 400 416 423  0.0000
1703753899.5762 273 416 406 379 395 410 413 440  0.0000
1703753899.5852 323 439 408 399 411 432 428 468  0.0000
1703753899.5932 267 423 406 392 409 427 446 449  0.0000
1703753899.6011 333 439 428 394 413 427 421 449  0.0000
1703753899.6094 303 441 428 405 419 418 438 460  0.0000
1703753899.6164 316 453 441 421 427 457 453 468  0.0000
1703753899.6246 330 453 441 405 403 432 468 471  0.0000
1703753899.6324 330 439 441 412 425 447 468 516  0.0000
1703753899.6404 330 444 441 423 421 418 473 511  0.0000
1703753899.6483 356 455 441 412 423 440 476 488  0.0000
1703753899.6571 323 425 434 396 403 405 471 502  0.0000
1703753899.6644 359 460 456 441 437 442 476 522  0.0000
1703753899.6725 376 451 460 439 425 457 481 508  0.0000
1703753899.6803 349 460 471 445 443 447 473 491  0.0000
1703753899.6886 330 446 451 423 423 449 496 519  0.0000
1703753899.6967 405 482 481 470 457 464 496 516  0.0000
1703753899.7044 386 462 456 430 435 464 483 516  0.0000
1703753899.7128 369 451 464 439 431 452 483 508  0.0000
1703753899.7208 415 464 460 456 459 476 501 531  0.0000
1703753899.7286 452 494 471 456 449 479 516 533  0.0000
1703753899.7367 382 462 449 443 451 447 461 505  0.0000
1703753899.7447 386 485 453 456 467 476 498 528  0.0000
1703753899.7524 419 498 473 463 473 484 518 559  0.0000
1703753899.7606 386 455 451 445 463 481 511 533  0.0000
1703753899.7685 386 460 443 430 461 459 488 533  0.0000
1703753899.7773 389 480 473 452 489 493 496 567  0.0000
1703753899.7845 409 457 449 454 477 501 523 548  0.0000
1703753899.7925 379 446 438 443 461 474 498 531  0.0000
1703753899.8004 412 482 466 465 479 491 498 545  0.0000
1703753899.8084 419 489 449 450 489 511 516 553  0.0000
1703753899.8164 422 478 462 454 479 486 483 525  0.0000
1703753899.8251 438 473 451 454 489 496 488 528  0.0000
1703753899.8333 448 496 464 465 495 508 496 567  0.0000
1703753899.8403 422 478 432 439 479 498 478 519  0.0000
1703753899.8493 409 478 441 439 467 474 478 516  0.0000
1703753899.8573 442 478 462 456 481 498 483 525  0.0000
1703753899.8653 425 471 438 419 471 469 471 516  0.0000
1703753899.8730 399 462 441 443 471 462 458 519  0.0000
1703753899.8810 435 478 436 445 481 484 503 533  0.0000
1703753899.8893 445 489 471 461 479 481 496 567  0.0000
1703753899.8971 432 480 443 434 483 486 473 556  0.0000
1703753899.9051 399 480 456 450 475 484 483 545  0.0000
1703753899.9132 452 492 456 481 491 486 493 567  0.0000
1703753899.9209 399 480 445 441 469 457 476 516  0.0000
1703753899.9288 435 478 421 436 467 462 458 519  0.0000
1703753899.9372 429 482 453 447 479 462 463 539  0.0000
1703753899.9449 442 501 460 461 489 479 483 550  0.0000
1703753899.9530 412 471 428 432 469 454 471 511  0.0000
1703753899.9611 425 476 434 443 489 486 478 542  0.0000
1703753899.9688 458 485 456 467 479 466 496 519  0.0000
1703753899.9768 425 473 436 439 467 469 496 550  0.0000
1703753899.9852 415 464 426 436 457 471 493 542  0.0000
1703753899.9929 432 482 451 467 483 486 526 570  0.0000
1703753900.0008 442 471 447 458 463 481 496 531  0.0000
1703753900.0090 409 460 423 419 453 481 498 531  0.0000
1703753900.0167 419 464 449 443 465 496 516 545  0.0000
1703753900.0249 422 487 462 458 493 523 528 550  0.0000
1703753900.0330 379 457 449 430 459 486 508 522  0.0000
1703753900.0407 396 460 436 423 473 506 536 584  0.0000
1703753900.0487 399 466 449 436 475 525 548 562  0.0000
1703753900.0567 389 478 462 441 487 513 528 539  0.0000
1703753900.0645 379 473 460 436 465 486 506 536  0.0000
1703753900.0727 386 464 456 454 477 508 523 553  0.0000
1703753900.0807 402 478 456 430 465 508 521 516  0.0000
1703753900.0886 379 476 449 441 469 486 511 531  0.0000
1703753900.0966 389 460 447 439 471 506 496 536  0.0000
1703753900.1046 422 485 453 452 483 528 538 553  0.0000
1703753900.1133 409 471 447 430 477 518 513 525  0.0000
1703753900.1206 379 462 441 434 473 506 513 553  0.0000
1703753900.1285 396 451 445 463 485 501 526 562  0.0000
1703753900.1364 409 457 441 450 471 491 511 556  0.0000
1703753900.1444 405 439 443 450 469 493 503 548  0.0000
1703753900.1524 412 464 453 474 491 503 538 576  0.0000
1703753900.1603 399 469 458 458 485 486 513 542  0.0000
1703753900.1683 412 455 430 443 485 471 521 567  0.0000
1703753900.1764 399 457 438 454 491 501 536 567  0.0000
1703753900.1853 438 473 456 461 495 496 516 598  0.0000
1703753900.1923 389 455 445 465 483 471 511 573  0.0000
1703753900.2003 409 473 443 452 477 471 506 593  0.0000
1703753900.2092 425 476 456 478 491 484 528 621  0.0000
1703753900.2172 429 480 451 470 489 488 523 627  0.0000
1703753900.2252 382 451 434 467 471 457 526 646  0.0000
1703753900.2332 409 469 451 472 497 471 536 658  0.0000
1703753900.2412 438 471 456 490 497 481 546 717  0.0019
1703753900.2483 399 453 451 465 489 452 536 720  0.0021
1703753900.2571 405 457 447 467 493 484 568 779  0.0072
1703753900.2650 435 482 468 481 508 498 571 824  0.0095
1703753900.2730 412 446 438 461 491 496 591 841  0.0109
1703753900.2808 412 457 449 463 477 452 573 850  0.0104
1703753900.2890 422 480 453 474 500 513 635 895  0.0145
1703753900.2972 429 482 479 478 500 493 640 932  0.0153
1703753900.3049 419 460 441 450 479 476 648 918  0.0156
1703753900.3129 415 480 464 472 510 501 690 983  0.0186
1703753900.3209 438 487 453 463 491 523 723 1000  0.0215
1703753900.3286 415 487 460 470 508 513 720 1000  0.0211
1703753900.3367 419 485 449 456 493 515 758 1000  0.0239
1703753900.3444 452 503 486 474 518 574 807 1000  0.0281
1703753900.3532 429 478 436 461 493 555 810 1000  0.0276
1703753900.3612 429 487 449 443 518 599 832 1000  0.0302
1703753900.3692 442 480 449 458 522 640 890 1000  0.0339
1703753900.3769 432 498 460 465 540 696 947 1000  0.0383
1703753900.3852 432 485 466 463 528 711 952 1000  0.0397
1703753900.3932 438 492 462 481 582 799 990 1000  0.0474
1703753900.4011 442 503 481 474 590 831 1000 1000  0.0491
1703753900.4091 419 485 458 492 642 899 1000 1000  0.0535
1703753900.4171 432 496 466 496 656 914 1000 1000  0.0546
1703753900.4248 445 523 494 532 740 982 1000 1000  0.0616
1703753900.4331 442 496 479 554 779 992 1000 988  0.0646
1703753900.4411 442 494 481 605 851 1000 1000 1000  0.0697
1703753900.4488 458 503 494 647 915 1000 1000 954  0.0733
1703753900.4569 452 514 524 705 961 1000 1000 909  0.0777
1703753900.4650 435 503 546 742 965 1000 982 830  0.0813
1703753900.4727 412 505 601 815 1000 1000 947 816  0.0875
1703753900.4809 465 567 689 886 1000 1000 925 751  0.0954
1703753900.4891 438 592 747 933 1000 1000 865 680  0.1002
1703753900.4968 455 630 824 975 1000 968 785 615  0.0991
1703753900.5048 488 710 912 1000 1000 990 783 621  0.1072
1703753900.5129 521 769 970 1000 1000 938 720 562  0.1042
1703753900.5208 488 785 976 1000 985 887 660 531  0.0985
1703753900.5289 570 847 1000 1000 983 850 660 528  0.1026
1703753900.5370 620 902 1000 1000 959 821 605 525  0.1018
1703753900.5447 663 915 1000 1000 913 743 556 519  0.0980
1703753900.5527 749 956 1000 986 881 689 543 516  0.0953
1703753900.5607 831 1000 1000 1000 867 684 566 550  0.0947
1703753900.5687 854 1000 1000 955 797 589 521 525  0.0861
1703753900.5767 914 1000 1000 949 755 552 508 519  0.0824
1703753900.5848 963 1000 1000 946 726 557 533 531  0.0801
1703753900.5925 1000 1000 1000 913 682 542 513 528  0.0756
1703753900.6005 1000 1000 1000 869 646 491 503 519  0.0725
1703753900.6087 1000 1000 1000 869 620 498 506 536  0.0709
1703753900.6164 1000 1000 1000 838 606 503 511 516  0.0693
1703753900.6245 1000 1000 982 804 572 498 511 516  0.0665
1703753900.6326 1000 1000 959 758 530 486 503 500  0.0628
1703753900.6414 1000 1000 946 727 538 511 518 525  0.0606
1703753900.6483 1000 1000 910 674 518 474 493 514  0.0557
1703753900.6565 1000 970 852 625 493 469 498 494  0.0515
1703753900.6653 1000 988 854 607 495 488 511 505  0.0506
1703753900.6733 1000 947 777 547 469 469 496 511  0.0450
1703753900.6803 1000 961 751 534 485 466 488 511  0.0431
1703753900.6892 1000 920 706 505 469 474 508 522  0.0391
1703753900.6972 1000 922 721 538 502 479 501 545  0.0408
1703753900.7044 1000 904 659 492 481 466 491 494  0.0353
1703753900.7131 1000 886 648 483 473 454 488 483  0.0344
1703753900.7211 1000 886 627 485 473 496 501 536  0.0331
1703753900.7291 1000 856 616 492 489 452 493 494  0.0318
1703753900.7371 1000 838 586 463 447 422 471 480  0.0298
1703753900.7453 1000 863 576 456 481 457 481 497  0.0302
1703753900.7532 1000 849 586 461 481 454 463 494  0.0302
1703753900.7609 1000 829 548 458 469 447 436 483  0.0281
1703753900.7689 1000 820 541 441 447 400 431 454  0.0276
1703753900.7769 1000 856 563 474 493 444 446 500  0.0296
1703753900.7848 1000 820 537 439 459 435 426 440  0.0275
1703753900.7931 1000 820 550 414 445 415 418 460  0.0279
1703753900.8010 1000 838 543 452 457 422 451 505  0.0283
1703753900.8087 1000 842 554 441 459 437 443 460  0.0288
1703753900.8167 1000 831 541 427 433 410 416 451  0.0280
1703753900.8248 1000 861 556 425 455 408 436 500  0.0295
1703753900.8326 1000 872 569 454 465 413 438 494  0.0302
1703753900.8408 1000 851 576 423 435 400 421 446  0.0299
1703753900.8489 993 865 558 427 427 396 411 468  0.0297
1703753900.8566 1000 879 588 421 433 403 418 451  0.0311
1703753900.8646 1000 888 599 416 437 383 403 485  0.0318
1703753900.8726 983 892 614 416 437 383 389 435  0.0326
1703753900.8805 1000 943 642 439 431 386 408 449  0.0349
1703753900.8886 1000 954 670 439 449 413 411 440  0.0365
1703753900.8966 986 956 663 441 437 393 411 451  0.0361
1703753900.9045 983 968 698 443 451 420 403 435  0.0384
1703753900.9125 973 1000 745 476 463 425 426 460  0.0418
1703753900.9205 894 986 723 445 441 396 396 426  0.0402
1703753900.9283 841 993 773 470 437 400 396 432  0.0432
