% Edge sensor logfile log_20240202_162221.774/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 0 0 0 0 0 0 0 0
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1706887342.5191 0 0.000 0.000 0.0000
1706887342.5277 0 0.000 0.000 0.0000
1706887342.5353 0 0.000 0.000 0.0000
1706887342.5431 0 0.000 0.000 0.0000
1706887342.5519 0 0.000 0.000 0.0000
1706887342.5595 0 0.000 0.000 0.0000
1706887342.5674 0 0.000 0.000 0.0000
1706887342.5752 0 0.000 0.000 0.0000
1706887342.5835 0 0.000 0.000 0.0000
1706887342.5912 0 0.000 0.000 0.0000
1706887342.5991 0 0.000 0.000 0.0000
1706887342.6068 0 0.000 0.000 0.0000
1706887342.6156 0 0.000 0.000 0.0000
1706887342.6234 0 0.000 0.000 0.0000
1706887342.6317 0 0.000 0.000 0.0000
1706887342.6394 0 0.000 0.000 0.0000
1706887342.6473 0 0.000 0.000 0.0000
1706887342.6550 0 0.000 0.000 0.0000
1706887342.6629 0 0.000 0.000 0.0000
1706887342.6718 0 0.000 0.000 0.0000
1706887342.6790 0 0.000 0.000 0.0000
1706887342.6868 0 0.000 0.000 0.0000
1706887342.6957 0 0.000 0.000 0.0000
1706887342.7033 0 0.000 0.000 0.0000
1706887342.7111 0 0.000 0.000 0.0000
1706887342.7190 0 0.000 0.000 0.0000
1706887342.7273 0 0.000 0.000 0.0000
1706887342.7352 0 0.000 0.000 0.0000
1706887342.7431 0 0.000 0.000 0.0000
1706887342.7508 0 0.000 0.000 0.0000
1706887342.7597 0 0.000 0.000 0.0000
1706887342.7674 0 0.000 0.000 0.0000
1706887342.7749 0 0.000 0.000 0.0000
1706887342.7835 0 0.000 0.000 0.0000
1706887342.7913 0 0.000 0.000 0.0000
1706887342.7990 0 0.000 0.000 0.0000
1706887342.8069 0 0.000 0.000 0.0000
1706887342.8167 0 0.000 0.000 0.0000
1706887342.8232 0 0.000 0.000 0.0000
1706887342.8317 0 0.000 0.000 0.0000
1706887342.8392 0 0.000 0.000 0.0000
1706887342.8469 0 0.000 0.000 0.0000
1706887342.8548 0 0.000 0.000 0.0000
1706887342.8635 0 0.000 0.000 0.0000
1706887342.8711 0 0.000 0.000 0.0000
1706887342.8797 0 0.000 0.000 0.0000
1706887342.8874 0 0.000 0.000 0.0000
1706887342.8951 0 0.000 0.000 0.0000
1706887342.9029 0 0.000 0.000 0.0000
1706887342.9116 0 0.000 0.000 0.0000
1706887342.9193 0 0.000 0.000 0.0000
1706887342.9268 0 0.000 0.000 0.0000
1706887342.9356 0 0.000 0.000 0.0000
1706887342.9432 0 0.000 0.000 0.0000
1706887342.9509 0 0.000 0.000 0.0000
1706887342.9598 0 0.000 0.000 0.0000
1706887342.9674 0 0.000 0.000 0.0000
1706887342.9753 0 0.000 0.000 0.0000
1706887342.9838 0 0.000 0.000 0.0000
1706887342.9914 0 0.000 0.000 0.0000
1706887342.9991 0 0.000 0.000 0.0000
1706887343.0069 0 0.000 0.000 0.0000
1706887343.0157 0 0.000 0.000 0.0000
1706887343.0235 0 0.000 0.000 0.0000
1706887343.0310 0 0.000 0.000 0.0000
1706887343.0397 0 0.000 0.000 0.0000
1706887343.0473 0 0.000 0.000 0.0000
1706887343.0551 0 0.000 0.000 0.0000
1706887343.0628 0 0.000 0.000 0.0000
1706887343.0717 0 0.000 0.000 0.0000
1706887343.0791 0 0.000 0.000 0.0000
1706887343.0876 0 0.000 0.000 0.0000
1706887343.0954 0 0.000 0.000 0.0000
1706887343.1033 0 0.000 0.000 0.0000
1706887343.1110 0 0.000 0.000 0.0000
1706887343.1190 0 0.000 0.000 0.0000
1706887343.1275 0 0.000 0.000 0.0000
1706887343.1350 0 0.000 0.000 0.0000
1706887343.1428 0 0.000 0.000 0.0000
1706887343.1517 0 0.000 0.000 0.0000
1706887343.1593 0 0.000 0.000 0.0000
1706887343.1673 0 0.000 0.000 0.0000
1706887343.1763 0 0.000 0.000 0.0000
1706887343.1835 0 0.000 0.000 0.0000
1706887343.1915 0 0.000 0.000 0.0000
1706887343.1993 0 0.000 0.000 0.0000
1706887343.2070 0 0.000 0.000 0.0000
1706887343.2149 0 0.000 0.000 0.0000
1706887343.2236 0 0.000 0.000 0.0000
1706887343.2309 0 0.000 0.000 0.0000
1706887343.2387 0 0.000 0.000 0.0000
1706887343.2477 0 0.000 0.000 0.0000
1706887343.2553 0 0.000 0.000 0.0000
1706887343.2632 0 0.000 0.000 0.0000
1706887343.2718 0 0.000 0.000 0.0000
1706887343.2790 0 0.000 0.000 0.0000
1706887343.2870 0 0.000 0.000 0.0000
1706887343.2949 0 0.000 0.000 0.0000
1706887343.3036 0 0.000 0.000 0.0000
1706887343.3113 0 0.000 0.000 0.0000
1706887343.3192 0 0.000 0.000 0.0000
1706887343.3275 0 0.000 0.000 0.0000
1706887343.3350 0 0.000 0.000 0.0000
1706887343.3429 0 0.000 0.000 0.0000
1706887343.3516 0 0.000 0.000 0.0000
1706887343.3593 0 0.000 0.000 0.0000
1706887343.3672 0 0.000 0.000 0.0000
1706887343.3749 0 0.000 0.000 0.0000
1706887343.3834 0 0.000 0.000 0.0000
1706887343.3912 0 0.000 0.000 0.0000
1706887343.3989 0 0.000 0.000 0.0000
1706887343.4077 0 0.000 0.000 0.0000
1706887343.4154 0 0.000 0.000 0.0000
1706887343.4231 0 0.000 0.000 0.0000
1706887343.4316 0 0.000 0.000 0.0000
1706887343.4395 0 0.000 0.000 0.0000
1706887343.4469 0 0.000 0.000 0.0000
1706887343.4547 0 0.000 0.000 0.0000
1706887343.4635 0 0.000 0.000 0.0000
1706887343.4712 0 0.000 0.000 0.0000
1706887343.4797 0 0.000 0.000 0.0000
1706887343.4874 0 0.000 0.000 0.0000
1706887343.4949 0 0.000 0.000 0.0000
1706887343.5027 0 0.000 0.000 0.0000
1706887343.5115 0 0.000 0.000 0.0000
1706887343.5192 0 0.000 0.000 0.0000
1706887343.5268 0 0.000 0.000 0.0000
1706887343.5364 0 0.000 0.000 0.0000
1706887343.5430 0 0.000 0.000 0.0000
1706887343.5509 0 0.000 0.000 0.0000
1706887343.5597 0 0.000 0.000 0.0000
1706887343.5673 0 0.000 0.000 0.0000
1706887343.5752 0 0.000 0.000 0.0000
1706887343.5834 0 0.000 0.000 0.0000
1706887343.5910 0 0.000 0.000 0.0000
1706887343.5989 0 0.000 0.000 0.0000
1706887343.6078 0 0.000 0.000 0.0000
1706887343.6154 0 0.000 0.000 0.0000
1706887343.6232 0 0.000 0.000 0.0000
1706887343.6314 0 0.000 0.000 0.0000
1706887343.6391 0 0.000 0.000 0.0000
1706887343.6471 0 0.000 0.000 0.0000
1706887343.6550 0 0.000 0.000 0.0000
1706887343.6637 0 0.000 0.000 0.0000
1706887343.6713 0 0.000 0.000 0.0000
1706887343.6798 0 0.000 0.000 0.0000
1706887343.6875 0 0.000 0.000 0.0000
1706887343.6954 0 0.000 0.000 0.0000
1706887343.7032 0 0.000 0.000 0.0000
1706887343.7109 0 0.000 0.000 0.0000
1706887343.7197 0 0.000 0.000 0.0000
1706887343.7282 0 0.000 0.000 0.0000
1706887343.7348 0 0.000 0.000 0.0000
1706887343.7437 0 0.000 0.000 0.0000
1706887343.7515 0 0.000 0.000 0.0000
1706887343.7592 0 0.000 0.000 0.0000
1706887343.7668 0 0.000 0.000 0.0000
1706887343.7757 0 0.000 0.000 0.0000
1706887343.7829 0 0.000 0.000 0.0000
1706887343.7907 0 0.000 0.000 0.0000
1706887343.7995 0 0.000 0.000 0.0000
1706887343.8069 0 0.000 0.000 0.0000
1706887343.8147 0 0.000 0.000 0.0000
1706887343.8235 0 0.000 0.000 0.0000
1706887343.8308 0 0.000 0.000 0.0000
1706887343.8393 0 0.000 0.000 0.0000
1706887343.8472 0 0.000 0.000 0.0000
1706887343.8550 0 0.000 0.000 0.0000
1706887343.8628 0 0.000 0.000 0.0000
1706887343.8716 0 0.000 0.000 0.0000
1706887343.8788 0 0.000 0.000 0.0000
1706887343.8878 0 0.000 0.000 0.0000
1706887343.8955 0 0.000 0.000 0.0000
1706887343.9030 0 0.000 0.000 0.0000
1706887343.9108 0 0.000 0.000 0.0000
