% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1706887342.1713 0 0 0 0
1706887342.1789 0 0 0 0
1706887342.1861 0 4294967295 0 -1
1706887342.1949 4294967295 4294967295 -1 0
1706887342.2020 4294967295 4294967295 0 0
1706887342.2102 0 4294967295 1 0
1706887342.2189 0 4294967295 0 0
1706887342.2266 0 4294967295 0 0
1706887342.2346 0 4294967295 0 0
1706887342.2423 0 4294967295 0 0
1706887342.2507 0 4294967295 0 0
1706887342.2582 0 4294967295 0 0
1706887342.2661 0 4294967295 0 0
1706887342.2747 0 4294967295 0 0
1706887342.2824 0 4294967295 0 0
1706887342.2902 0 0 0 1
1706887342.2984 3 2 3 2
1706887342.3066 5 6 2 4
1706887342.3143 8 7 3 1
1706887342.3224 11 8 3 1
1706887342.3304 14 11 3 3
1706887342.3379 17 14 3 3
1706887342.3462 20 16 3 2
1706887342.3544 24 21 4 5
1706887342.3622 30 25 6 4
1706887342.3703 35 28 5 3
1706887342.3781 40 35 5 7
1706887342.3859 47 41 7 6
1706887342.3941 54 47 7 6
1706887342.4024 60 53 6 6
1706887342.4110 67 60 7 7
1706887342.4182 74 67 7 7
1706887342.4271 81 74 7 7
1706887342.4339 87 81 6 7
1706887342.4422 94 88 7 7
1706887342.4504 101 95 7 7
1706887342.4580 107 102 6 7
1706887342.4663 115 110 8 8
1706887342.4747 122 116 7 6
1706887342.4821 129 124 7 8
1706887342.4905 135 132 6 8
1706887342.4987 142 138 7 6
1706887342.5064 150 144 8 6
1706887342.5147 158 151 8 7
1706887342.5219 164 160 6 9
1706887342.5305 170 167 6 7
1706887342.5387 177 172 7 5
1706887342.5468 185 179 8 7
1706887342.5547 192 187 7 8
1706887342.5630 197 193 5 6
1706887342.5702 203 199 6 6
1706887342.5787 211 206 8 7
1706887342.5859 218 213 7 7
1706887342.5940 224 220 6 7
1706887342.6019 229 226 5 6
1706887342.6102 236 234 7 8
1706887342.6184 244 241 8 7
1706887342.6269 251 247 7 6
1706887342.6341 257 254 6 7
1706887342.6422 263 261 6 7
1706887342.6501 270 267 7 6
1706887342.6585 277 274 7 7
1706887342.6668 284 281 7 7
1706887342.6746 290 288 6 7
1706887342.6823 297 295 7 7
1706887342.6907 304 302 7 7
1706887342.6985 310 308 6 6
1706887342.7067 317 315 7 7
1706887342.7139 324 323 7 8
1706887342.7219 331 329 7 6
1706887342.7307 337 334 6 5
1706887342.7380 343 341 6 7
1706887342.7459 351 349 8 8
1706887342.7542 358 356 7 7
1706887342.7625 364 361 6 5
1706887342.7700 370 368 6 7
1706887342.7780 378 376 8 8
1706887342.7863 385 382 7 6
1706887342.7942 391 387 6 5
1706887342.8025 398 394 7 7
1706887342.8108 405 402 7 8
1706887342.8184 412 409 7 7
1706887342.8273 418 415 6 6
1706887342.8342 424 422 6 7
1706887342.8420 432 430 8 8
1706887342.8504 438 436 6 6
1706887342.8587 444 441 6 5
1706887342.8663 451 448 7 7
1706887342.8746 459 456 8 8
1706887342.8824 466 463 7 7
1706887342.8903 472 468 6 5
1706887342.8985 478 474 6 6
1706887342.9066 485 484 7 10
1706887342.9144 494 491 9 7
1706887342.9227 501 497 7 6
1706887342.9306 506 503 5 6
1706887342.9384 512 511 6 8
1706887342.9467 520 519 8 8
1706887342.9548 528 525 8 6
1706887342.9626 535 531 7 6
1706887342.9708 540 537 5 6
1706887342.9788 546 545 6 8
1706887342.9866 553 552 7 7
1706887342.9948 561 557 8 5
1706887343.0019 569 563 8 6
1706887343.0108 574 570 5 7
1706887343.0180 579 578 5 8
1706887343.0270 585 584 6 6
1706887343.0349 594 590 9 6
1706887343.0428 603 597 9 7
1706887343.0501 609 605 6 8
1706887343.0580 614 613 5 8
1706887343.0662 620 618 6 5
1706887343.0744 629 623 9 5
1706887343.0819 637 630 8 7
1706887343.0899 643 639 6 9
1706887343.0982 648 645 5 6
1706887343.1062 654 650 6 5
1706887343.1145 662 656 8 6
1706887343.1229 670 665 8 9
1706887343.1301 676 673 6 8
1706887343.1384 681 677 5 4
1706887343.1466 686 682 5 5
1706887343.1544 694 689 8 7
1706887343.1628 702 698 8 9
1706887343.1702 709 705 7 7
1706887343.1787 715 711 6 6
1706887343.1860 720 717 5 6
1706887343.1944 727 724 7 7
1706887343.2022 735 732 8 8
1706887343.2104 742 739 7 7
1706887343.2187 748 744 6 5
1706887343.2270 754 751 6 7
1706887343.2343 761 758 7 7
