% Edge sensor logfile normalized 'log_20240202_162221.774/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887342.1757 0 0 0 0 0 0 0 0  0.0000
1706887342.1840 194 228 255 267 252 260 254 212  0.0000
1706887342.1910 196 234 263 288 278 277 252 200  0.0000
1706887342.1986 209 264 272 284 259 262 241 201  0.0000
1706887342.2063 209 248 259 271 255 258 245 206  0.0000
1706887342.2151 203 240 258 274 258 263 250 201  0.0000
1706887342.2226 202 242 257 272 258 270 248 203  0.0000
1706887342.2307 196 237 255 268 255 262 247 198  0.0000
1706887342.2395 202 238 261 275 259 262 242 196  0.0000
1706887342.2471 200 243 258 272 253 251 236 197  0.0000
1706887342.2553 203 241 260 270 255 260 247 201  0.0000
1706887342.2632 198 234 253 268 253 268 246 207  0.0000
1706887342.2711 203 233 257 271 253 256 243 206  0.0000
1706887342.2796 207 239 256 272 257 272 254 205  0.0000
1706887342.2874 199 233 255 274 253 263 245 199  0.0000
1706887342.2949 199 250 258 264 250 268 245 195  0.0000
1706887342.3027 205 247 253 267 250 266 257 208  0.0000
1706887342.3116 201 239 250 261 255 254 251 199  0.0000
1706887342.3192 196 237 255 263 250 259 258 226  0.0000
1706887342.3276 200 240 254 265 266 273 253 205  0.0000
1706887342.3351 190 233 256 283 262 261 246 190  0.0000
1706887342.3427 196 242 276 287 269 271 241 225  0.0000
1706887342.3516 221 260 268 279 259 264 246 200  0.0000
1706887342.3593 208 248 259 288 261 255 247 204  0.0000
1706887342.3668 203 241 260 277 254 249 233 194  0.0000
1706887342.3757 201 243 253 272 258 265 248 186  0.0000
1706887342.3831 197 243 263 273 251 243 234 174  0.0000
1706887342.3907 201 238 235 254 241 262 245 187  0.0000
1706887342.3996 186 225 248 257 248 267 247 195  0.0000
1706887342.4073 193 240 252 258 244 257 244 191  0.0000
1706887342.4148 204 249 258 266 251 261 250 195  0.0000
1706887342.4237 201 238 252 263 246 263 255 198  0.0000
1706887342.4310 189 233 254 273 253 262 250 198  0.0000
1706887342.4388 197 245 255 268 252 255 244 204  0.0000
1706887342.4476 203 235 250 267 253 258 249 196  0.0000
1706887342.4563 199 237 257 271 256 257 244 200  0.0000
1706887342.4629 200 245 256 269 254 259 255 202  0.0000
1706887342.4708 199 241 245 265 249 264 244 192  0.0000
1706887342.4793 197 234 250 266 255 254 246 193  0.0000
1706887342.4870 198 235 250 260 252 259 249 199  0.0000
1706887342.4949 199 235 256 272 254 261 246 198  0.0000
1706887342.5036 194 225 249 270 248 257 243 196  0.0000
1706887342.5112 199 243 254 274 248 256 249 197  0.0000
1706887342.5191 191 227 241 259 244 252 228 183  0.0000
1706887342.5277 201 234 245 254 239 248 246 193  0.0000
1706887342.5353 197 237 244 259 240 248 241 195  0.0000
1706887342.5431 192 222 229 252 231 257 236 193  0.0000
1706887342.5519 179 214 239 253 240 248 237 190  0.0000
1706887342.5595 188 232 246 254 248 251 250 202  0.0000
1706887342.5674 199 228 243 257 251 263 257 210  0.0000
1706887342.5752 198 229 246 262 246 264 257 197  0.0000
1706887342.5835 189 230 250 258 265 278 256 209  0.0000
1706887342.5912 199 242 270 272 257 262 243 197  0.0000
1706887342.5991 210 244 258 264 250 261 247 203  0.0000
1706887342.6068 206 246 257 258 256 261 259 205  0.0000
1706887342.6156 208 240 247 262 247 265 272 218  0.0000
