% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703854385.2768 0 0 0 0
1703854385.2836 0 0 0 0
1703854385.2901 4294967295 0 -1 0
1703854385.2973 4294967295 0 0 0
1703854385.3037 4294967295 0 0 0
1703854385.3107 4294967295 0 0 0
1703854385.3181 4294967295 0 0 0
1703854385.3250 4294967295 0 0 0
1703854385.3317 4294967295 0 0 0
1703854385.3393 4294967295 0 0 0
1703854385.3462 4294967295 0 0 0
1703854385.3535 4294967295 0 0 0
1703854385.3603 4294967295 0 0 0
1703854385.3676 4294967295 0 0 0
1703854385.3736 4294967295 0 0 0
1703854385.3810 4294967295 0 0 0
1703854385.3886 4294967295 0 0 0
1703854385.3954 4294967295 0 0 0
1703854385.4025 4294967295 0 0 0
1703854385.4093 4294967295 0 0 0
1703854385.4166 4294967295 0 0 0
1703854385.4229 4294967295 0 0 0
1703854385.4300 4294967295 0 0 0
1703854385.4376 4294967295 0 0 0
1703854385.4444 4294967295 0 0 0
1703854385.4507 4294967295 0 0 0
1703854385.4587 4294967295 0 0 0
1703854385.4648 4294967295 0 0 0
1703854385.4727 4294967295 0 0 0
1703854385.4796 4294967295 0 0 0
1703854385.4863 4294967295 0 0 0
1703854385.4932 4294967295 0 0 0
1703854385.5006 4294967295 0 0 0
1703854385.5078 4294967295 0 0 0
1703854385.5140 4294967295 0 0 0
1703854385.5215 4294967295 0 0 0
1703854385.5285 4294967295 0 0 0
1703854385.5352 4294967295 0 0 0
1703854385.5425 4294967295 0 0 0
1703854385.5487 4294967295 0 0 0
1703854385.5566 4294967295 0 0 0
1703854385.5635 4294967295 0 0 0
1703854385.5697 4294967295 0 0 0
1703854385.5777 4294967295 0 0 0
1703854385.5844 4294967295 0 0 0
1703854385.5915 4294967295 0 0 0
1703854385.5977 4294967295 0 0 0
1703854385.6056 4294967295 0 0 0
1703854385.6126 4294967295 0 0 0
1703854385.6189 4294967295 0 0 0
1703854385.6259 4294967295 0 0 0
1703854385.6331 4294967295 0 0 0
1703854385.6399 4294967295 0 0 0
1703854385.6473 4294967295 0 0 0
1703854385.6538 4294967295 0 0 0
1703854385.6607 4294967295 0 0 0
1703854385.6683 4294967295 0 0 0
1703854385.6755 4294967295 0 0 0
1703854385.6824 4294967295 0 0 0
1703854385.6892 4294967295 0 0 0
1703854385.6965 4294967295 0 0 0
1703854385.7029 4294967295 0 0 0
1703854385.7100 4294967295 0 0 0
1703854385.7173 4294967295 0 0 0
1703854385.7238 4294967295 0 0 0
1703854385.7318 4294967295 0 0 0
1703854385.7387 4294967295 0 0 0
1703854385.7456 4294967295 0 0 0
1703854385.7519 4294967295 0 0 0
1703854385.7591 4294967295 0 0 0
1703854385.7665 4294967295 0 0 0
1703854385.7728 4294967295 0 0 0
1703854385.7807 4294967295 0 0 0
1703854385.7875 4294967295 0 0 0
1703854385.7944 4294967295 0 0 0
1703854385.8014 4294967295 0 0 0
1703854385.8077 4294967295 0 0 0
1703854385.8156 4294967295 0 0 0
1703854385.8219 4294967295 0 0 0
1703854385.8290 4294967295 0 0 0
1703854385.8366 4294967295 0 0 0
1703854385.8437 4294967295 0 0 0
1703854385.8506 4294967295 0 0 0
1703854385.8570 4294967295 0 0 0
1703854385.8641 4294967295 0 0 0
1703854385.8709 4294967295 0 0 0
1703854385.8780 4294967295 0 0 0
1703854385.8856 4294967295 0 0 0
1703854385.8920 4294967295 0 0 0
1703854385.8990 4294967295 0 0 0
1703854385.9061 4294967295 0 0 0
1703854385.9131 4294967295 0 0 0
1703854385.9202 4294967295 0 0 0
1703854385.9277 4294967295 0 0 0
1703854385.9342 4294967295 0 0 0
1703854385.9409 4294967295 0 0 0
1703854385.9478 4294967295 0 0 0
1703854385.9551 4294967295 0 0 0
1703854385.9623 4294967295 0 0 0
1703854385.9694 4294967295 0 0 0
1703854385.9757 4294967295 0 0 0
1703854385.9836 4294967295 0 0 0
1703854385.9903 4294967295 0 0 0
1703854385.9975 4294967295 0 0 0
1703854386.0040 4294967295 0 0 0
1703854386.0117 4294967295 0 0 0
1703854386.0186 4294967295 0 0 0
1703854386.0251 4294967295 0 0 0
1703854386.0320 4294967295 0 0 0
1703854386.0390 4294967295 0 0 0
1703854386.0464 4294967295 0 0 0
1703854386.0526 4294967295 0 0 0
1703854386.0597 4294967295 0 0 0
1703854386.0673 4294967295 0 0 0
1703854386.0741 4294967295 0 0 0
1703854386.0807 4294967295 0 0 0
1703854386.0877 4294967295 0 0 0
1703854386.0955 4294967295 0 0 0
1703854386.1025 4294967295 0 0 0
1703854386.1094 4294967295 0 0 0
1703854386.1160 4294967295 0 0 0
1703854386.1230 4294967295 0 0 0
1703854386.1306 4294967295 0 0 0
1703854386.1375 4294967295 0 0 0
1703854386.1446 4294967295 0 0 0
1703854386.1512 4294967295 0 0 0
1703854386.1581 4294967295 0 0 0
1703854386.1647 4294967295 0 0 0
1703854386.1716 4294967295 0 0 0
1703854386.1794 4294967295 0 0 0
1703854386.1864 4294967295 0 0 0
1703854386.1933 4294967295 0 0 0
1703854386.1999 4294967295 0 0 0
1703854386.2068 4294967295 0 0 0
1703854386.2146 4294967295 0 0 0
1703854386.2213 4294967295 0 0 0
1703854386.2282 4294967295 0 0 0
1703854386.2352 4294967295 0 0 0
1703854386.2420 4294967295 0 0 0
1703854386.2496 4294967295 0 0 0
1703854386.2566 4294967295 0 0 0
1703854386.2635 4294967295 0 0 0
1703854386.2702 4294967295 0 0 0
1703854386.2773 4294967295 0 0 0
1703854386.2840 4294967295 0 0 0
1703854386.2909 4294967295 0 0 0
1703854386.2986 4294967295 0 0 0
1703854386.3053 4294967295 0 0 0
1703854386.3122 4294967295 0 0 0
1703854386.3188 4294967295 0 0 0
1703854386.3260 4294967295 0 0 0
1703854386.3336 4294967295 0 0 0
1703854386.3407 4294967295 0 0 0
1703854386.3474 4294967295 0 0 0
1703854386.3540 4294967295 0 0 0
1703854386.3609 4294967295 0 0 0
1703854386.3677 4294967295 0 0 0
1703854386.3746 4294967295 0 0 0
1703854386.3824 4294967295 0 0 0
1703854386.3894 4294967295 0 0 0
1703854386.3963 4294967295 0 0 0
1703854386.4029 4294967295 0 0 0
1703854386.4096 4294967295 0 0 0
1703854386.4175 4294967295 0 0 0
1703854386.4244 4294967295 0 0 0
1703854386.4311 4294967295 0 0 0
1703854386.4380 4294967295 0 0 0
1703854386.4449 4294967295 0 0 0
1703854386.4526 4294967295 0 0 0
1703854386.4586 4294967295 0 0 0
1703854386.4663 4294967295 0 0 0
1703854386.4730 4294967295 0 0 0
1703854386.4799 4294967295 0 0 0
1703854386.4867 4294967295 0 0 0
1703854386.4946 4294967295 0 0 0
1703854386.5014 4294967295 0 0 0
1703854386.5083 4294967295 0 0 0
1703854386.5151 4294967295 0 0 0
1703854386.5218 4294967295 0 0 0
1703854386.5287 4294967295 4294967295 0 -1
1703854386.5365 4294967295 4294967295 0 0
1703854386.5435 4294967295 4294967295 0 0
1703854386.5505 0 4294967295 1 0
1703854386.5572 0 4294967293 0 -2
1703854386.5642 0 4294967292 0 -1
1703854386.5708 0 4294967292 0 0
1703854386.5786 0 4294967292 0 0
1703854386.5854 0 4294967292 0 0
1703854386.5925 0 4294967292 0 0
1703854386.5993 0 4294967291 0 -1
1703854386.6061 0 4294967291 0 0
1703854386.6130 0 4294967291 0 0
1703854386.6197 0 4294967291 0 0
1703854386.6267 0 4294967291 0 0
1703854386.6346 0 4294967291 0 0
1703854386.6415 0 4294967291 0 0
1703854386.6485 0 4294967291 0 0
1703854386.6551 0 4294967291 0 0
1703854386.6621 0 4294967291 0 0
1703854386.6687 0 4294967291 0 0
1703854386.6756 0 4294967291 0 0
1703854386.6837 0 4294967291 0 0
1703854386.6905 0 4294967291 0 0
1703854386.6974 0 4294967291 0 0
1703854386.7041 0 4294967291 0 0
1703854386.7110 0 4294967291 0 0
1703854386.7178 0 4294967291 0 0
1703854386.7257 0 4294967291 0 0
1703854386.7317 0 4294967291 0 0
1703854386.7396 0 4294967291 0 0
1703854386.7464 0 4294967291 0 0
1703854386.7531 0 4294967291 0 0
1703854386.7602 0 4294967291 0 0
1703854386.7675 0 4294967291 0 0
1703854386.7743 0 4294967291 0 0
1703854386.7810 0 4294967291 0 0
1703854386.7883 0 4294967291 0 0
1703854386.7948 0 4294967291 0 0
1703854386.8019 0 4294967291 0 0
1703854386.8094 0 4294967291 0 0
1703854386.8163 0 4294967291 0 0
1703854386.8233 0 4294967291 0 0
1703854386.8300 0 4294967291 0 0
1703854386.8373 0 4294967291 0 0
1703854386.8439 0 4294967291 0 0
1703854386.8512 0 4294967291 0 0
1703854386.8582 0 4294967291 0 0
1703854386.8650 0 4294967291 0 0
1703854386.8719 0 4294967291 0 0
1703854386.8795 0 4294967291 0 0
1703854386.8858 0 4294967291 0 0
1703854386.8932 0 4294967291 0 0
1703854386.9008 0 4294967291 0 0
1703854386.9070 0 4294967291 0 0
1703854386.9141 0 4294967291 0 0
1703854386.9210 0 4294967291 0 0
1703854386.9285 0 4294967291 0 0
1703854386.9349 0 4294967291 0 0
1703854386.9420 0 4294967291 0 0
1703854386.9495 0 4294967291 0 0
1703854386.9557 0 4294967291 0 0
1703854386.9631 0 4294967291 0 0
1703854386.9700 0 4294967291 0 0
1703854386.9772 0 4294967291 0 0
1703854386.9851 0 4294967291 0 0
1703854386.9910 0 4294967291 0 0
1703854386.9983 0 4294967291 0 0
1703854387.0052 0 4294967291 0 0
1703854387.0127 0 4294967291 0 0
1703854387.0189 0 4294967291 0 0
1703854387.0258 0 4294967291 0 0
1703854387.0331 0 4294967291 0 0
1703854387.0402 0 4294967291 0 0
1703854387.0470 0 4294967291 0 0
1703854387.0542 0 4294967291 0 0
1703854387.0615 0 4294967291 0 0
1703854387.0681 0 4294967291 0 0
1703854387.0750 0 4294967291 0 0
1703854387.0823 0 4294967291 0 0
1703854387.0889 0 4294967291 0 0
1703854387.0964 0 4294967291 0 0
1703854387.1036 0 4294967291 0 0
1703854387.1098 0 4294967291 0 0
1703854387.1174 0 4294967291 0 0
1703854387.1244 0 4294967291 0 0
1703854387.1313 0 4294967291 0 0
1703854387.1386 0 4294967291 0 0
1703854387.1448 0 4294967291 0 0
1703854387.1524 0 4294967291 0 0
1703854387.1594 0 4294967291 0 0
1703854387.1657 0 4294967291 0 0
1703854387.1737 0 4294967291 0 0
1703854387.1803 0 4294967291 0 0
1703854387.1877 0 4294967291 0 0
1703854387.1946 0 4294967291 0 0
1703854387.2009 0 4294967291 0 0
1703854387.2078 0 4294967291 0 0
1703854387.2152 0 4294967291 0 0
1703854387.2227 0 4294967291 0 0
1703854387.2287 0 4294967291 0 0
1703854387.2365 0 4294967291 0 0
1703854387.2433 0 4294967291 0 0
1703854387.2505 0 4294967291 0 0
1703854387.2575 0 4294967291 0 0
1703854387.2646 0 4294967291 0 0
1703854387.2714 0 4294967291 0 0
1703854387.2777 4294967295 4294967291 -1 0
1703854387.2847 4294967295 4294967291 0 0
1703854387.2918 4294967295 4294967291 0 0
