% Edge sensor logfile normalized 'log_20231229_135305.201/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703854386.8829 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.8907 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.8991 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9067 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9154 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9226 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9309 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9385 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9468 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9554 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9628 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9712 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9785 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9875 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854386.9951 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0028 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0114 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0185 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0270 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0346 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0432 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0505 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0591 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0674 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0747 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0825 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0915 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.0988 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1074 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1147 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1230 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1306 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1388 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1472 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1548 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1631 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1713 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1790 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1875 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.1948 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2032 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2115 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2186 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2274 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2349 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2431 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2507 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2590 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2675 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2751 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2826 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
1703854387.2915 1000 1000 1000 1000 1000 1000 1000 1000  0.1350
