% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1706887323.2046 0 0 0 0
1706887323.2132 0 0 0 0
1706887323.2202 0 0 0 0
1706887323.2277 0 0 0 0
1706887323.2363 0 0 0 0
1706887323.2437 0 0 0 0
1706887323.2523 0 0 0 0
1706887323.2605 0 0 0 0
1706887323.2676 0 0 0 0
1706887323.2763 0 0 0 0
1706887323.2851 0 0 0 0
1706887323.2916 0 0 0 0
1706887323.3003 0 0 0 0
1706887323.3075 0 0 0 0
1706887323.3159 0 0 0 0
1706887323.3234 0 0 0 0
1706887323.3314 3 3 3 3
1706887323.3396 8 5 5 2
1706887323.3483 10 7 2 2
1706887323.3562 12 9 2 2
1706887323.3639 15 13 3 4
1706887323.3715 17 16 2 3
1706887323.3796 21 19 4 3
1706887323.3878 25 24 4 5
1706887323.3955 29 28 4 4
1706887323.4034 34 33 5 5
1706887323.4122 40 40 6 7
1706887323.4199 47 46 7 6
1706887323.4287 52 52 5 6
1706887323.4362 59 58 7 6
1706887323.4437 66 66 7 8
1706887323.4531 72 72 6 6
1706887323.4603 79 77 7 5
1706887323.4679 86 84 7 7
1706887323.4767 93 93 7 9
1706887323.4843 100 100 7 7
1706887323.4918 108 106 8 6
1706887323.5007 114 112 6 6
1706887323.5084 120 120 6 8
1706887323.5157 127 128 7 8
1706887323.5245 135 135 8 7
1706887323.5321 142 140 7 5
1706887323.5406 148 148 6 8
1706887323.5483 156 157 8 9
1706887323.5558 164 164 8 7
1706887323.5642 170 169 6 5
1706887323.5729 175 175 5 6
1706887323.5803 183 184 8 9
1706887323.5879 191 192 8 8
1706887323.5967 197 197 6 5
1706887323.6043 203 202 6 5
1706887323.6116 210 209 7 7
1706887323.6204 218 217 8 8
1706887323.6277 225 224 7 7
1706887323.6365 231 229 6 5
1706887323.6442 238 233 7 4
1706887323.6517 245 241 7 8
1706887323.6611 251 249 6 8
1706887323.6696 257 255 6 6
1706887323.6761 265 261 8 6
1706887323.6838 272 267 7 6
1706887323.6926 276 273 4 6
1706887323.7001 282 280 6 7
1706887323.7078 291 288 9 8
1706887323.7169 299 293 8 5
1706887323.7245 304 298 5 5
1706887323.7322 310 305 6 7
1706887323.7410 319 314 9 9
1706887323.7486 326 321 7 7
1706887323.7562 332 327 6 6
1706887323.7644 338 333 6 6
1706887323.7720 345 340 7 7
1706887323.7797 353 348 8 8
1706887323.7885 360 354 7 6
1706887323.7961 365 359 5 5
1706887323.8046 372 367 7 8
1706887323.8129 380 375 8 8
